,Codi_provincia,Provincia,Codi_municipi,Municipi,Estacio,Codi_Contaminant,Any,Mes,Dia,H01,V01,H02,V02,H03,V03,H04,V04,H05,V05,H06,V06,H07,V07,H08,V08,H09,V09,H10,V10,H11,V11,H12,V12,H13,V13,H14,V14,H15,V15,H16,V16,H17,V17,H18,V18,H19,V19,H20,V20,H21,V21,H22,V22,H23,V23,H24,V24,nom_cabina,codi_dtes,zqa,codi_eoi,Longitud,Latitud,ubicacio,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Clas_1,Clas_2,Desc_Contaminant,Unitats
257,8,Barcelona,19,Barcelona,42,8,2021,1,10,11.0,V,9.0,V,9.0,V,8.0,V,7.0,V,7.0,V,7.0,V,10.0,V,11.0,V,13.0,V,15.0,V,17.0,V,24.0,V,31.0,V,31.0,V,35.0,V,34.0,V,38.0,V,35.0,V,31.0,V,25.0,V,20.0,V,15.0,V,,N,Barcelona - Sants,ID,1,8019042,2.1331,41.3788,Jardins de Can Mantega (Joan Güell - Violant d’Hongria),3,Sants-Montjuic,18,Sants,Urbana,Fons,NO2,Âµg/mÂ³
258,8,Barcelona,19,Barcelona,42,8,2021,1,11,15.0,V,12.0,V,11.0,V,9.0,V,6.0,V,7.0,V,9.0,V,16.0,V,26.0,V,27.0,V,23.0,V,19.0,V,17.0,V,15.0,V,13.0,V,11.0,V,17.0,V,17.0,V,24.0,V,23.0,V,22.0,V,21.0,V,22.0,V,,N,Barcelona - Sants,ID,1,8019042,2.1331,41.3788,Jardins de Can Mantega (Joan Güell - Violant d’Hongria),3,Sants-Montjuic,18,Sants,Urbana,Fons,NO2,Âµg/mÂ³
259,8,Barcelona,19,Barcelona,42,8,2021,1,12,11.0,V,9.0,V,7.0,V,7.0,V,7.0,V,9.0,V,13.0,V,16.0,V,23.0,V,21.0,V,20.0,V,16.0,V,14.0,V,14.0,V,15.0,V,13.0,V,16.0,V,21.0,V,26.0,V,25.0,V,23.0,V,21.0,V,20.0,V,14.0,V,Barcelona - Sants,ID,1,8019042,2.1331,41.3788,Jardins de Can Mantega (Joan Güell - Violant d’Hongria),3,Sants-Montjuic,18,Sants,Urbana,Fons,NO2,Âµg/mÂ³
260,8,Barcelona,19,Barcelona,42,8,2021,1,13,10.0,V,12.0,V,9.0,V,13.0,V,8.0,V,8.0,V,12.0,V,18.0,V,20.0,V,23.0,V,13.0,V,11.0,V,15.0,V,14.0,V,13.0,V,16.0,V,21.0,V,21.0,V,20.0,V,19.0,V,17.0,V,15.0,V,12.0,V,,N,Barcelona - Sants,ID,1,8019042,2.1331,41.3788,Jardins de Can Mantega (Joan Güell - Violant d’Hongria),3,Sants-Montjuic,18,Sants,Urbana,Fons,NO2,Âµg/mÂ³
261,8,Barcelona,19,Barcelona,42,8,2021,1,14,8.0,V,6.0,V,8.0,V,8.0,V,7.0,V,7.0,V,12.0,V,19.0,V,28.0,V,21.0,V,19.0,V,18.0,V,18.0,V,17.0,V,16.0,V,16.0,V,18.0,V,24.0,V,32.0,V,28.0,V,38.0,V,21.0,V,16.0,V,22.0,V,Barcelona - Sants,ID,1,8019042,2.1331,41.3788,Jardins de Can Mantega (Joan Güell - Violant d’Hongria),3,Sants-Montjuic,18,Sants,Urbana,Fons,NO2,Âµg/mÂ³
262,8,Barcelona,19,Barcelona,42,8,2021,1,15,20.0,V,15.0,V,10.0,V,8.0,V,14.0,V,9.0,V,13.0,V,23.0,V,43.0,V,34.0,V,29.0,V,28.0,V,23.0,V,20.0,V,22.0,V,23.0,V,39.0,V,47.0,V,50.0,V,70.0,V,76.0,V,73.0,V,70.0,V,,N,Barcelona - Sants,ID,1,8019042,2.1331,41.3788,Jardins de Can Mantega (Joan Güell - Violant d’Hongria),3,Sants-Montjuic,18,Sants,Urbana,Fons,NO2,Âµg/mÂ³
263,8,Barcelona,19,Barcelona,42,8,2021,1,16,48.0,V,18.0,V,16.0,V,22.0,V,22.0,V,18.0,V,20.0,V,28.0,V,23.0,V,18.0,V,16.0,V,10.0,V,10.0,V,10.0,V,11.0,V,12.0,V,17.0,V,26.0,V,27.0,V,19.0,V,19.0,V,19.0,V,32.0,V,,N,Barcelona - Sants,ID,1,8019042,2.1331,41.3788,Jardins de Can Mantega (Joan Güell - Violant d’Hongria),3,Sants-Montjuic,18,Sants,Urbana,Fons,NO2,Âµg/mÂ³
264,8,Barcelona,19,Barcelona,42,8,2021,1,17,18.0,V,23.0,V,11.0,V,8.0,V,9.0,V,8.0,V,8.0,V,10.0,V,21.0,V,24.0,V,16.0,V,8.0,V,9.0,V,11.0,V,8.0,V,8.0,V,21.0,V,43.0,V,61.0,V,65.0,V,68.0,V,58.0,V,63.0,V,,N,Barcelona - Sants,ID,1,8019042,2.1331,41.3788,Jardins de Can Mantega (Joan Güell - Violant d’Hongria),3,Sants-Montjuic,18,Sants,Urbana,Fons,NO2,Âµg/mÂ³
265,8,Barcelona,19,Barcelona,42,8,2021,1,18,59.0,V,57.0,V,58.0,V,53.0,V,52.0,V,36.0,V,43.0,V,58.0,V,63.0,V,70.0,V,,N,,N,25.0,V,36.0,V,33.0,V,28.0,V,30.0,V,40.0,V,58.0,V,75.0,V,67.0,V,72.0,V,64.0,V,,N,Barcelona - Sants,ID,1,8019042,2.1331,41.3788,Jardins de Can Mantega (Joan Güell - Violant d’Hongria),3,Sants-Montjuic,18,Sants,Urbana,Fons,NO2,Âµg/mÂ³
266,8,Barcelona,19,Barcelona,42,8,2021,1,19,38.0,V,19.0,V,19.0,V,20.0,V,18.0,V,27.0,V,41.0,V,54.0,V,56.0,V,66.0,V,71.0,V,30.0,V,24.0,V,25.0,V,10.0,V,12.0,V,16.0,V,20.0,V,39.0,V,48.0,V,49.0,V,29.0,V,22.0,V,16.0,V,Barcelona - Sants,ID,1,8019042,2.1331,41.3788,Jardins de Can Mantega (Joan Güell - Violant d’Hongria),3,Sants-Montjuic,18,Sants,Urbana,Fons,NO2,Âµg/mÂ³
267,8,Barcelona,19,Barcelona,42,8,2021,1,20,13.0,V,13.0,V,15.0,V,36.0,V,48.0,V,53.0,V,58.0,V,59.0,V,69.0,V,75.0,V,58.0,V,46.0,V,50.0,V,35.0,V,16.0,V,15.0,V,25.0,V,21.0,V,30.0,V,33.0,V,37.0,V,24.0,V,21.0,V,25.0,V,Barcelona - Sants,ID,1,8019042,2.1331,41.3788,Jardins de Can Mantega (Joan Güell - Violant d’Hongria),3,Sants-Montjuic,18,Sants,Urbana,Fons,NO2,Âµg/mÂ³
268,8,Barcelona,19,Barcelona,42,8,2021,1,21,28.0,V,27.0,V,28.0,V,38.0,V,44.0,V,52.0,V,54.0,V,32.0,V,45.0,V,80.0,V,60.0,V,33.0,V,26.0,V,24.0,V,15.0,V,22.0,V,29.0,V,33.0,V,54.0,V,60.0,V,73.0,V,73.0,V,73.0,V,49.0,V,Barcelona - Sants,ID,1,8019042,2.1331,41.3788,Jardins de Can Mantega (Joan Güell - Violant d’Hongria),3,Sants-Montjuic,18,Sants,Urbana,Fons,NO2,Âµg/mÂ³
269,8,Barcelona,19,Barcelona,42,8,2021,1,22,20.0,V,17.0,V,32.0,V,16.0,V,9.0,V,6.0,V,9.0,V,16.0,V,28.0,V,16.0,V,20.0,V,27.0,V,14.0,V,11.0,V,7.0,V,8.0,V,15.0,V,13.0,V,16.0,V,12.0,V,16.0,V,12.0,V,6.0,V,,N,Barcelona - Sants,ID,1,8019042,2.1331,41.3788,Jardins de Can Mantega (Joan Güell - Violant d’Hongria),3,Sants-Montjuic,18,Sants,Urbana,Fons,NO2,Âµg/mÂ³
270,8,Barcelona,19,Barcelona,42,8,2021,1,23,7.0,V,4.0,V,3.0,V,5.0,V,6.0,V,10.0,V,14.0,V,18.0,V,15.0,V,15.0,V,10.0,V,8.0,V,8.0,V,8.0,V,6.0,V,5.0,V,7.0,V,12.0,V,10.0,V,12.0,V,15.0,V,16.0,V,18.0,V,,N,Barcelona - Sants,ID,1,8019042,2.1331,41.3788,Jardins de Can Mantega (Joan Güell - Violant d’Hongria),3,Sants-Montjuic,18,Sants,Urbana,Fons,NO2,Âµg/mÂ³
271,8,Barcelona,19,Barcelona,42,8,2021,1,24,18.0,V,13.0,V,12.0,V,12.0,V,10.0,V,7.0,V,3.0,V,2.0,V,3.0,V,7.0,V,11.0,V,10.0,V,8.0,V,8.0,V,7.0,V,5.0,V,6.0,V,8.0,V,13.0,V,16.0,V,19.0,V,14.0,V,16.0,V,,N,Barcelona - Sants,ID,1,8019042,2.1331,41.3788,Jardins de Can Mantega (Joan Güell - Violant d’Hongria),3,Sants-Montjuic,18,Sants,Urbana,Fons,NO2,Âµg/mÂ³
272,8,Barcelona,19,Barcelona,42,8,2021,1,25,9.0,V,10.0,V,10.0,V,5.0,V,3.0,V,4.0,V,6.0,V,20.0,V,23.0,V,22.0,V,21.0,V,29.0,V,32.0,V,26.0,V,13.0,V,20.0,V,22.0,V,18.0,V,20.0,V,17.0,V,19.0,V,16.0,V,17.0,V,,N,Barcelona - Sants,ID,1,8019042,2.1331,41.3788,Jardins de Can Mantega (Joan Güell - Violant d’Hongria),3,Sants-Montjuic,18,Sants,Urbana,Fons,NO2,Âµg/mÂ³
273,8,Barcelona,19,Barcelona,42,8,2021,1,26,18.0,V,13.0,V,9.0,V,7.0,V,10.0,V,10.0,V,17.0,V,30.0,V,34.0,V,23.0,V,16.0,V,15.0,V,16.0,V,16.0,V,26.0,V,18.0,V,16.0,V,27.0,V,42.0,V,50.0,V,44.0,V,33.0,V,28.0,V,,N,Barcelona - Sants,ID,1,8019042,2.1331,41.3788,Jardins de Can Mantega (Joan Güell - Violant d’Hongria),3,Sants-Montjuic,18,Sants,Urbana,Fons,NO2,Âµg/mÂ³
274,8,Barcelona,19,Barcelona,42,8,2021,1,27,28.0,V,16.0,V,27.0,V,27.0,V,21.0,V,24.0,V,39.0,V,51.0,V,56.0,V,42.0,V,47.0,V,58.0,V,68.0,V,73.0,V,48.0,V,38.0,V,46.0,V,36.0,V,57.0,V,79.0,V,81.0,V,84.0,V,84.0,V,78.0,V,Barcelona - Sants,ID,1,8019042,2.1331,41.3788,Jardins de Can Mantega (Joan Güell - Violant d’Hongria),3,Sants-Montjuic,18,Sants,Urbana,Fons,NO2,Âµg/mÂ³
275,8,Barcelona,19,Barcelona,42,8,2021,1,28,73.0,V,63.0,V,47.0,V,41.0,V,35.0,V,33.0,V,36.0,V,46.0,V,51.0,V,53.0,V,28.0,V,22.0,V,34.0,V,52.0,V,51.0,V,55.0,V,44.0,V,56.0,V,61.0,V,66.0,V,61.0,V,57.0,V,61.0,V,64.0,V,Barcelona - Sants,ID,1,8019042,2.1331,41.3788,Jardins de Can Mantega (Joan Güell - Violant d’Hongria),3,Sants-Montjuic,18,Sants,Urbana,Fons,NO2,Âµg/mÂ³
276,8,Barcelona,19,Barcelona,42,8,2021,1,29,58.0,V,51.0,V,48.0,V,43.0,V,29.0,V,6.0,V,9.0,V,14.0,V,26.0,V,23.0,V,20.0,V,16.0,V,16.0,V,12.0,V,9.0,V,11.0,V,18.0,V,17.0,V,44.0,V,47.0,V,50.0,V,33.0,V,40.0,V,,N,Barcelona - Sants,ID,1,8019042,2.1331,41.3788,Jardins de Can Mantega (Joan Güell - Violant d’Hongria),3,Sants-Montjuic,18,Sants,Urbana,Fons,NO2,Âµg/mÂ³
277,8,Barcelona,19,Barcelona,42,8,2021,1,30,50.0,V,48.0,V,45.0,V,43.0,V,38.0,V,39.0,V,25.0,V,35.0,V,21.0,V,21.0,V,7.0,V,8.0,V,6.0,V,6.0,V,4.0,V,4.0,V,4.0,V,9.0,V,16.0,V,9.0,V,7.0,V,10.0,V,4.0,V,,N,Barcelona - Sants,ID,1,8019042,2.1331,41.3788,Jardins de Can Mantega (Joan Güell - Violant d’Hongria),3,Sants-Montjuic,18,Sants,Urbana,Fons,NO2,Âµg/mÂ³
278,8,Barcelona,19,Barcelona,42,8,2021,1,31,5.0,V,2.0,V,2.0,V,3.0,V,3.0,V,2.0,V,2.0,V,2.0,V,2.0,V,2.0,V,2.0,V,2.0,V,3.0,V,5.0,V,5.0,V,3.0,V,4.0,V,4.0,V,3.0,V,4.0,V,3.0,V,5.0,V,7.0,V,,N,Barcelona - Sants,ID,1,8019042,2.1331,41.3788,Jardins de Can Mantega (Joan Güell - Violant d’Hongria),3,Sants-Montjuic,18,Sants,Urbana,Fons,NO2,Âµg/mÂ³
279,8,Barcelona,19,Barcelona,43,8,2021,1,1,36.0,V,35.0,V,33.0,V,13.0,V,12.0,V,10.0,V,12.0,V,19.0,V,19.0,V,20.0,V,21.0,V,22.0,V,29.0,V,32.0,V,29.0,V,29.0,V,22.0,V,18.0,V,23.0,V,23.0,V,24.0,V,25.0,V,20.0,V,,N,Barcelona - Eixample,IH,1,8019043,2.1538,41.3853,Av. Roma - c/ Comte Urgell,5,Eixample,9,la Nova Esquerra de l'Eixample,Urbana,Trànsit,NO2,Âµg/mÂ³
280,8,Barcelona,19,Barcelona,43,8,2021,1,2,10.0,V,10.0,V,13.0,V,8.0,V,6.0,V,9.0,V,7.0,V,10.0,V,14.0,V,19.0,V,19.0,V,20.0,V,23.0,V,20.0,V,25.0,V,21.0,V,23.0,V,25.0,V,32.0,V,42.0,V,43.0,V,42.0,V,40.0,V,,N,Barcelona - Eixample,IH,1,8019043,2.1538,41.3853,Av. Roma - c/ Comte Urgell,5,Eixample,9,la Nova Esquerra de l'Eixample,Urbana,Trànsit,NO2,Âµg/mÂ³
281,8,Barcelona,19,Barcelona,43,8,2021,1,3,26.0,V,13.0,V,9.0,V,7.0,V,7.0,V,7.0,V,12.0,V,12.0,V,14.0,V,22.0,V,20.0,V,15.0,V,17.0,V,17.0,V,22.0,V,22.0,V,27.0,V,34.0,V,54.0,V,76.0,V,83.0,V,69.0,V,61.0,V,,N,Barcelona - Eixample,IH,1,8019043,2.1538,41.3853,Av. Roma - c/ Comte Urgell,5,Eixample,9,la Nova Esquerra de l'Eixample,Urbana,Trànsit,NO2,Âµg/mÂ³
282,8,Barcelona,19,Barcelona,43,8,2021,1,4,59.0,V,40.0,V,43.0,V,43.0,V,21.0,V,20.0,V,19.0,V,26.0,V,41.0,V,40.0,V,38.0,V,35.0,V,26.0,V,23.0,V,23.0,V,20.0,V,30.0,V,35.0,V,50.0,V,40.0,V,31.0,V,34.0,V,35.0,V,,N,Barcelona - Eixample,IH,1,8019043,2.1538,41.3853,Av. Roma - c/ Comte Urgell,5,Eixample,9,la Nova Esquerra de l'Eixample,Urbana,Trànsit,NO2,Âµg/mÂ³
