,Codi_provincia,Provincia,Codi_municipi,Municipi,Estacio,Codi_Contaminant,Any,Mes,Dia,H01,V01,H02,V02,H03,V03,H04,V04,H05,V05,H06,V06,H07,V07,H08,V08,H09,V09,H10,V10,H11,V11,H12,V12,H13,V13,H14,V14,H15,V15,H16,V16,H17,V17,H18,V18,H19,V19,H20,V20,H21,V21,H22,V22,H23,V23,H24,V24,nom_cabina,codi_dtes,zqa,codi_eoi,Longitud,Latitud,ubicacio,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Clas_1,Clas_2,Desc_Contaminant,Unitats
245,8,Barcelona,19,Barcelona,4,8,2021,1,29,51.0,V,49.0,V,47.0,V,48.0,V,44.0,V,43.0,V,40.0,V,31.0,V,34.0,V,27.0,V,24.0,V,24.0,V,30.0,V,27.0,V,17.0,V,18.0,V,28.0,V,27.0,V,21.0,V,26.0,V,34.0,V,28.0,V,28.0,V,,N,Barcelona - Poblenou,I2,1,8019004,2.2045,41.4039,Plaça Josep Trueta (Pujades - Lope de Vega),10,Sant Marti,68,el Poblenou,Urbana,Fons,NO2,Âµg/mÂ³
246,8,Barcelona,19,Barcelona,4,8,2021,1,30,38.0,V,46.0,V,44.0,V,40.0,V,37.0,V,34.0,V,39.0,V,41.0,V,45.0,V,27.0,V,10.0,V,11.0,V,11.0,V,10.0,V,9.0,V,8.0,V,8.0,V,12.0,V,14.0,V,11.0,V,21.0,V,19.0,V,17.0,V,,N,Barcelona - Poblenou,I2,1,8019004,2.2045,41.4039,Plaça Josep Trueta (Pujades - Lope de Vega),10,Sant Marti,68,el Poblenou,Urbana,Fons,NO2,Âµg/mÂ³
247,8,Barcelona,19,Barcelona,4,8,2021,1,31,7.0,V,6.0,V,4.0,V,3.0,V,3.0,V,4.0,V,4.0,V,4.0,V,5.0,V,5.0,V,6.0,V,6.0,V,9.0,V,9.0,V,8.0,V,9.0,V,9.0,V,8.0,V,7.0,V,10.0,V,9.0,V,8.0,V,6.0,V,,N,Barcelona - Poblenou,I2,1,8019004,2.2045,41.4039,Plaça Josep Trueta (Pujades - Lope de Vega),10,Sant Marti,68,el Poblenou,Urbana,Fons,NO2,Âµg/mÂ³
248,8,Barcelona,19,Barcelona,42,8,2021,1,1,31.0,V,46.0,V,18.0,V,12.0,V,12.0,V,7.0,V,8.0,V,15.0,V,17.0,V,17.0,V,15.0,V,20.0,V,22.0,V,20.0,V,22.0,V,14.0,V,11.0,V,11.0,V,10.0,V,11.0,V,9.0,V,9.0,V,8.0,V,,N,Barcelona - Sants,ID,1,8019042,2.1331,41.3788,Jardins de Can Mantega (Joan Güell - Violant d’Hongria),3,Sants-Montjuic,18,Sants,Urbana,Fons,NO2,Âµg/mÂ³
249,8,Barcelona,19,Barcelona,42,8,2021,1,2,7.0,V,6.0,V,6.0,V,6.0,V,4.0,V,3.0,V,4.0,V,6.0,V,7.0,V,10.0,V,10.0,V,11.0,V,15.0,V,13.0,V,12.0,V,12.0,V,15.0,V,15.0,V,14.0,V,21.0,V,29.0,V,43.0,V,43.0,V,,N,Barcelona - Sants,ID,1,8019042,2.1331,41.3788,Jardins de Can Mantega (Joan Güell - Violant d’Hongria),3,Sants-Montjuic,18,Sants,Urbana,Fons,NO2,Âµg/mÂ³
250,8,Barcelona,19,Barcelona,42,8,2021,1,3,25.0,V,10.0,V,6.0,V,5.0,V,5.0,V,6.0,V,7.0,V,7.0,V,10.0,V,16.0,V,11.0,V,10.0,V,7.0,V,9.0,V,12.0,V,11.0,V,15.0,V,18.0,V,50.0,V,78.0,V,79.0,V,70.0,V,67.0,V,,N,Barcelona - Sants,ID,1,8019042,2.1331,41.3788,Jardins de Can Mantega (Joan Güell - Violant d’Hongria),3,Sants-Montjuic,18,Sants,Urbana,Fons,NO2,Âµg/mÂ³
251,8,Barcelona,19,Barcelona,42,8,2021,1,4,62.0,V,22.0,V,38.0,V,18.0,V,20.0,V,11.0,V,16.0,V,21.0,V,19.0,V,17.0,V,16.0,V,16.0,V,15.0,V,12.0,V,9.0,V,,N,,N,29.0,V,42.0,V,31.0,V,34.0,V,28.0,V,28.0,V,,N,Barcelona - Sants,ID,1,8019042,2.1331,41.3788,Jardins de Can Mantega (Joan Güell - Violant d’Hongria),3,Sants-Montjuic,18,Sants,Urbana,Fons,NO2,Âµg/mÂ³
252,8,Barcelona,19,Barcelona,42,8,2021,1,5,23.0,V,15.0,V,9.0,V,12.0,V,10.0,V,12.0,V,21.0,V,32.0,V,32.0,V,38.0,V,27.0,V,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,Barcelona - Sants,ID,1,8019042,2.1331,41.3788,Jardins de Can Mantega (Joan Güell - Violant d’Hongria),3,Sants-Montjuic,18,Sants,Urbana,Fons,NO2,Âµg/mÂ³
253,8,Barcelona,19,Barcelona,42,8,2021,1,6,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,Barcelona - Sants,ID,1,8019042,2.1331,41.3788,Jardins de Can Mantega (Joan Güell - Violant d’Hongria),3,Sants-Montjuic,18,Sants,Urbana,Fons,NO2,Âµg/mÂ³
254,8,Barcelona,19,Barcelona,42,8,2021,1,7,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,42.0,V,39.0,V,42.0,V,23.0,V,31.0,V,29.0,V,30.0,V,35.0,V,60.0,V,48.0,V,38.0,V,29.0,V,21.0,V,Barcelona - Sants,ID,1,8019042,2.1331,41.3788,Jardins de Can Mantega (Joan Güell - Violant d’Hongria),3,Sants-Montjuic,18,Sants,Urbana,Fons,NO2,Âµg/mÂ³
255,8,Barcelona,19,Barcelona,42,8,2021,1,8,16.0,V,18.0,V,16.0,V,15.0,V,15.0,V,21.0,V,23.0,V,31.0,V,34.0,V,32.0,V,30.0,V,31.0,V,26.0,V,26.0,V,30.0,V,35.0,V,41.0,V,54.0,V,61.0,V,63.0,V,58.0,V,55.0,V,37.0,V,,N,Barcelona - Sants,ID,1,8019042,2.1331,41.3788,Jardins de Can Mantega (Joan Güell - Violant d’Hongria),3,Sants-Montjuic,18,Sants,Urbana,Fons,NO2,Âµg/mÂ³
256,8,Barcelona,19,Barcelona,42,8,2021,1,9,14.0,V,19.0,V,14.0,V,8.0,V,8.0,V,8.0,V,12.0,V,14.0,V,16.0,V,18.0,V,20.0,V,21.0,V,23.0,V,21.0,V,20.0,V,19.0,V,21.0,V,18.0,V,19.0,V,15.0,V,16.0,V,17.0,V,13.0,V,13.0,V,Barcelona - Sants,ID,1,8019042,2.1331,41.3788,Jardins de Can Mantega (Joan Güell - Violant d’Hongria),3,Sants-Montjuic,18,Sants,Urbana,Fons,NO2,Âµg/mÂ³
