,BtoB_RealState($),BtoB_SocialServ($),BtoB_ProfessActiv($),BtoB_ScientifActiv($),BtoB_Education($),BtoB_ArtistActiv($),BtoB_Other($),BtoB_FinanActiv($),BtoB_Information($),BtoB_PublicAdmin($)
49,0,1485,0,0,0,0,0,0,0,0
50,0,3995,0,0,0,0,0,0,0,0
51,0,4220,0,0,0,0,0,0,0,0
52,0,4220,0,0,0,0,0,0,0,0
53,0,4220,0,0,0,0,0,0,0,0
54,0,7325,0,0,0,0,0,0,0,0
55,0,7550,0,0,0,0,0,0,0,0
56,0,7550,0,0,0,0,0,0,0,0
57,0,7550,0,0,0,0,0,0,0,0
58,0,10910,0,0,0,0,0,0,0,0
59,0,11270,0,0,0,0,0,0,0,0
60,0,11270,0,0,0,0,0,0,0,0
61,0,11270,0,0,0,0,0,0,0,0
62,0,13505,0,0,0,0,0,0,0,0
63,0,13505,0,0,0,0,0,0,0,0
64,0,13505,0,0,0,0,0,0,0,0
65,0,13505,0,0,0,0,0,0,0,0
66,0,14490,0,0,0,0,0,0,0,0
67,0,14490,0,0,0,0,0,0,0,0
68,0,14490,0,0,0,0,0,0,0,0
69,0,14490,0,0,0,0,0,0,0,0
70,0,14880,0,0,0,0,0,0,0,0
71,0,14880,0,0,0,0,0,0,0,0
72,0,14880,0,0,0,0,0,0,0,0
73,0,14880,0,0,0,0,0,0,0,0
74,0,14880,0,0,0,0,0,0,0,0
75,0,14880,0,0,0,0,0,0,0,0
76,0,14880,0,0,0,0,0,0,0,0
77,0,14880,0,0,0,0,0,0,0,0
78,0,14880,0,0,0,0,0,0,0,0
79,0,14880,0,0,0,0,0,0,0,0
80,0,14880,0,0,0,0,0,0,0,0
81,0,14880,0,0,0,0,0,0,0,0
82,0,14880,0,0,0,0,0,0,0,0
83,0,14880,0,0,0,0,0,0,0,0
84,0,14880,0,0,0,0,0,0,0,0
85,0,14880,0,0,0,0,0,0,0,0
86,0,14880,0,0,0,0,0,0,0,0
87,0,14880,0,0,0,0,0,0,0,0
88,0,14880,0,0,0,0,0,0,0,0
89,0,14880,0,0,0,0,0,0,0,0
90,0,14880,0,0,0,0,0,0,0,0
91,0,14880,0,0,0,0,0,0,0,0
92,0,14880,0,0,0,0,0,0,0,0
93,0,14880,0,0,0,0,0,0,0,0
