,Agent_Commerce($),Agent_Catering($),Agent_Health($),Agent_RecreationActiv($),Agent_Transport($),Agent_Hotel($),Agent_RealState($)
0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0
31,630,0,668,0,1420,865,0
32,2873,0,1424,0,3398,1981,0
33,4916,0,2370,0,4972,2891,0
34,6921,0,3302,0,6741,3810,0
35,11455,0,5073,0,9751,5408,0
36,16309,0,7560,0,13280,7209,0
37,20561,0,9983,0,16745,9017,0
38,25170,0,11847,0,19593,10802,0
39,31186,0,14861,0,24738,13507,0
40,37306,66,18007,0,29497,15985,0
41,42938,141,21723,0,34433,18856,0
42,49314,696,25305,0,39760,21682,0
43,57172,1338,29010,0,45368,25548,0
44,64979,3203,33975,0,52056,29259,0
45,72824,6343,37758,0,58371,33051,0
46,80364,10396,42552,0,64169,36602,0
47,88097,16502,46439,0,70887,40568,0
48,95963,24554,50639,0,77131,43841,0
49,103579,33686,54063,0,83463,47861,0
50,110893,46214,58154,0,90062,51422,0
51,118189,60018,61510,0,96209,54831,0
52,125962,76822,64743,0,102217,58570,0
53,133295,93692,67580,0,108238,62119,0
54,140013,110415,70630,0,114539,65750,0
55,147641,130159,73617,0,120620,69401,0
56,154555,147434,76103,0,126795,72443,0
57,161668,163075,78919,0,132863,76189,0
58,168607,178038,81290,0,138832,79717,0
59,174837,190548,83787,0,145205,83284,0
60,180882,200595,86312,0,151659,87286,0
61,185467,223446,88698,0,156379,90030,0
62,189706,231492,97177,0,160602,92115,0
63,193566,237998,99066,0,165560,95544,0
64,196557,242293,100999,0,169606,97830,0
65,199802,261641,103353,0,173047,100085,0
66,204064,264777,112757,0,176293,101892,0
67,207699,266897,115270,0,179162,103797,0
68,210709,268715,117331,0,182365,105739,0
69,213808,285270,118942,0,184024,106582,0
70,217623,285790,126301,0,185410,107787,0
71,220429,286533,127591,0,186752,108808,0
72,222838,287086,129055,0,187926,109576,0
73,225005,301716,130332,0,188443,109749,0
74,226283,301892,134861,0,188443,109749,0
75,227304,301914,136308,0,188443,109749,0
