regione,rse,rei,rih,rir,rhr,rhd,r0_max,r0_min,k,startLockdown
P.A. Trento,1.5,1.1999929487615315,0.15292917346709123,0.019172810291106943,0.1104912002566485,0.2068438874536137,5.0,0.3,0.20635663737048543,29.338212812645757
P.A. Trento,1.499999979486032,1.1999947212748796,0.15283771373679622,0.01920785714909902,0.11036141555264638,0.20696713853799745,4.9925815406156255,0.30000000098010576,0.2060514451220983,29.329735342934157
P.A. Trento,1.2,1.1994252418661853,0.13458777582560358,0.0238487188663608,0.09608560867574488,0.2132429693428573,4.923812050707939,0.30029897806552003,0.22190392266395387,30.165802611796213
P.A. Trento,1.3,1.1123206791501248,0.15434952310161326,0.021479365455653352,0.09579381341699587,0.20008007881276224,4.8097028082697015,0.4318533357741525,2.022543065653686,30.189022545682764
P.A. Trento,1.2,1.1999999986298462,0.14865223699386662,0.023623982370914898,0.09444433475599666,0.21352453879861533,4.999996059920738,0.30000010351292816,0.21426155571705952,29.99532532049077
P.A. Trento,1.49,1.2,0.24999999999999994,0.01899999999999997,0.1,0.2,3.8,2.3,4.0,31.672999999999995
P.A. Trento,1.49,1.2,0.24999999999999994,0.01899999999999997,0.1,0.2,3.8,2.3,4.0,31.672999999999995
P.A. Trento,1.2917393693754564,1.1998098285127847,0.2110666540426825,0.025345888371135585,0.08121009413160023,0.2200971007968459,4.453692280717211,0.3112428888976298,0.18742433527660546,29.07388030515984
P.A. Trento,1.499999995706574,1.2,0.25485287233708503,0.01905709366979655,0.1044848916339514,0.20993210354080072,4.9999999999966125,0.30000000000001864,0.20723282070104,29.537433290333986
P.A. Trento,0.9,1.1999999999999782,0.17878263868884514,0.08106844097150734,0.010017003592873669,0.4356361368205538,2.003352128386448,0.8967231207437918,4.999999979011801,33.04975179033478
P.A. Trento,0.9,1.1999999999999988,0.055941339413193486,0.06935230392375183,0.01004106629810048,1.199999999999685,2.1063741252025405,0.6311799626695388,4.999999975840546,34.206263689912966
P.A. Trento,0.9,1.1999999999999988,0.055941339413193486,0.06935230392375183,0.01004106629810048,1.199999999999685,2.1063741252025405,0.6311799626695388,4.999999975840546,34.206263689912966
P.A. Trento,0.9,1.1999999999999988,0.055941339413193486,0.06935230392375183,0.01004106629810048,1.199999999999685,2.1063741252025405,0.6311799626695388,4.999999975840546,34.206263689912966
P.A. Trento,0.9,1.1999999999999988,0.055941339413193486,0.06935230392375183,0.01004106629810048,1.199999999999685,2.1063741252025405,0.6311799626695388,4.999999975840546,34.206263689912966
P.A. Trento,0.9,0.9999999998900432,0.434285069907415,0.03497535620879691,0.06567444040565518,0.2247016352924376,4.503367357671367,1.9024534775072668,4.627494137413785,27.922333199803845
P.A. Trento,1.4999999995719917,1.499944668654699,0.3009542680658568,0.01890630323749683,0.10520479515391397,0.21053851136368126,4.996869115625966,0.3000845469735454,0.2013674891837892,30.32969443216331
Campania,0.9,1.199999999999998,0.05349866042568434,0.023681920122290485,0.010000962592961382,0.20056188030550634,4.999999999812067,0.3411908168437049,0.5571423319804301,38.62441336985757
Veneto,0.9,1.1999610438900934,0.06413501913795379,0.0310857466955604,0.01000000000000099,0.3231453084436713,4.999939630436443,0.35572011226422884,0.26301154527035026,41.565479481831396
Liguria,0.9,1.1999999985659224,0.1952433371710592,0.03255906659830938,0.03225169436254841,0.3199455658486751,4.999992846172406,0.6167868599666706,0.13856043805680515,34.689982168223665
Piemonte,0.9016809316353552,1.4999999999221547,0.10177861707606567,0.03550447700895342,0.010084639681326928,0.4689893037823925,4.1838670152399375,0.8260227008563443,0.2486058111755184,44.77902506460922
P.A. Bolzano,1.4202502313731538,1.499999996050582,0.2313442890552895,0.015961758340305277,0.07559549068479134,0.2049131847039492,4.999880505436853,0.30000012671897663,0.30604170821644144,29.545249478821468
Lombardia,0.9000000173182579,1.4999999979389464,0.13699071866292667,0.03554853175005838,0.010018233397854244,0.7743100939512577,4.129398030481552,1.130285468224982,0.2174042472199396,41.67157826771684
P.A. Trento,1.4975751891705396,1.4998837785758816,0.3007286451082519,0.01893835068009934,0.10507390937698732,0.2105880648198215,4.999442724032496,0.30004429478373923,0.20068003985810304,30.31480195766861
