Tram,Descripció,Coordenades
94,Passeig de Sant Gervasi (Balmes a Pl. Bonanova),"2.133733839866239,41.40685774956858,2.134276883535871,41.40767682396059,2.13429570212252,41.40775762862356,2.134287603129144,41.40869965402674,2.134312551329389,41.40876982901688,2.134381342673051,41.40882145533767,2.135483414448469,41.40983823264696,2.135677321758278,41.40994184945032,2.135909818161148,41.41003252740394,2.136624932737763,41.41021329358408"
95,Craywinckel - República Argentina (Balmes a Pl. Alfonso Comín),"2.13714034525369,41.41023559526721,2.137762082735208,41.41049701197619,2.137886439015302,41.41057156422354,2.138019527533348,41.41070807501046,2.138203117760309,41.4109927444553,2.138301871944159,41.41121162529216,2.139853238461569,41.41235962659813,2.13990983411801,41.41243901455176,2.139876580180626,41.41247550722789,2.137870746845259,41.41406475889892,2.13784745448234,41.41411071590132,2.137832335843379,41.41416793233844,2.137840599119782,41.41423840288028,2.137896514351367,41.4143146128935"
96,Passeig de Sant Gervasi (Pl. Alfonso Comín a Balmes),"2.137305128965685,41.4143391092673,2.137354030722549,41.4142736495498,2.137472556341609,41.41422411713169,2.137570869329499,41.41416048661147,2.137639788547252,41.41405054048686,2.137678625884838,41.4139178728475,2.138277033879334,41.4115072321718,2.13825603497384,41.41122855811281,2.138214670136025,41.4111353425135,2.138154644094668,41.41101046247336,2.138022514921425,41.41080210678258,2.137968480963117,41.41072073781752,2.137890485268714,41.41064372803741,2.137830399951892,41.41058024369024,2.137734383266969,41.41052565732167,2.13712751147529,41.41027511592307"
97,Mitre (Via Augusta a Balmes),"2.132973968357783,41.39785283225579,2.133095980499473,41.39803605333224,2.134223226871079,41.39928583852792,2.13495084371002,41.40000309503391,2.136782743004377,41.40156413156649,2.137495975902639,41.40225915195162,2.137992530866606,41.40276673305898,2.139463636062566,41.40375704054719,2.140718758920652,41.40434537871988"
98,Mitre (Balmes a Via Augusta),"2.132800858458508,41.39785415475829,2.132937330077633,41.39807141656736,2.13411222033028,41.39941658136412,2.135770747903478,41.40091402819377,2.13665453334331,41.40170272103191,2.137374723617946,41.40238820568018,2.137865194226114,41.40288193796688,2.139312161260245,41.4038715726179,2.14054542416914,41.40443786266614"
99,Mitre (Balmes a Pl. Lesseps),"2.140870634314853,41.40440868630283,2.141783556041688,41.40476764084413,2.142521601162846,41.40499882206603,2.144295898805875,41.4053918491026,2.145509837522883,41.40560769424188,2.146940580230312,41.40569920433259,2.147368274431447,41.40572477529703,2.147797358185635,41.40577135422319,2.148135773311257,41.40585177682603,2.148850227661439,41.40614283399103,2.149432610229869,41.40658410473424"
100,Mitre (Pl. Lesseps a Balmes),"2.140648116990227,41.40448234147681,2.141663268364649,41.40488849048492,2.142348458426857,41.4050849986466,2.144045397700756,41.40549406205662,2.144408408672898,41.40554995642675,2.145461627434941,41.40571897572177,2.147306321184854,41.40587709248062,2.147598199927969,41.40590631219409,2.148089551862928,41.40599817031267,2.148641292543772,41.40624562206987,2.149276333338601,41.40663803844466"
101,Travessera de Gràcia (Pl. Francesc Macià a Aribau),"2.145328725665552,41.39328713932515,2.145715651226843,41.3936440454352,2.146166330292589,41.39399597241549,2.149331967851977,41.39594861552571"
102,Travessera de Gràcia (Aribau a Via Augusta),"2.149330405746273,41.39593880954032,2.153194611211402,41.39842343750502"
103,Diagonal (Pl. Francesc Macià a Balmes),"2.145089368188193,41.39275830729402,2.154833976219466,41.39522436960795"
104,Diagonal (Balmes a Pl. Francesc Macià),"2.145092239861253,41.39293570944426,2.154615811848437,41.395349647495"
105,Diagonal (Balmes a Pl Joan Carles I),"2.154850186332837,41.39522659412929,2.159482249440916,41.39640601488856"
106,Diagonal (Pl. Joan Carles I a Balmes),"2.15466087572173,41.39535060583839,2.158828798830335,41.39637276130054,2.15893913720655,41.39649654365457,2.159212920600586,41.39657866724485"
107,Numància (Diagonal a Travessera de les Corts),"2.132706747742488,41.38946387844153,2.135204975160903,41.38692269759929"
108,Numància (Travessera de les Corts a Berlin),"2.135210188921466,41.38692300541036,2.139070555369411,41.38322344911437"
109,Numància (Berlin a Pl. Països Catalans),"2.139070555369411,41.38322344911437,2.140084803343139,41.38232695669355,2.14179821936878,41.38097202647182,2.141977779240312,41.38080666642774"
110,Tarragona (Pl. Països Catalans a Aragó),"2.142400475118791,41.38059273660183,2.142922905606002,41.38027437751029,2.143121607912271,41.38018085829168,2.145935019175389,41.37804920454243"
111,Tarragona (Aragó a Pl.Espanya),"2.145941957959057,41.37805632119623,2.148060852904239,41.37648636240795,2.148140843744371,41.37636493799668,2.148226061426422,41.37627679330889,2.148879621974442,41.37574866748493,2.148938708783608,41.37562910413181,2.148940783088136,41.37551361795467,2.148879798611987,41.37540654249882"
112,Entença (Gran Via a Aragó),"2.152910484157977,41.37790468084696,2.149414362879758,41.38053900736011"
113,Entença (Aragó a Av. Roma),"2.14941877630898,41.38053830848952,2.147198104143226,41.38219196383549"
114,Entença (Av. Roma a Josep Tarradellas),"2.147202814835902,41.38219680794396,2.142594569643743,41.38563430305257"
115,Entença (Josep Tarradellas a Travessera de les Corts),"2.142591392952453,41.38562983923275,2.140957694294439,41.38706588797302,2.139739174961364,41.38817523622552,2.138880732638537,41.38904390379221"
116,Entença (Travessera de les Corts a Diagonal),"2.138884467899618,41.38903921569207,2.138172440067283,41.38982160364674,2.137772085202203,41.39022085872097,2.137294352382999,41.39061107968853"
117,Urgell (Gran Via a Aragó),"2.158536123464652,41.38216041159433,2.15507362637005,41.38480539746573"
118,Urgell (Aragó a Av. Sarrià),"2.155087251262404,41.3847939170512,2.148272703278802,41.38988040074583"
119,Av. Sarrià (Urgell a Diagonal),"2.148244542341879,41.38985949424406,2.139525152655226,41.39115510234785"
120,Aribau (Pl. Universitat a Aragó),"2.162980801586023,41.3856737244,2.159597955581105,41.38822244249691"
121,Aribau (Aragó a Diagonal),"2.15959490754724,41.38822927677844,2.151469851228587,41.3943464283152"
122,Balmes (Diagonal a Aragó),"2.154873060655214,41.39519714300544,2.161845748807116,41.38990147462535"
123,Balmes (Aragó a Gran Via),"2.161848158706636,41.38990926699342,2.165232240861617,41.38735024572901"
124,Passeig de Gràcia (Gran Via a Aragó),"2.168275100659407,41.38966295623634,2.165024155545858,41.39226912252429"
125,Passeig de Gràcia (Aragó a Pl. Joan Carles I),"2.164962057064721,41.39228833123664,2.159809554024013,41.39648312422192"
126,Travessera de les Corts (Av. Sarrià a Entença),"2.14132359641694,41.39086966809639,2.141144886482069,41.39047483950091,2.140958510872384,41.39025064033969,2.138911795172083,41.38905206779217"
127,Travessera de les Corts (Entença a Numància),"2.138881254695975,41.38904282830882,2.13520877373266,41.3869190121928"
128,Travessera de les Corts (Numància a Carles III),"2.135218562339925,41.38693508241438,2.130862115723176,41.38418496658105,2.128276775562381,41.38247933509404"
129,Av. Madrid (Carles III a Numància),"2.139074460880526,41.3831986539319,2.137559363521913,41.38256280226404,2.135515401716444,41.38175142494667,2.13426262487378,41.38134034711919,2.133530803579016,41.38115938474708,2.132354737176412,41.38082403366494,2.131738824177469,41.38061680399022,2.131310647838465,41.3804642989339,2.130703827329763,41.38021151828762,2.129313840060438,41.37950856529406"
130,Berlín (Numància a Josep Tarradellas),"2.139068910621274,41.38322649553167,2.140321216668395,41.38393735985032,2.141505163589836,41.38473665930221,2.142581374052104,41.38563930406682"
131,París (Josep Tarradelles a Urgell),"2.142615523258546,41.38563110098092,2.148237270292237,41.3898672475047"
132,París (Urgell a Balmes),"2.148255072371528,41.38987670402769,2.155083077641875,41.39504028495097"
133,Carrer de Sants (Carles III a Premià),"2.130595103233517,41.37547832787384,2.139042247783676,41.3752673927255"
134,Carrer de Sants (Premià a Carles III),"2.13056495482207,41.37551932892383,2.139029826571497,41.37532269074156"
135,Carrer de Sants (Premià a Pl. Espanya),"2.139034068603962,41.37525965171701,2.148303881259799,41.37515534957157,2.148593173679658,41.37504609873608"
136,Carrer de Sants (Pl. Espanya a Premià),"2.148606139352793,41.37521288250654,2.14828912101803,41.37519175575007,2.139035153495739,41.37531696006077"
137,Av. Roma (Aragó a Urgell),"2.157152358232892,41.38646735139697,2.154424310298779,41.38528928107935"
138,Av. Roma (Urgell a Entença),"2.15440131474212,41.38527936347686,2.147208847192816,41.38219715301504"
139,Av. Roma (Entença a Pl. Països Catalans),"2.147195775005304,41.38218890276119,2.145773933266078,41.38159106470533,2.143914439442598,41.38088432574022,2.143233086307765,41.38072001478466,2.142389075759055,41.38061090043921"
140,Mallorca (Passeig de Gràcia a Aribau),"2.162703538301531,41.39395630202577,2.157330828357611,41.38989381803183"
141,Mallorca (Aribau a Urgell),"2.157346977496297,41.38989452744422,2.152835021641781,41.38650438857695"
142,València (Urgell a Balmes),"2.153945136121882,41.38564435289319,2.160748460885091,41.39075050397376"
143,València ( Balmes a Pau Claris),"2.160747098064935,41.3907497713866,2.16525989634478,41.39415247292076"
144,Aragó (Pau Claris a Balmes),"2.166388937011798,41.3933120755603,2.161848740773071,41.38991031305199"
145,Aragó (Balmes a Urgell),"2.161836697830828,41.38990101920162,2.157178312518393,41.38647069484893,2.15506811806192,41.38479662539965"
146,Aragó (Urgell a Tarragona),"2.155077431457955,41.38480688903729,2.146094681519035,41.3780947241509,2.145926305132881,41.37807064685482"
147,Passeig de la Zona Franca (Pl. Cerdà a Foc),"2.135522320640717,41.36437403474587,2.13572249153184,41.36433184341584,2.135888783498277,41.36421908448108,2.136166336407233,41.36394632472025,2.141706334623088,41.35632550287139"
148,Passeig de la Zona Franca (Foc a Pl. Cerdà),"2.135855093788495,41.364740410228,2.141860784071918,41.35640232035159"
149,Passeig de la Zona Franca (Foc a Ronda del Litoral),"2.141702805665782,41.35634614904937,2.146554023241893,41.34963336622748"
150,Passeig de la Zona Franca (Ronda del Litoral a Foc),"2.141850675253816,41.35640980120439,2.146722429054189,41.34971163972482"
151,Gran Via (Pl. Cerdà a Moianés),"2.135855975108492,41.36488525819141,2.142477788443493,41.3698488306971"
152,Gran Via (Moianés a Pl. Cerdà),"2.142351093388246,41.37010336452618,2.135625569958353,41.36501621380564"
153,Gran Via (Moianés a Pl. Espanya),"2.142448493994527,41.3698338736194,2.148858599902699,41.37468117746734"
154,Gran Via (Pl. Espanya a Moianés),"2.148617212357407,41.37483709001101,2.142331562034612,41.37009255734327"
155,Gran Via (Pl. Espanya a Entença),"2.149625512446209,41.37520838696996,2.149852016589511,41.37541117787422,2.150181931168107,41.37580112954091,2.152898880072844,41.37789911378226"
156,Gran Via (Entença a Urgell),"2.152916297684777,41.37790665126669,2.158549953490416,41.38215900948046"
157,Gran Via (Urgell a Pl. Universitat),"2.158554731372266,41.38215177817826,2.163687755335264,41.38598955660314"
158,Gran Via (Pl. Universitat a Passeig de Gràcia),"2.163687051345038,41.38599404770713,2.166721381047758,41.38825104154278,2.167167097628922,41.38835912913182,2.168387595645653,41.38932938891491"
159,Sepúlveda (Ronda de Sant Antoni a Urgell),"2.163768754090227,41.38415045625439,2.159830062122552,41.38119425116891"
160,Sepúlveda (Urgell a Entença),"2.159818387005039,41.38118459550979,2.154184411248115,41.37691623899558"
161,Sepúlveda (Entença a Paral.lel),"2.154180300570716,41.37692137910927,2.151673979162663,41.37507402766983"
162,Paral.lel (Pl. Espanya a Entença),"2.149731278540372,41.37515897393959,2.15401575095912,41.37505368191116"
163,Paral.lel (Entença a Pl. Espanya),"2.149722801000342,41.37508076792499,2.153992836755485,41.37497417050791"
164,Paral.lel (Entença a Calàbria),"2.154014988950743,41.37504830019314,2.160795036400516,41.37505540739033"
165,Paral.lel (Calàbria a Entença),"2.153988530206568,41.37497650758521,2.160790869419216,41.37497773016127"
166,Paral.lel (Calàbria a Ronda de Sant Pau),"2.160806010472567,41.37505072414313,2.167839989688214,41.37498312039563"
167,Paral.lel (Ronda de Sant Pau a Calàbria),"2.160792086641019,41.37497290149459,2.167854030790994,41.37490608736539"
168,Paral.lel (Ronda de Sant Pau a Josep Carner),"2.167816301234855,41.37498443097444,2.170053678754829,41.37498037614426,2.175315866190084,41.37468859847726,2.175588886421747,41.37452956680852,2.175962748986153,41.37437372698415"
169,Paral.lel (Josep Carner a Ronda de Sant Pau),"2.167846673623,41.37490162306974,2.170046656021274,41.37489605002186,2.175249722169443,41.37454574940963,2.175481796551575,41.37443232997228,2.175589001051113,41.37413591566935"
170,Entença (Paral.lel a Gran Via),"2.156285641901548,41.3750476989261,2.156276595648821,41.37536028350906,2.152931587474631,41.37787112406385"
171,Ronda de Sant Pau (Paral.lel a Ronda de Sant Antoni),"2.167867853798173,41.37498440501707,2.167798332898476,41.37510291800829,2.163183678997813,41.37864493555137"
172,Urgell (Ronda de Sant Pau a Gran Via),"2.163196139559716,41.37863505694546,2.158545356269452,41.38215267200736"
173,Ronda de Sant Antoni (Ronda de Sant Pau a Pl Universitat),"2.163154056295562,41.37869950417274,2.164064774933985,41.38534197303842"
174,Ronda de Sant Antoni (Pl. Universitat a Ronda de Sant Pau),"2.163955403217521,41.38531924176605,2.163077868302608,41.37873474169105"
175,Pelai (Pl. Universitat a Balmes),"2.164651529417385,41.38596143246053,2.167492740544994,41.38568927796226"
176,Balmes (Gran Via a Pl. Catalunya),"2.165234480939979,41.38735891625806,2.166326911383425,41.38654575010486"
177,Ronda Universitat (Pl. Urquinaona a Pl. Universitat),"2.172289774171898,41.38881064707914,2.164714586691767,41.38596798182094"
178,Fontanella (Pl. Catalunya a Pl. Urquinaona),"2.172796098185654,41.38847781237315,2.171738382018862,41.38727059777287,2.171374535864876,41.38694748180033"
179,Passeig de Gràcia (Pl. Catalunya a Gran Via),"2.170169952006475,41.38802204679796,2.170150679550804,41.38810095820821,2.168661210318432,41.38931339198297,2.16853553274964,41.38940910540062,2.168531509272269,41.38947229847219,2.16828011812513,41.3896636742123"
180,Pau Claris (Còrsega a Mallorca),"2.161613161896925,41.39688382174584,2.16411912666592,41.39501755218494"
181,Pau Claris (Mallorca a Aragó),"2.164122337650778,41.39502208872002,2.16637963610921,41.39330664525808"
182,Pau Claris (Aragó a Gran Via),"2.166382943867897,41.39330673590619,2.169901169086754,41.39065532234678"
183,Pau Claris (Gran Via a Pl. Urquinaona),"2.169885781095593,41.39066201706508,2.172322737813615,41.38881448141087"
184,Via Laietana (Pl. Uruiqnaona a Jaume I),"2.172764148073199,41.38847907390234,2.178713576908242,41.38395432230343"
185,Via Laietana (Jaume I a Pl. Urquinaona),"2.17281921135891,41.3884956523831,2.178740330544848,41.38398380680753"
186,Via Laietana (Jaume I a Pl. Antonio López),"2.17871727715645,41.38395548246053,2.182099688435732,41.38137880400316"
187,Via Laietana (Pl. Antonio López a Jaume I),"2.178742674933132,41.38398526468507,2.182118556677202,41.38142319525245"
188,Roger de Llúria (Pl. Urquinaona a Aragó),"2.173418906968181,41.38970316422083,2.167510879408985,41.39415437342539"
189,Roger de Llúria (Aragó a Diagonal),"2.167479116678159,41.39415995798503,2.163328963140889,41.39731781385859"
190,Pi i Margall (Pl. Alfons el Savi a Pl. Joanic),"2.164633704063712,41.41171635931418,2.163113989670344,41.40614951409501"
191,Pi i Margall (Pl. Joanic a Pl. Alfons el Savi),"2.164726038512299,41.41170888139349,2.16322338973673,41.40615346498549"
192,Passeig de Sant Joan (Pl. Joanic a Còrsega),"2.162654089870462,41.40440228199065,2.166263270499442,41.40172165930255"
193,Passeig de Sant Joan (Còrsega a Pl. Joanic),"2.163018375972605,41.4046274564178,2.166568627819052,41.4019359159133"
194,Passeig de Sant Joan (Còrsega a Pl. Verdaguer),"2.166279438830037,41.40172836308417,2.169643642441685,41.39911753722591"
195,Passeig de Sant Joan (Pl. Verdaguer a Còrsega),"2.166543778420813,41.40193772404578,2.169962511260715,41.39928465856502"
196,Passeig de Sant Joan (Pl. Verdaguer a Pl. Tetuan),"2.169614972671807,41.39913932765836,2.169967101265591,41.3989692548168,2.174403626128194,41.39570764516704,2.174676206229944,41.39535383643318,2.174837205264448,41.39500522175175,2.174935363891015,41.39482357276402,2.17500649527254,41.39468664316795,2.1750995499296,41.39457919278124"
197,Passeig de Sant Joan (Pl. Tetuan a Pl. Verdaguer),"2.169970062191635,41.3993080837622,2.170138163590296,41.39915866925756,2.170143383958314,41.39907645207663,2.174391566016745,41.39588335753915,2.174782550446377,41.39559907042727,2.175088722005323,41.39546972753909,2.175440522131513,41.39539768496825,2.175776544298704,41.39538069891727,2.176060752952276,41.39522250537335"
198,Passeig de Sant Joan (Pl. Tetuan a Passeig Lluís Companys),"2.175110896977761,41.39455854972081,2.175287105708268,41.39446457091395,2.175508062934723,41.39446446284326,2.175667749343739,41.39447085334508,2.176008916127603,41.39433581350161,2.17623636129944,41.39425178230445,2.176441872327315,41.3941294823818,2.179803818550308,41.39161551147991,2.179924582786958,41.39147950159324,2.179929962156548,41.39139544959424,2.179898161331535,41.39111332756212"
199,Passeig de Sant Joan (Passeig Lluís Companys a Pl. Tetuan),"2.176043094484588,41.39522597737633,2.176138778857912,41.39507227438767,2.176135191847564,41.39495052895595,2.176140147280508,41.39482320317642,2.176223373843429,41.39466895415215,2.176467812538714,41.39430716514379,2.17981909175367,41.39176555130456,2.180091397684814,41.39159768921588,2.180391602207514,41.39158037776557,2.180600442569958,41.39162541047244"
200,Passeig Lluís Companys (Passeig de Sant Joan a Passeig de Pujades),"2.179892981371934,41.39111334051945,2.179947133750055,41.39100996349394,2.183089149862605,41.38861665683478"
201,Passeig Lluís Companys (Passeig de Pujades a Passeig de Sant Joan),"2.180594664262385,41.39162753047184,2.180742329704239,41.39154752353691,2.183873164389525,41.38918414430108"
202,Comerç (Passeig Lluís Companys a Marquès de l'Argentera),"2.181385992954379,41.38991178971306,2.181346275758846,41.38969322198503,2.181419946488563,41.38862404619364,2.182045101584673,41.38686895011053,2.182175867678566,41.38666827390093,2.182435217590493,41.38631790109311,2.182709046713609,41.38604148620381,2.18440401061698,41.38476606086355,2.184954595699347,41.38443208032796"
203,Sardenya (Pl. Sanllehy a Pi i Margall),"2.16124585355832,41.41360710393831,2.163037193638471,41.41146842345605,2.163732804076062,41.41069616887651,2.164266918808644,41.41027862021453"
204,Sardenya (Pi i Margall a Maria Claret),"2.164306719003024,41.41023800560878,2.168685649211841,41.40693230475621"
205,Sardenya (Maria Claret a Aragó),"2.168691070447761,41.40691965049455,2.176622388449445,41.4009069256532"
206,Sardenya (Aragó a Gran Via),"2.176622388449445,41.4009069256532,2.180078654360538,41.39829296956474"
207,Marina (Pl. Voluntaris a Av. Icària),"2.195955102869145,41.38803536479829,2.194567929873355,41.38909313179707"
208,Marina (Av. Icària a Av. Meridiana),"2.194557892106277,41.38910180139862,2.187156237960009,41.39469484448465,2.187175766746097,41.39478430990325,2.18718448151926,41.39487418124681,2.187127666341397,41.39496739357643"
209,Marina (Av. Meridiana a Gran Via),"2.187127522362828,41.39496482447919,2.187067087303352,41.39503201608163,2.186944843800491,41.39505369714418,2.18683010016314,41.39504635393874,2.186733205000426,41.39502373128983,2.186653390317583,41.39497886481695,2.181212894599629,41.39913703106073"
210,Marina (Gran Via a Diagonal),"2.181214901420718,41.39913936846909,2.178756467516028,41.40098057321493,2.178786966327404,41.40107570638578,2.178713500019587,41.40120816064721"
211,Lepant (Ronda Guinardó a Maria Claret),"2.166649024379721,41.41206634181039,2.166861072620288,41.41187431806482,2.167797115887384,41.41120929025179,2.16853474781824,41.41065886141446,2.169088191446766,41.41027092566836,2.170405062671852,41.40922425343936,2.171035849958996,41.40869401937403"
212,Lepant (Maria Claret a Aragó),"2.171036957417361,41.40868495488762,2.178951671378542,41.40274314074311"
213,Lepant (Aragó a Gran Via),"2.178953865212576,41.4027388158197,2.182434172582193,41.4000798086754"
214,Padilla (Gran Via a Aragó),"2.183540639828718,41.40088172313863,2.183367897364545,41.40098400470679,2.179997265799427,41.40355157592406"
215,Padilla (Aragó a Maria Claret),"2.18000341349484,41.40353946642075,2.172147172841934,41.40952257398565"
216,Padilla (Maria Claret a Ronda Guinardó),"2.172150039884977,41.40951371846342,2.17155341177588,41.41000939943112,2.169090721877531,41.41190067826738,2.168761588369204,41.412134152865,2.168186541003758,41.41250628387453"
217,Av. Estatut de Catalunya (Ronda de Dalt a Av. Can Marcet),"2.152114462349888,41.43770320576127,2.152262712553461,41.43743253559349,2.152620368084632,41.43693529647621,2.153330357198633,41.43612700905895,2.153434377078602,41.43593888160473,2.15351325042094,41.43571851992915,2.153541081308974,41.43554900516335,2.153436717165826,41.43539339393661,2.153008448862266,41.43490570072501,2.152880202829932,41.43474229959067,2.152697429019186,41.43437594526959,2.15249504527778,41.43383404560143,2.15237286143112,41.43381442326163,2.152254066649029,41.43374508398492"
218,Av. Estatut de Catalunya (Av. Can Marcet a Ronda de Dalt),"2.152248795100631,41.43773443709386,2.152285374727618,41.43762546123719,2.152417901937485,41.43742751213336,2.152632247355639,41.43723742667105,2.15311827301288,41.43695502284098,2.153348600480238,41.43673046570624,2.153554581851918,41.43650763868276,2.153663036473501,41.43636902578853,2.153833254107849,41.43610498567097,2.153900235712152,41.43586404007656,2.153889135673264,41.43565738720513,2.153774442594529,41.435480243152,2.153249664369055,41.43482647106744,2.153016689020442,41.43449324002347,2.152875407874599,41.43416643412952,2.152793882239956,41.43397744543644,2.152865165636622,41.43379543783257,2.152980678986567,41.43366591093008"
219,Av. Estatut de Catalunya (Av. Can Marcet a Lisboa),"2.152246498148243,41.43373492409155,2.152194770176517,41.4336480007923,2.152203313101104,41.43350908556527,2.152234716758459,41.4333880062635,2.152383334109065,41.43327903674597,2.152476999380324,41.43318431706412,2.15277998740987,41.43292926185022,2.153209825699531,41.43260485012203,2.153345932120805,41.43247747880441,2.153583247897575,41.43206623926524,2.153654332239328,41.43185312442159,2.153762752182331,41.43164645630296,2.154168072054736,41.43124650420313,2.155145363117492,41.43061651502084,2.155449757594496,41.43041833032359,2.155633901553258,41.4302109159377,2.155760978570147,41.43002403006356,2.15598612684569,41.42987708105277,2.156121709447136,41.42979827178372,2.156375904908936,41.42964720199367,2.156565683056513,41.42946599749722,2.156956543209876,41.42901298222189"
220,Av. Estatut de Catalunya (Lisboa a Av. Can Marcet),"2.157057153874855,41.42905135803574,2.156943089741337,41.42918909261098,2.156870158224571,41.42931795241767,2.156756751440188,41.4294622789924,2.156715273918171,41.42956238879255,2.156599994115087,41.42987650468582,2.156580105957346,41.4300248949374,2.156588128150376,41.4301211193023,2.156513911640119,41.43028027356341,2.156357997796443,41.43041439958016,2.156182893158973,41.43051627737246,2.155974209365528,41.43054268188068,2.155768511193992,41.43058086180195,2.155524729104417,41.43067311564965,2.155339598059383,41.43085432646177,2.154163599343755,41.43224034260752,2.15397919019984,41.43243294378118,2.153833969151293,41.43258492215151,2.153713992225299,41.43281646884226,2.153608982786834,41.43303418173675,2.153494048130202,41.43324175705808,2.153373330661681,41.4333906870606,2.15323709538694,41.43348914070822,2.152984318035209,41.43367016340019"
221,Rambla del Carmel (Lisboa a Túnel de la Rovira),"2.156953105602577,41.42901976323125,2.157155868349789,41.42871902387424,2.157324706950929,41.42834302900346,2.157454898677229,41.42791995922151,2.157530431928882,41.42755742639877,2.157574906564697,41.4272812550562,2.157491195836967,41.42710813106534,2.157419146891637,41.426960546357,2.157430069636885,41.42680202268443,2.157553497053812,41.4263090366,2.157757764051509,41.4251976073209,2.157784089016936,41.42496793464076,2.15776505987995,41.42482788853911,2.157788958510385,41.42472671202386,2.157943437192131,41.42410677404674,2.158024213716281,41.42367649903289"
222,Ciències (Túnel de la Rovira a Lisboa),"2.157042797892832,41.4290618877242,2.157235491884375,41.42883317422008,2.157784325407424,41.42836949710451,2.157946573476983,41.42769060259438,2.158208203142755,41.42652600920066,2.158155550006564,41.4263651363482,2.158347487922105,41.42555142703369,2.158440744047647,41.42506327994269,2.158498887571823,41.42467719853209,2.158487308247103,41.42440740540295,2.158363552245937,41.42394202776617,2.158411992232878,41.42373648172813"
223,Túnel de la Rovira (Rambla del Carmel a Ronda Guinardó),"2.158211233932794,41.42368801387486,2.158330587353441,41.4230653054256,2.158498947660417,41.42245322107961,2.158578120845305,41.42215131667474,2.158943296467346,41.42130788409302,2.159878062436456,41.41989742349367,2.160816848245666,41.41889109129136,2.161412756288856,41.41838687574553,2.161906787792483,41.41801449719478,2.16201594299376,41.41789389821776,2.162363094001181,41.41765369770641,2.162871887518179,41.41731006670636,2.16340233067168,41.41690613127062,2.164039453300375,41.41643721911841,2.164717323320351,41.41582793613621,2.165429976281514,41.41497296306692,2.16577218740881,41.41449649015362,2.166391393768437,41.41371371285815,2.166814986365175,41.41320027146232,2.166858039833286,41.41271012762908,2.166749723536954,41.41238386078383,2.166612938056411,41.41221616337107"
224,Túnel de la Rovira (Ronda Guinardó a Rambla del Carmel),"2.167845191437325,41.41245582245191,2.167855634099041,41.41260139472667,2.167762695091631,41.41275299911125,2.167659604088836,41.41282101260964,2.16732618912348,41.4130554646373,2.167100200739394,41.41323784812357,2.166846845490293,41.41354944892006,2.166392926687029,41.41401040048602,2.166230900285053,41.41422112627415,2.165479710342944,41.41547892594563,2.164985047027255,41.41617728637418,2.164548048330026,41.41669795172363,2.164125557909198,41.41707677758803,2.163904000780135,41.41724980534564,2.163788421339956,41.41737640985033,2.16356041140876,41.41759531906495,2.163378872535167,41.41777265466895,2.163107749221827,41.41801340880571,2.162802459638433,41.41827814554453,2.162103383025675,41.41882136592624,2.161052429017316,41.41974463032319,2.160510155265174,41.42020312826865,2.160205660243617,41.42059968597276,2.159340402910375,41.42165229487316,2.158845642591001,41.42252508385652,2.158462032436539,41.42368520823843"
225,Lisboa (Pl. de la Clota a Av. Estatut Catalunya),"2.150425595837389,41.42614628512336,2.15093934431263,41.42620589052271,2.151335962460934,41.42626243630481,2.151745386383099,41.42641259542587,2.152037591409615,41.42668261633329,2.152464021548994,41.42691345695446,2.152954576487824,41.4271070894859,2.153606666861323,41.42732677144049,2.15425368481222,41.42761429851013,2.154515434752202,41.42776125148637,2.155137614736995,41.42835792536693,2.155794642843876,41.42863463161649,2.15637717722335,41.42879677701586,2.156958473033457,41.42899048269896"
226,Lisboa (Av. Estatut Catalunya a Pl. de la Clota),"2.156896818655094,41.42903843907077,2.156288493740592,41.428835696161,2.155718377521438,41.42867319159429,2.155096232223399,41.42840274113851,2.154459061598677,41.42776402189371,2.153671422712504,41.42742444473308,2.153158191254112,41.42723996762856,2.152316270134012,41.42691216428086,2.151948522692513,41.42668760648068,2.15168375394037,41.42646799819625,2.151331366906677,41.42631603457861,2.15040737637497,41.42619553310756"
227,Tajo (Lisboa a Passeig Maragall),"2.15912708941139,41.42965589789414,2.159440299944639,41.42968405542517,2.159817753131725,41.42968423739818,2.160301045691158,41.42966086432894,2.160619869509823,41.4296266805132,2.161209505419481,41.4295531083723,2.161488752459733,41.42952552622894,2.161762280303228,41.42952926567828,2.16201142672674,41.42954058010349"
228,Tajo (Passeig Maragall a Lisboa),"2.161974238108335,41.42958593949358,2.161509267308832,41.42956792960246,2.161329029511705,41.42959012688268,2.160673922238157,41.4296735883434,2.160191446524415,41.42972188349516,2.159535142857323,41.42973514097989,2.15934579266158,41.42972579532387,2.159097457282819,41.42969463175218"
229,Pg. Maragall (Tajo a Av. Borbó),"2.162028961877052,41.42954035905324,2.163594647372764,41.42809602911825,2.163824998517523,41.42800737320263,2.164208976556987,41.42787741434666,2.166004821059173,41.4276895309477,2.168902943699484,41.42734284714691,2.169893401248881,41.42719854721441,2.17234363885741,41.42650152266927,2.175997647301571,41.42547796306809,2.176377769918054,41.42510875946376"
230,Pg. Maragall (Av. Borbó a Tajo),"2.176420160032533,41.42514778193972,2.176062930391005,41.42550174433217,2.175923750155488,41.42555299014852,2.169863932837171,41.42727338771934,2.165982916035478,41.42775210216563,2.16425306134175,41.4279224515797,2.16366982183428,41.42812106284786,2.162075636201777,41.42958198263647"
