Tram,Descripció,Coordenades
23,Av. Foix (Pg. Manuel Girona a Pg. Reina Elisenda),"2.123318678466315,41.39091497708756,2.12266298641536,41.39139335298234,2.122100980594199,41.39187009295412,2.121832637225354,41.39217131890746,2.121404844484882,41.39275266010418,2.121179025578688,41.39335840361679,2.121138750507809,41.39380027333807,2.121112560151186,41.39398854858254,2.120171338006422,41.39536566476468,2.120062364723405,41.39569107019266,2.12006327943647,41.39606200193775,2.120153938156921,41.39636859206447,2.120357790154803,41.39681125337418,2.120353377913271,41.39695490385315,2.119709114055128,41.39751176781448,2.11925805081443,41.39801130600852,2.118665445484702,41.39862050205537"
24,Pg. Manuel Girona (Pl. Prat de la Riba a Av. Pedralbes),"2.119731027688196,41.38958532109157,2.120385832914558,41.38992238255668,2.120861069557376,41.39013670874288,2.1219152810975,41.3905234208101,2.123311021849554,41.39090537135291,2.128779121220092,41.39224750028529,2.129418622522925,41.39242407820612,2.129667833179896,41.39256704599131"
25,Capità Arenas (Pg. Manuel Girona a Pl. Maria Cristina),"2.125578272575177,41.39146452517845,2.126894603201157,41.38861795298266"
26,Av. Doctor Marañón (Av. Diagonal a Aristides Maillol),"2.112074632717473,41.3842042848003,2.112417769383175,41.38344625002331,2.112739700094624,41.38285558753098,2.113154707369069,41.38239426933502,2.113659130732288,41.3819675722578,2.114105288599799,41.38167942161458,2.11475124208566,41.38129169434328,2.115126384973594,41.38110652839591,2.115589628066719,41.38098866748891,2.118098796831662,41.38078653653204,2.118574901673453,41.3807021727486"
27,Av. Doctor Marañón (Aristides Maillol a Av. Diagonal),"2.112255275467152,41.38423410460903,2.112704359674134,41.38325574903175,2.112877440859857,41.38293200325023,2.112993695886023,41.38278108549245,2.113177770133428,41.38254803365827,2.113556865884598,41.38222512015628,2.114378482570305,41.38166566092289,2.115151432466194,41.3812390246058,2.115368645992339,41.38115784348167,2.115591276367235,41.38111203610553,2.118350396156996,41.38089619969949,2.118593189223728,41.3809124103184"
28,Av. Joan XXIII (Pl. Pius XII a Av. Doctor Marañón),"2.118968108443318,41.38105849079827,2.119629967735031,41.38125104326883,2.120027417863699,41.38132885813418,2.120509657599223,41.38135008101401,2.120869939396279,41.38145941524242,2.121174338864811,41.38166866483748,2.122117469874021,41.38255078220354,2.122351031816847,41.38285737705603,2.12227423528897,41.3844859322913,2.12238373169823,41.38491836635638,2.122578747744621,41.38666723266362"
29,Av. Joan XXIII (Av. Doctor Marañón a Pl. Pius XII),"2.119084951268893,41.3808892060575,2.11949515910697,41.3811640156888,2.119886411433927,41.38125062391966,2.120701875056574,41.38129057825621,2.12089165489356,41.38132048990176,2.121084890202893,41.38145246473908,2.122050893015095,41.38238919681393,2.122321963736564,41.38245135471155,2.122714097901604,41.38283162967095,2.122796464355441,41.38301088574907,2.122728345299885,41.38430724313791,2.122637173851634,41.38456143501165,2.122491829713609,41.38484942712387,2.122479313231458,41.38490862775514,2.122645454348002,41.38665839762486"
30,Aristides Maillol (Av. Doctor Marañón a Travessera de les Corts),"2.118749694984459,41.38059296199305,2.118846027432217,41.38030141037821,2.118895168346036,41.38010619110168,2.119242282897418,41.37946848401806,2.119379020179395,41.37932036941015,2.120189661184817,41.37884883186867,2.12065147902005,41.37855806272653,2.120866081434729,41.37839921756359,2.121078096656088,41.37820549699758,2.121307219910478,41.37791297308153"
31,Aristides Maillol (Travessera de les Corts a Av. Doctor Marañón),"2.121450387416868,41.37800864473576,2.121179403432476,41.37831135246874,2.12097451669528,41.37849465359889,2.120563596941516,41.37878631520124,2.120112465731507,41.3790607069412,2.119740279000753,41.37924750920445,2.119555245911322,41.37940299107517,2.119383081651334,41.37961526758686,2.119243132855702,41.3798069736437,2.119133449463952,41.38006333158018,2.119082037435398,41.3803102601441,2.119052995659974,41.38068859183397"
32,Riera Blanca (Travessera de les Corts a Sants),"2.121329827650538,41.37789035569048,2.121481560359875,41.37761074245169,2.12153879153923,41.37744038355807,2.121559504741044,41.37609247229162,2.121612628564764,41.3759655047085,2.121716084145107,41.37580465141522,2.121793496702231,41.37569378938733"
33,Riera Blanca (Sants a Travessera de les Corts),"2.121464457022848,41.37797658185313,2.121710257106115,41.37746135972014,2.121798489889455,41.37589019574841,2.121779435359961,41.3758156980735,2.121860510835734,41.37569966073512"
34,Travessera de les Corts (Gran Via Carles III a Aristides Maillol),"2.127963581086467,41.38223772492858,2.126331119486888,41.38114819845362,2.125553617295699,41.38069325013522,2.121468378858924,41.37800236075969"
35,Av. Madrid (Riera Blanca a Gran Via Carles III),"2.12888502003473,41.37926108169773,2.126950556677829,41.37822267471226,2.125258475170899,41.37719191743502,2.122796392049979,41.37571311204706"
36,Sants - Creu Coberta (Riera Blanca a Gran Via Carles III),"2.121803235997981,41.37567214212357,2.130282109343231,41.37549402416645"
37,Creu Coberta - Sants (Gran Via Carles III a Riera Blanca),"2.121871003054767,41.37570779009034,2.130243149488988,41.37553208297882"
38,Via Augusta (Ronda de Dalt a Passeig Bonanova),"2.117935809023692,41.40445796190199,2.118480320536011,41.40383887582821,2.118930301236872,41.40339003000866,2.119798390352603,41.40262840731067,2.120806862567399,41.4019633646517,2.121590569990117,41.4015934107226,2.122184263761302,41.40118386245393,2.12275976326965,41.40077499715998"
39,Via Augusta (Passeig Bonanova a Ronda de Dalt),"2.118172359380595,41.40456466890452,2.118258356778398,41.40439379162923,2.118386969051149,41.4042074142899,2.118984202547127,41.4034678279138,2.119327162688254,41.40311648441389,2.119852899480395,41.40267423919917,2.120450205459412,41.40226193401163,2.120968349816093,41.40206066890948,2.121830001241902,41.40165838848638,2.121957223365578,41.40155687491463,2.122883524352672,41.40085210490357"
40,Via Augusta (Passeig Bonanova a Vergós),"2.122859273193511,41.40069664380736,2.123296478259342,41.40030685531746,2.124093217671788,41.39957327429008,2.126030734362054,41.39811044671677,2.126178303583197,41.3980637160707,2.126488969020712,41.39793729979099,2.126846900041854,41.39784012301391,2.127524765278457,41.39776886899645,2.128119302970255,41.39777442749426"
41,Via Augusta (Vergós a Passeig Bonanova),"2.122979007636592,41.40076683592743,2.123815314484545,41.39993983867068,2.124086426670906,41.39971470682653,2.124218820731321,41.39963914419386,2.124406081000032,41.3995340175299,2.126084410535121,41.39824866551646,2.12622559494962,41.39810789697526,2.126519653634842,41.39798326785502,2.126876250774159,41.39789583033807,2.127617461830171,41.39783950345591,2.128196597099772,41.39783024513982"
42,Via Augusta (Vergós a Mitre),"2.128131475067505,41.39777526297707,2.132854499392742,41.39775778438297"
43,Via Augusta (Mitre a Vergós),"2.128184843240206,41.39783087799393,2.132855081210556,41.39783179317504"
44,Mitre (Via Augusta a Pl. Prat de la Riba),"2.132762309466589,41.39776734548782,2.132702718526687,41.39760474696299,2.132683090251581,41.39738900637043,2.132800828611423,41.39707590862449,2.133039155964556,41.3967475951262,2.133740836011362,41.39605324416431,2.13389451883399,41.39579703347992,2.133948090321296,41.39560041475459,2.133968941128597,41.39540260105343,2.13381168243449,41.39515247142201,2.133248589197272,41.39454577253778,2.132645188278481,41.39399554516749,2.132027702849553,41.39361962837339,2.130248923519322,41.39271812228645"
45,Mitre (Pl. Prat de la Riba a Via Augusta),"2.132915691810435,41.39775788466462,2.132892609061683,41.39739245719492,2.132898112738098,41.39723706148982,2.132945157431199,41.39710663673184,2.133144984562041,41.39681586193957,2.133844989929452,41.39610397350634,2.134074228020921,41.39578921606452,2.134138934896179,41.39555011049161,2.134065819472744,41.39533316066871,2.133971890445188,41.39516187086929,2.132768375313134,41.39397268806467,2.132309798712662,41.39365801707554,2.131951891496517,41.39345589284706,2.130316976822235,41.39261936565131"
46,Carles III (Pl. Prat de la Riba a Pl. Maria Cristina),"2.129372921079735,41.39233095820669,2.129197044926454,41.39222028375494,2.129070023551896,41.39209947365209,2.128924049044894,41.39194080127476,2.12870307105093,41.39166068262239,2.128574100143177,41.39146026581343,2.128429632058702,41.39124463093526,2.128337239725777,41.39106792699587,2.128155311747815,41.3907452982041,2.12806256429104,41.39056773790313,2.127957682783461,41.3903378109372,2.127846856537821,41.39004917753184,2.12773020431386,41.38977166332218,2.127446461263745,41.38896142610906"
47,Carles III (Pl. Maria Cristina a Pl. Prat de la Riba),"2.12773851463627,41.38893805125619,2.127855965715233,41.38929803065744,2.127966835790334,41.38959807752278,2.128120134218026,41.38998173693621,2.128251447296397,41.39028495704685,2.128410065000848,41.3905998832733,2.128559099678766,41.39089206704455,2.1286841814089,41.39114327407153,2.128822599694913,41.39138813617579,2.128929383811882,41.39155999033692,2.129065753037054,41.39177454637525,2.129209062168396,41.39194712287292,2.12936254607474,41.39210577730461,2.129477497190546,41.39219356530791"
48,Carles III (Pl. Maria Cristina a Travessera de les Corts),"2.127240997058315,41.38795627013723,2.127198961493027,41.38779105448947,2.127166182750306,41.38761169759359,2.127110878590235,41.38731891310333,2.127084284213634,41.38703228955262,2.127064463728241,41.38671752632873,2.127072766173412,41.38640186280141,2.127075657121493,41.38612842275721,2.127098672176835,41.38576300231661,2.127150350746558,41.38535189841786,2.127306374377054,41.38471516193128,2.127562858526533,41.38402332062141,2.128071637862974,41.38234778634992"
49,Carles III (Travessera de les Corts a Pl. Maria Cristina),"2.127478947954922,41.38792808385156,2.12741658322662,41.38761188929679,2.127385320736603,41.38729323312736,2.127356449019386,41.38687135687861,2.127331975776254,41.38649102198529,2.127321348234748,41.38616386011662,2.127359236947515,41.38585431558118,2.127386238120512,41.38552336813814,2.127483379676332,41.38513826486372,2.1275588295755,41.38482380008593,2.127831388351329,41.38384422388778,2.128276300434044,41.38246030925041"
50,Carles III (Travessera de les Corts a Carrer de Sans),"2.128083705736434,41.38232376251056,2.129033221205565,41.37942131135289,2.129866989928948,41.37691308616697,2.130308606853897,41.3755234498397"
51,Carles III (Carrer de Sants a Travessera de les Corts),"2.1282943789112,41.3824276463974,2.129285094085398,41.37946986514599,2.130054795158036,41.37697846773932,2.130523782875318,41.37551163266588"
52,Carles III (Carrer de Sants a Pl. Cerdà),"2.130344012967258,41.37547681017795,2.132774462281744,41.3690263896593,2.133279766182166,41.368026186546,2.134157962883385,41.36675106867158,2.134743000527275,41.36588650188482,2.134963124603122,41.36541686570219,2.135079724647522,41.36499229529451"
53,Carles III (Pl. Cerdà a Carrer de Sants),"2.13057066223685,41.37549364643724,2.132998067523066,41.36904159680072,2.133308933181741,41.36834111058725,2.133616935900771,41.36784007697501,2.135372323181004,41.36550401563166,2.135631481308142,41.36519081592456"
54,Av. Sarrià (Diagonal a Pl. Prat de la Riba),"2.130345764441424,41.39254665936577,2.13857073712314,41.39128169689892"
55,Can Ràbia (Av. Sarrià a Mitre),"2.133315193698366,41.39447564639822,2.134225345878189,41.39356215619973,2.134416666769918,41.39318410139786,2.13499661002184,41.39183446137945"
56,Doctor Roux (Mitre a Via Augusta),"2.133216805596561,41.39458412350649,2.130205164141981,41.39772546787268"
57,Ganduxer (Diagonal a Pl. Gregori Tramaturg),"2.139348563132102,41.39145861710896,2.138167025301787,41.39426088092173"
58,Ganduxer (Pl. Gregori Tramaturg a Via Augusta),"2.137782888891087,41.39474897317022,2.137255953115014,41.39532874378414,2.136507000036578,41.39632697533121,2.135965782193277,41.39697393518878,2.135337146249237,41.39780378664101"
59,Ganduxer (Via Augusta a Passeig Bonanova),"2.135319569742507,41.39780944481888,2.134205428281197,41.39927986279642,2.131475759445991,41.40285252838825,2.13002112288107,41.40470170614099"
