,Agent_Commerce($),Agent_Catering($),Agent_Health($),Agent_RecreationActiv($),Agent_Transport($),Agent_Hotel($),Agent_RealState($)
0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0
31,749,0,843,0,1108,732,0
32,2356,0,2309,0,2205,1654,0
33,4420,0,3543,0,3289,2462,0
34,5926,0,4950,0,4363,3199,0
35,9125,0,7294,0,6964,4670,0
36,13264,0,9828,0,9458,6142,0
37,17097,0,12779,0,12010,7547,0
38,20726,0,15468,0,14478,8826,0
39,26458,0,19582,0,18625,11206,0
40,32165,54,23129,0,22936,13365,0
41,37634,307,27088,0,26988,15571,0
42,43162,613,31457,0,31036,17759,0
43,51051,1298,36289,0,37231,20889,0
44,59201,3512,41217,0,43541,23871,0
45,66725,5835,45637,0,49290,26967,0
46,74572,9722,50556,0,55097,30007,0
47,82047,14335,55076,0,61412,32845,0
48,89907,21232,60796,0,67573,35467,0
49,97166,29277,64785,0,73207,38651,0
50,104828,40873,69270,0,79465,41477,0
51,112081,54275,73251,0,85748,44511,0
52,119552,69507,77023,0,91751,47560,0
53,126574,85624,80477,0,97296,50433,0
54,133392,101979,84915,0,103010,53043,0
55,140661,118816,87793,0,109181,56488,0
56,147366,134012,91145,0,115627,59242,0
57,153443,151274,93602,0,121330,62203,0
58,159029,165191,96846,0,127014,65473,0
59,165217,176704,99182,0,133088,68345,0
60,170927,187118,102210,0,138898,70978,0
61,175963,206415,105130,0,144722,73744,0
62,180515,212924,112127,0,149598,76023,0
63,184274,220206,114748,0,154121,78131,0
64,189388,225295,117325,0,159200,80185,0
65,192674,242681,120069,0,163214,82090,0
66,196786,245682,128511,0,166935,83809,0
67,201709,248146,131680,0,170439,85369,0
68,206056,249983,134270,0,174138,87068,0
69,209539,265730,137164,0,176682,87805,0
70,214007,266895,143714,0,178586,88618,0
71,219207,267178,147624,0,180339,89483,0
72,222672,267530,149585,0,182603,90321,0
73,224328,281905,151868,0,182812,90321,0
74,226540,282263,156348,0,182812,90321,0
75,227964,282370,158236,0,182812,90321,0
