,Agent_Commerce($),Agent_Catering($),Agent_Health($),Agent_RecreationActiv($),Agent_Transport($),Agent_Hotel($),Agent_RealState($)
153,403570,579912,266600,51488,323211,109528,0
154,408975,579912,270544,53522,329741,109888,0
155,413998,579912,273914,54630,335577,110368,0
156,417096,579912,277981,55728,341446,110699,0
157,422079,581394,284747,56193,346510,112061,0
158,426762,581394,287426,56651,350611,112969,0
159,429048,581394,289555,57103,355184,113690,0
160,431479,581555,292722,57551,359633,114533,0
161,434552,584065,297870,57906,362649,116076,0
162,437808,584680,299751,58297,365660,117059,0
163,439424,585494,301689,58883,368590,118373,0
164,441940,586985,302763,59327,370949,119369,0
165,444002,591078,305049,59615,373057,121852,0
166,446260,593832,306089,59903,374597,122936,0
167,447641,599882,306723,60191,376128,123903,0
168,449270,607377,307329,60479,377325,124869,0
169,452291,618076,307935,60479,377604,126082,0
170,453390,630505,308047,60479,377604,127074,0
171,455147,644255,308189,60479,377604,128130,0
172,457021,659340,308189,60479,377604,128873,0
173,458451,678272,308189,60479,377604,129365,0
174,459583,697077,308189,60479,377604,130073,0
175,461059,716296,308189,60479,377604,130893,0
176,462072,734818,308189,60479,377604,131537,0
177,463336,751000,308189,60479,377604,131725,0
178,464265,769733,308189,60479,377604,131894,0
179,465682,783290,308189,60479,377604,132177,0
180,466938,796583,308189,60479,377604,132543,0
181,467600,808181,308189,60479,377604,132636,0
182,468598,817874,308189,60479,377604,132856,0
183,469732,826322,308189,60479,377604,132944,0
184,470489,833617,308189,60479,377604,133095,0
185,470489,833617,308189,60479,377604,133095,0
186,470489,833617,308189,60479,377604,133095,0
187,470489,833617,308189,60479,377604,133095,0
188,470489,833617,308189,60479,377604,133095,0
189,470489,833617,308189,60479,377604,133095,0
190,470489,833617,308189,60479,377604,133095,0
191,470489,833617,308189,60479,377604,133095,0
192,470489,833617,308189,60479,377604,133095,0
193,470489,833617,308189,60479,377604,133095,0
194,470489,833617,308189,60479,377604,133095,0
195,470489,833617,308189,60479,377604,133095,0
196,470489,833617,308189,60479,377604,133095,0
197,470489,833617,308189,60479,377604,133095,0
198,470489,833617,308189,60479,377604,133095,0
199,470489,833617,308189,60479,377604,133095,0
200,470489,833617,308189,60479,377604,133095,0
201,470489,833617,308189,60479,377604,133095,0
202,470489,833617,308189,60479,377604,133095,0
203,470489,833617,308189,60479,377604,133095,0
204,470489,833617,308189,60479,377604,133095,0
205,470489,833617,308189,60479,377604,133095,0
206,470489,833617,308189,60479,377604,133095,0
207,470489,833617,308189,60479,377604,133095,0
208,470489,833617,308189,60479,377604,133095,0
209,470489,833617,308189,60479,377604,133095,0
210,470489,833617,308189,60479,377604,133095,0
211,470489,833617,308189,60479,377604,133095,0
212,470489,833617,308189,60479,377604,133095,0
213,470489,833617,308189,60479,377604,133095,0
214,470489,833617,308189,60479,377604,133095,0
215,470489,833617,308189,60479,377604,133095,0
216,470489,833617,308189,60479,377604,133095,0
217,473876,875322,308189,60479,377604,133367,0
218,475037,879476,308189,60479,377604,133594,0
219,475577,885589,308189,60479,377604,133628,0
