,Food,Health,Amusement,Basic Goods,Funds
0,100.0,100.0,100.0,100.0,1000.0
1,98.5022,99.002,99.5114,97.5008,1000.0
2,97.0062,98.004,99.0044,95.0078,1000.0
3,95.4982,97.036,98.5012,92.5284,1000.0
4,94.0002,96.082,97.9928,90.03,1000.0
5,92.519,95.074,97.4914,87.5674,1000.0
6,91.0266,94.056,96.9956,85.0278,1000.0
7,89.5372,93.086,96.4952,82.5144,1000.0
8,88.0454,92.102,96.0114,79.992,1000.0
9,86.5712,91.028,95.527,77.5194,1000.0
10,85.059,90.048,95.0354,75.0506,1000.0
11,83.5714,89.026,94.5294,72.5376,1000.0
12,82.088,88.092,94.0248,70.019,1000.0
13,80.5948,87.082,93.5364,67.4858,1000.0
14,79.1166,86.078,93.0376,64.9526,1000.0
15,77.6204,85.026,92.539,62.402,1000.0
16,76.1316,84.014,92.0388,59.8898,1000.0
17,74.6158,82.89,91.5326,57.3778,1000.0
18,73.1314,81.906,91.0312,54.8704,1000.0
19,71.6194,80.936,90.5348,52.3584,1000.0
20,70.119,79.996,90.0488,49.8992,1000.0
21,68.589,78.998,89.5506,47.4,1000.0
22,67.0918,78.076,89.0584,44.9022,1000.0
23,65.5816,77.104,88.5592,42.4038,1000.0
24,64.0896,76.03,88.0746,39.9006,1000.0
25,62.5988,75.052,87.573,37.4142,1000.0
26,61.1064,74.102,87.083,34.9576,1000.0
27,59.5886,73.114,86.5676,32.4354,1000.0
28,58.0906,72.164,86.066,29.9474,1000.0
29,56.5816,71.124,85.572,27.4776,1000.0
30,55.0854,70.128,85.065,25.0502,1000.0
31,53.581,69.568,84.5528,23.154,999.0542
32,52.0558,68.906,84.059,21.3566,998.051
33,50.5678,68.316,83.514,19.979,996.7366
34,49.0786,67.838,82.9586,18.6754,995.3094
35,47.5966,67.7,82.3954,17.9002,993.1336
36,46.0868,67.72,81.853,17.33,990.468
37,44.5928,67.54,81.2544,16.6114,988.166
38,43.0994,67.418,80.6476,15.9622,985.9212
39,41.606,67.8,80.0532,16.1248,982.488
40,40.0938,68.294,79.4494,16.2842,978.7786
41,38.6272,68.722,78.7862,16.2574,975.3004
42,37.2218,69.144,78.1326,16.7174,971.5596
43,35.8936,69.814,77.4806,17.5772,967.039
44,34.7452,70.424,76.8326,18.7344,962.1348
45,33.7748,71.108,76.1242,19.7814,957.164
46,33.1686,71.764,75.4272,20.947,951.9308
47,33.2078,72.176,74.7102,22.1662,946.4882
48,33.8366,72.752,74.007,23.3498,940.5554
49,34.9098,73.096,73.2954,24.7142,934.1046
50,36.7552,73.512,72.5896,26.0056,927.4476
51,39.4292,73.82,71.8772,27.6464,920.1832
52,42.052,73.972,71.1772,29.1554,912.926
53,45.3814,74.09,70.4816,30.6254,905.35
54,49.0694,74.156,69.7746,32.1404,897.7122
55,52.1652,74.26,69.068,33.825,890.3412
56,55.051,74.328,68.3588,35.4598,882.964
57,57.8432,74.286,67.668,37.0532,876.0758
58,60.3246,74.234,66.9552,38.4484,869.499
59,62.3194,74.118,66.2486,40.073,863.135
60,63.803,74.132,65.5586,41.4472,857.3856
61,68.6698,74.338,64.9126,42.025,849.6696
62,69.519,75.728,64.269,42.506,844.0458
63,69.9356,75.488,63.6024,42.6742,839.698
64,69.9576,75.318,62.9418,42.5418,835.6974
65,74.0262,75.314,62.3424,41.7682,829.7096
66,73.4164,76.586,61.7376,41.298,825.7918
67,72.7128,76.316,61.1366,40.9138,822.9692
68,71.5706,75.832,60.523,39.983,820.5986
69,75.343,75.544,59.98,38.7382,816.0524
70,74.1462,76.58,59.4314,38.3036,813.0444
71,72.8352,76.04,58.8846,37.1768,811.5846
72,71.4174,75.488,58.326,35.6686,810.199
73,75.4528,74.878,57.8196,33.6918,806.496
74,74.0488,75.068,57.3216,31.9986,805.2274
75,72.638,74.22,56.8104,30.0282,804.7334
76,71.179,73.374,56.3132,27.81,804.4222
77,69.672,72.56,55.8038,25.4594,804.1772
78,68.1692,71.654,55.3002,23.0694,804.0032
79,66.6614,70.762,54.796,20.6836,803.8902
80,65.1552,69.838,54.2934,18.1736,803.7974
81,63.6358,69.002,53.8212,15.6708,803.7172
82,62.1282,68.156,53.356,13.1334,803.5704
83,60.6302,67.272,52.8822,10.6364,803.438
84,59.1494,66.364,52.3902,8.1406,803.3294
85,57.6482,65.332,51.9436,5.6426,803.2788
86,56.1858,64.278,51.4784,3.094,803.2524
87,54.6994,63.274,50.9724,0.563,803.2036
88,53.2074,62.27,50.5702,-1.9318,803.0524
89,51.7692,61.314,50.1968,-4.4124,802.8868
90,50.3836,60.348,49.7914,-6.8872,802.7772
91,49.0474,59.432,49.4048,-9.369,802.5262
92,47.6626,58.404,49.1362,-11.8764,802.2784
93,46.373,57.402,48.746,-14.3822,802.0416
94,45.2356,56.378,48.4438,-16.9194,801.6996
95,44.1446,55.38,48.1382,-19.3924,801.2792
96,43.3124,54.362,47.907,-21.8914,800.636
97,42.4098,53.31,47.576,-24.3586,800.1002
98,41.8358,52.324,47.3614,-26.8072,799.327
99,41.9372,51.306,47.1452,-29.3084,797.9814
100,42.0404,50.262,47.0294,-31.7908,796.5106
101,42.4984,49.302,46.9608,-34.2508,794.9488
102,43.1816,48.458,47.0418,-36.723,792.9458
103,44.2198,47.424,46.933,-39.1786,790.9074
104,45.2314,46.342,46.8472,-41.7006,788.814
105,46.6852,45.346,46.7076,-44.1958,786.3408
106,48.729,44.34,46.4526,-46.7188,783.6032
107,50.7832,43.338,46.3688,-49.239,780.7718
108,53.3392,42.288,46.2094,-51.7112,777.6788
109,55.4746,41.298,46.048,-54.2448,774.9002
110,57.1334,40.346,45.7348,-56.7318,772.4554
111,58.7568,39.314,45.3444,-59.2156,770.1388
112,60.2688,38.296,45.0332,-61.6996,767.8314
113,61.7562,37.22,44.5808,-64.224,765.7162
114,63.1142,36.176,44.2066,-66.7522,763.5716
115,64.7718,35.192,43.7186,-69.285,761.3318
116,65.7026,34.166,43.2768,-71.8098,759.5118
