,Agent_Commerce($),Agent_Catering($),Agent_Health($),Agent_RecreationActiv($),Agent_Transport($),Agent_Hotel($),Agent_RealState($)
0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0
31,1084,0,652,0,981,442,0
32,2822,0,1644,0,2173,876,0
33,5568,0,2983,0,3744,1363,0
34,7976,0,3617,0,4862,1899,0
35,11972,0,5390,0,8357,3551,0
36,15731,0,8029,0,11510,5451,0
37,19983,0,10043,0,15026,7029,0
38,23596,0,12320,0,17988,9039,0
39,29650,100,15752,0,22943,11083,0
40,35582,100,19152,0,28054,13147,0
41,41517,428,22512,0,33115,15770,0
42,47408,787,25853,0,38038,17780,0
43,54874,1477,30454,0,44326,20991,0
44,62191,3013,34888,0,51128,24176,0
45,70158,5850,39693,0,57403,27330,0
46,77474,9865,44155,0,64155,30116,0
47,85048,14763,49235,0,70755,33328,0
48,92301,21865,53089,0,77507,35808,0
49,99784,31791,57690,0,83810,39195,0
50,107341,43398,61659,0,90647,42405,0
51,114622,57506,65308,0,96823,45276,0
52,121695,70365,68788,0,103421,47939,0
53,129273,87142,73255,0,109842,51422,0
54,135943,101760,76250,0,115904,54416,0
55,142985,116666,78948,0,122631,57537,0
56,150035,130712,82143,0,129308,60700,0
57,156666,146419,85071,0,135105,63292,0
58,163030,159614,87433,0,141957,66367,0
59,169046,171590,89876,0,148283,68882,0
60,173984,181469,92462,0,154560,72407,0
61,178942,201773,95310,0,160317,74993,0
62,183179,209329,103752,0,165138,77594,0
63,187235,216074,106039,0,170305,80019,0
64,190780,221355,108788,0,175450,82707,0
65,194280,239447,111023,0,179099,84221,0
66,197223,242339,120105,0,182521,85465,0
67,201415,244783,121715,0,185885,86727,0
68,204546,246491,124236,0,188726,87894,0
69,207054,260653,126401,0,190825,88818,0
70,209895,261437,133664,0,192347,89590,0
71,213569,262271,135756,0,193954,90297,0
72,214881,262598,137291,0,195648,91283,0
73,216657,278409,138727,0,196150,91596,0
74,218825,278601,144478,0,196150,91596,0
75,220387,278787,145891,0,196150,91596,0
