,Commerce,Catering,Health,Recreational Activities,Transport,Hotel,Real State
0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0
31,16,0,13,0,32,16,0
32,50,0,29,0,72,33,0
33,88,0,39,0,109,53,0
34,119,0,57,0,148,71,0
35,194,0,93,0,219,101,0
36,261,0,138,0,289,146,0
37,326,0,177,0,354,183,0
38,394,0,210,0,423,221,0
39,497,0,274,0,515,273,0
40,601,1,347,0,608,317,0
41,700,4,417,0,705,365,0
42,807,7,483,0,807,417,0
43,946,20,560,0,930,474,0
44,1089,61,643,0,1046,537,0
45,1234,94,723,0,1175,594,0
46,1376,154,813,0,1294,657,0
47,1514,246,888,0,1413,718,0
48,1661,367,971,0,1535,781,0
49,1798,523,1054,0,1672,842,0
50,1941,707,1126,0,1776,905,0
51,2088,951,1193,0,1914,967,0
52,2221,1206,1257,0,2026,1025,0
53,2359,1496,1313,0,2147,1095,0
54,2499,1773,1378,0,2273,1146,0
55,2633,2075,1417,0,2398,1216,0
56,2781,2370,1462,0,2516,1279,0
57,2909,2619,1514,0,2643,1327,0
58,3032,2852,1558,0,2751,1401,0
59,3163,3085,1607,0,2883,1457,0
60,3267,3283,1651,0,3009,1518,0
61,3372,3636,1710,0,3101,1570,0
62,3460,3785,1858,0,3183,1615,0
63,3544,3912,1907,0,3268,1659,0
64,3629,3999,1955,0,3350,1705,0
65,3692,4310,2003,0,3409,1733,0
66,3764,4369,2164,0,3463,1751,0
67,3841,4401,2201,0,3521,1773,0
68,3908,4431,2236,0,3567,1790,0
69,3963,4692,2285,0,3603,1815,0
70,4022,4707,2408,0,3635,1830,0
71,4086,4718,2436,0,3660,1843,0
72,4135,4725,2470,0,3683,1857,0
73,4165,4992,2512,2,3690,1860,0
74,4215,4996,2585,2,3690,1860,0
75,4243,4997,2611,2,3690,1860,0
76,4260,4999,2627,2,3690,1860,0
77,4274,5000,2646,3,3690,1860,0
78,4282,5000,2665,3,3690,1860,0
79,4287,5000,2670,3,3690,1860,0
80,4289,5000,2674,5,3690,1860,0
