,Construct,Industrial,Food,RealState,Education,SocialServ,ProfessActiv,ScientifActiv,ArtistActiv,Other
570,12600,1902987,4677825,672973,94274,102309,1160407,916580,67813,159827
571,12600,1902987,4677825,672973,94274,102309,1160407,916580,67813,159827
572,12600,1902987,4677825,672973,94274,102309,1160407,916580,67813,159827
573,12600,1902987,4677825,672973,94274,102309,1160407,916580,67813,159827
574,12600,1902987,4677825,672973,94274,102309,1160407,916580,67813,159827
575,12600,1902987,4677825,672973,94274,102309,1160407,916580,67813,159827
576,12600,1902987,4677825,672973,94274,102309,1160407,916580,67813,159827
577,12600,1902987,4677825,672973,94274,102309,1160407,916580,67813,159827
578,12600,1902987,4677825,672973,94274,102309,1160407,916580,67813,159827
579,12600,1902987,4677825,672973,94274,102309,1160407,916580,67813,159827
580,12600,1902987,4677825,672973,94274,102309,1160407,916580,67813,159827
581,12600,1902987,4677825,672973,94274,102309,1160407,916580,67813,159827
582,12600,1902987,4677825,672973,94274,102309,1160407,916580,67813,159827
583,12600,1902987,4677825,672973,94274,102309,1160407,916580,67813,159827
584,12600,1902987,4677825,672973,94274,102309,1160407,916580,67813,159827
585,12600,1902987,4677825,672973,94274,102309,1160407,916580,67813,159827
586,12600,1902987,4677825,672973,94274,102309,1160407,916580,67813,159827
587,12600,1902987,4677825,672973,94274,102309,1160407,916580,67813,159827
588,12600,1902987,4677825,672973,94274,102309,1160407,916580,67813,159827
589,12600,1902987,4677825,672973,94274,102309,1160407,916580,67813,159827
590,12600,1902987,4677825,672973,94274,102309,1160407,916580,67813,159827
591,12600,1902987,4677825,672973,94274,102309,1160407,916580,67813,159827
592,12600,1902987,4677825,672973,94274,102309,1160407,916580,67813,159827
593,12600,1902987,4677825,672973,94274,102309,1160407,916580,67813,159827
594,12600,1902987,4677825,672973,94274,102309,1160407,916580,67813,159827
595,12600,1902987,4677825,672973,94274,102309,1160407,916580,67813,159827
596,12600,1902987,4677825,672973,94274,102309,1160407,916580,67813,159827
597,12600,1902987,4677825,672973,94274,102309,1160407,916580,67813,159827
598,12600,1902987,4677825,672973,94274,102309,1160407,916580,67813,159827
599,12600,1902987,4677825,672973,94274,102309,1160407,916580,67813,159827
600,12600,1902987,4677825,672973,94274,102309,1160407,916580,67813,159827
601,12600,1902987,4677825,672973,94274,102309,1160407,916580,67813,159827
602,12600,1902987,4677825,672973,94274,102309,1160407,916580,67813,159827
603,12600,1902987,4677825,672973,94274,102309,1160407,916580,67813,159827
604,12600,1902987,4677825,672973,94274,102309,1160407,916580,67813,159827
605,12600,1905189,4683137,673989,94274,102309,1160407,917895,67813,159827
606,12600,1907391,4688449,675005,94274,102309,1160407,919210,67813,159827
607,12600,1909593,4693761,676021,94274,102309,1160407,920525,67813,159827
608,12600,1911795,4699073,677037,94274,102309,1160407,921840,67813,159827
609,12600,1915300,4709943,678635,94274,102309,1160407,924710,67933,159827
610,12600,1918805,4720813,680233,94274,102309,1160407,927580,68053,159827
611,12600,1922310,4731721,681831,94274,102309,1160407,930450,68173,159827
612,12600,1925815,4742629,683429,94274,102309,1160407,933320,68293,159827
613,12600,1931279,4759343,685636,94274,102309,1160407,937168,68413,159827
614,12600,1936743,4776057,687843,94274,102309,1160407,941016,68533,159827
615,12600,1942207,4792825,690050,94274,102309,1160407,944864,68653,159827
616,12600,1947671,4809593,692257,94274,102309,1160407,948712,68773,159827
617,12600,1954832,4830524,695271,94274,102309,1160407,953504,68989,159827
618,12600,1961993,4851455,698285,94274,102309,1160407,958296,69205,159827
619,12600,1969154,4872413,701299,94274,102309,1160407,963088,69421,159827
620,12600,1976749,4893491,704313,94274,102309,1160407,967880,69683,159827
621,12600,1984511,4914569,707327,94274,102309,1160407,972672,69945,159827
622,12600,1992429,4935689,710341,94274,102309,1160407,977464,70207,159827
623,12600,2000464,4956809,713355,94274,102309,1160407,982256,70469,159827
624,12600,2009091,4978018,716369,94274,102309,1160407,987048,70731,159827
625,12600,2018077,4999227,719383,94274,102309,1160407,991840,70993,159827
626,12600,2027111,5020436,722397,94274,102309,1160407,996702,71255,159827
627,12600,2036428,5041661,725411,94274,102309,1160407,1001564,71517,159827
628,12600,2046593,5062886,728425,94274,102309,1160407,1006426,71779,159827
629,12600,2056981,5084111,731439,94274,102309,1160407,1011288,72057,159827
630,12600,2067577,5105424,734453,94274,102309,1160407,1016150,72335,159827
631,12600,2078351,5126737,737467,94274,102309,1160407,1021012,72613,159827
632,12600,2090652,5148086,740481,94274,102309,1160407,1025874,72891,159827
633,12600,2102959,5169435,743495,94274,102309,1160407,1030736,73169,159827
634,12600,2115266,5190784,746562,94274,102309,1160407,1035598,73447,159827
635,12600,2127834,5212153,749629,94274,102309,1160407,1040460,73725,159827
636,12600,2140538,5233522,752696,94274,102309,1160407,1045322,74003,159827
637,12600,2149296,5249586,754694,94274,102309,1160407,1048799,74235,159827
638,12600,2158054,5265650,756692,94274,102309,1160407,1052276,74467,159827
639,12600,2166778,5281714,758690,94274,102309,1160407,1055753,74699,159827
640,12600,2175502,5297778,760688,94274,102309,1160407,1059230,74931,159827
641,12600,2181789,5308128,762104,94274,102309,1160407,1061152,75027,159827
642,12600,2188076,5318478,763520,94274,102309,1160407,1063074,75123,159827
643,12600,2194282,5328828,764936,94274,102309,1160407,1064996,75219,159827
644,12600,2200488,5339178,766352,94274,102309,1160407,1066918,75315,159827
645,12600,2203555,5343549,767159,94274,102309,1160407,1067862,75411,159827
646,12600,2206622,5347920,767966,94274,102309,1160407,1068806,75507,159827
647,12600,2209689,5352356,768773,94274,102309,1160407,1069750,75603,159827
648,12600,2212756,5356792,769580,94274,102309,1160407,1070694,75699,159827
649,12600,2212756,5356792,769580,94274,102309,1160407,1070694,75699,159827
650,12600,2212756,5356792,769580,94274,102309,1160407,1070694,75699,159827
651,12600,2212756,5356792,769580,94274,102309,1160407,1070694,75699,159827
652,12600,2212756,5356792,769580,94274,102309,1160407,1070694,75699,159827
653,12600,2212756,5356792,769580,94274,102309,1160407,1070694,75699,159827
654,12600,2212756,5356792,769580,94274,102309,1160407,1070694,75699,159827
655,12600,2212756,5356792,769580,94274,102309,1160407,1070694,75699,159827
656,12600,2212756,5356792,769580,94274,102309,1160407,1070694,75699,159827
657,12600,2212756,5356792,769580,94274,102309,1160407,1070694,75699,159827
658,12600,2212756,5356792,769580,94274,102309,1160407,1070694,75699,159827
659,12600,2212756,5356792,769580,94274,102309,1160407,1070694,75699,159827
