,Food,Health,Amusement,Basic Goods,Funds
0,100.0,100.0,100.0,100.0,1000.0
1,98.4976,98.976,99.5006,97.4816,1000.0
2,96.9988,97.958,99.0076,94.9966,1000.0
3,95.4972,96.974,98.52,92.4716,1000.0
4,94.0276,95.93,98.0306,89.9874,1000.0
5,92.4746,94.938,97.5298,87.4814,1000.0
6,90.9796,93.924,97.0272,85.02,1000.0
7,89.4898,92.888,96.536,82.5304,1000.0
8,87.9834,91.882,96.0344,79.997,1000.0
9,86.4614,90.906,95.5398,77.4706,1000.0
10,84.9562,89.914,95.0322,74.9462,1000.0
11,83.4796,88.906,94.5314,72.423,1000.0
12,82.0114,87.902,94.0402,69.9314,1000.0
13,80.509,86.906,93.5366,67.451,1000.0
14,79.0124,85.954,93.0456,64.9862,1000.0
15,77.5332,84.97,92.5588,62.4606,1000.0
16,76.0484,83.892,92.0598,59.9916,1000.0
17,74.5346,82.86,91.5472,57.4714,1000.0
18,73.0254,81.862,91.0466,54.9636,1000.0
19,71.5092,80.868,90.5392,52.4728,1000.0
20,70.0264,79.908,90.0394,49.9844,1000.0
21,68.5122,78.972,89.5406,47.5408,1000.0
22,67.0036,78.04,89.0412,45.0712,1000.0
23,65.4822,76.95,88.5434,42.5732,1000.0
24,63.966,75.946,88.0452,40.0662,1000.0
25,62.477,74.93,87.537,37.5344,1000.0
26,60.9816,73.968,87.031,34.9958,1000.0
27,59.4772,72.932,86.522,32.4622,1000.0
28,57.977,71.98,86.0264,29.928,1000.0
29,56.4638,70.948,85.5258,27.4538,1000.0
30,54.9798,69.978,85.0104,25.1134,1000.0
31,53.466,69.436,84.5152,23.022,998.9824
32,51.9832,69.042,84.0198,21.2638,997.6108
33,50.4662,68.56,83.477,19.7032,996.096
34,48.986,68.23,82.9188,18.1418,994.7502
35,47.4928,68.166,82.3728,17.405,992.364
36,45.9818,68.166,81.8058,16.528,989.9648
37,44.4928,68.172,81.1886,15.811,987.4374
38,43.0328,68.182,80.5894,15.2202,985.0848
39,41.5214,68.494,79.9776,15.3454,981.6386
40,40.0432,68.84,79.3674,15.6564,978.0672
41,38.5732,69.082,78.7094,15.9066,974.7024
42,37.269,69.46,78.0462,16.3528,971.0884
43,35.9358,70.114,77.4028,17.2984,966.6668
44,34.7992,70.706,76.7528,18.4412,961.992
45,33.9794,71.27,76.0526,19.5588,957.142
46,33.4176,71.784,75.3534,20.7434,952.1268
47,33.438,72.312,74.6382,22.0118,946.7176
48,34.0176,72.9,73.9418,23.2166,940.938
49,35.507,73.44,73.252,24.4386,934.475
50,37.3384,73.536,72.5622,25.951,928.0836
51,39.3832,73.716,71.8584,27.3064,921.6842
52,42.064,73.774,71.145,28.9114,914.756
53,45.4808,73.786,70.4288,30.4016,907.0772
54,49.0706,73.804,69.7238,32.1462,899.7416
55,52.3202,73.834,69.02,33.8154,892.3576
56,54.9882,73.836,68.3262,35.6436,885.6012
57,57.5122,73.846,67.6206,36.8492,879.1342
58,59.6236,73.726,66.9184,38.541,872.7016
59,61.6522,73.688,66.2224,40.2924,866.433
60,63.2606,73.538,65.5092,41.3468,860.7004
61,68.717,73.694,64.8586,42.5342,853.184
62,69.6756,75.344,64.2146,42.9568,847.4318
63,70.2148,74.95,63.5798,43.0484,843.6654
64,70.0468,74.638,62.9226,42.8554,840.6092
65,74.8066,74.416,62.3312,42.3516,834.4908
66,74.2048,75.688,61.7252,42.0874,830.6886
67,73.2908,75.408,61.1306,41.5268,828.2184
68,72.1836,75.192,60.5412,41.0338,825.8384
69,75.9386,74.892,59.9874,39.9454,821.0058
70,74.7282,75.878,59.4374,38.827,818.5068
71,73.4458,75.544,58.8892,37.7492,816.8224
72,71.994,74.996,58.3346,36.2032,815.7674
73,75.5798,74.592,57.8266,34.432,812.1096
74,74.1368,74.844,57.3156,32.4928,810.76
75,72.6758,74.224,56.8112,30.4444,810.3018
76,71.2316,73.454,56.3032,28.1932,809.9496
77,69.7278,72.736,55.8064,25.8804,809.65
78,68.251,71.976,55.303,23.611,809.326
79,66.7172,71.122,54.8104,21.1896,809.1394
80,65.2442,70.194,54.3158,18.8054,808.9586
81,63.739,69.424,53.836,16.3554,808.7386
82,62.2508,68.41,53.3748,13.8812,808.6862
83,60.7664,67.454,52.8846,11.4446,808.6606
84,59.2658,66.372,52.3974,8.9598,808.6304
85,57.7378,65.364,51.9526,6.4836,808.598
86,56.2476,64.37,51.5066,3.9944,808.5634
87,54.7496,63.356,51.0494,1.4954,808.5054
88,53.2488,62.36,50.7356,-1.034,808.3532
89,51.8246,61.34,50.2802,-3.5352,808.2824
90,50.3996,60.4,49.9188,-6.034,808.147
91,48.9518,59.414,49.5196,-8.549,808.04
92,47.7232,58.406,49.211,-11.0336,807.7192
93,46.5346,57.438,48.8968,-13.5492,807.3432
94,45.5706,56.434,48.6106,-16.019,806.827
95,44.6136,55.462,48.3002,-18.5242,806.3106
96,43.8014,54.458,48.1432,-21.084,805.5994
97,43.0286,53.498,47.9998,-23.5834,804.8402
98,42.6418,52.478,47.8,-26.0998,803.9426
99,42.287,51.484,47.6138,-28.5874,802.9234
100,42.0864,50.438,47.326,-31.1074,801.8676
101,42.2942,49.452,47.0324,-33.5948,800.5398
102,42.9556,48.532,46.8392,-36.119,798.873
103,43.8508,47.426,46.6198,-38.637,797.0318
104,45.0082,46.456,46.5756,-41.1182,794.733
105,46.5968,45.528,46.439,-43.6172,792.3748
106,48.3596,44.498,46.2778,-46.1206,789.7366
107,50.0354,43.49,46.03,-48.6202,787.2498
108,52.0326,42.55,45.7966,-51.0956,784.5036
109,53.9738,41.582,45.6612,-53.6282,781.831
110,55.961,40.61,45.3374,-56.1254,779.3056
111,58.372,39.682,45.0642,-58.628,776.4842
112,60.4148,38.676,44.6696,-61.1684,773.9856
113,62.3464,37.722,44.3818,-63.6966,771.4592
114,64.0236,36.684,44.079,-66.167,769.2
115,65.5706,35.674,43.7152,-68.6366,766.9764
116,67.0886,34.592,43.3044,-71.1182,764.8452
117,68.5036,33.608,42.8298,-73.6,762.828
118,69.2772,32.602,42.3952,-76.0904,761.2204
119,70.0734,31.596,41.9268,-78.6042,759.6152
120,70.6796,30.594,41.5248,-81.127,757.9516
121,70.6172,29.606,41.0734,-83.6396,756.9268
122,70.6312,28.618,40.5936,-86.1378,755.8624
123,70.7236,27.614,40.137,-88.6752,754.6834
124,70.7702,26.592,39.6352,-91.1746,753.6124
125,70.6718,26.498,39.143,-92.7718,751.5384
126,70.4162,26.544,38.7132,-93.865,749.5184
127,70.1128,26.706,38.2458,-94.9254,747.484
128,69.2964,26.578,37.7472,-96.2904,746.0134
129,68.4056,27.256,37.2632,-95.8258,743.7002
130,67.4918,27.864,36.8268,-95.5524,741.325
131,66.5396,28.806,36.3586,-94.8878,738.9076
132,65.6174,29.502,35.8638,-94.3992,736.5792
133,64.5634,30.768,35.3964,-91.7442,733.2732
134,63.6256,32.25,34.8998,-89.2646,729.9866
135,62.4014,33.552,34.4544,-86.7444,726.8572
136,61.167,35.036,34.0256,-84.0134,723.6884
137,59.9698,37.088,33.533,-80.9932,720.0522
138,58.7164,39.138,33.021,-76.7282,716.205
139,57.273,40.912,32.5024,-72.4638,712.3852
140,55.8528,43.02,32.0614,-68.221,708.4938
141,54.3734,44.704,31.5596,-64.0038,704.9018
142,53.0232,46.748,31.1096,-60.0254,700.986
143,51.7826,48.61,30.605,-55.39,697.1954
144,50.5412,50.298,30.0258,-50.526,693.201
145,49.2644,52.21,29.5364,-46.744,689.4886
146,48.2026,53.578,29.0184,-42.2054,685.5776
147,47.279,54.768,28.439,-38.2936,681.8492
148,46.4308,56.412,27.938,-34.075,677.7608
149,45.7938,57.568,27.3904,-29.914,673.8948
150,44.9364,59.11,26.8634,-26.4088,669.9034
151,44.3766,60.166,26.3024,-22.4508,666.105
152,44.2492,61.048,25.7762,-19.1052,661.8336
153,44.1962,61.872,25.2364,-16.2046,657.6286
154,44.3688,62.694,24.7042,-13.6384,653.5686
155,44.4396,63.546,24.1708,-10.8312,649.3886
156,44.7898,64.272,23.6262,-8.85,645.2976
157,46.3792,65.856,23.1066,-7.4922,640.4536
158,47.2732,66.53,22.591,-6.4024,636.506
159,48.2512,66.798,22.0826,-5.8826,632.9596
160,49.5068,66.866,21.5874,-6.3932,629.5148
161,51.6926,68.308,21.068,-6.8916,625.0452
162,53.108,68.36,20.5394,-6.9846,621.3796
163,54.5612,68.306,20.0116,-7.55,618.0328
164,56.038,68.134,19.4684,-8.5728,614.7764
165,58.2466,68.376,18.954,-9.2252,610.9056
166,59.7626,68.256,18.4362,-10.2834,607.8174
167,61.2068,67.974,17.9074,-11.34,604.8926
168,62.4818,67.476,17.3792,-12.757,602.1752
169,64.7312,67.092,16.8884,-13.7402,598.8868
170,65.8712,66.346,16.3868,-15.0648,596.6796
171,67.1754,65.5,15.8826,-16.7146,594.3956
172,68.2028,64.782,15.3692,-18.352,592.2486
173,69.09,63.854,14.8696,-20.0764,590.2206
174,69.6564,62.962,14.3722,-22.1004,588.5706
175,70.1854,61.97,13.872,-24.0212,586.9978
176,70.3946,60.998,13.3902,-25.869,585.586
177,70.5502,60.032,12.888,-27.9708,584.2614
178,70.6428,58.994,12.3924,-29.967,583.0008
179,70.5832,58.0,11.9062,-31.9162,581.8244
180,70.093,57.004,11.4018,-34.151,580.9288
181,69.7452,56.036,10.9008,-36.1538,579.9846
182,69.2414,54.976,10.3872,-38.3456,579.1222
183,68.5878,53.916,9.8918,-40.5322,578.4236
184,67.9242,52.928,9.3966,-42.5294,577.6564
185,67.231,51.892,8.8966,-44.789,576.9636
186,66.2716,50.908,8.4006,-47.163,576.5382
187,65.3078,49.876,7.8976,-49.4582,576.1342
188,64.405,48.91,7.4064,-51.6994,575.6584
189,63.4594,47.902,6.8926,-54.0086,575.2118
190,62.3898,46.904,6.3966,-56.2644,574.8786
191,61.2274,45.922,5.8978,-58.544,574.5288
192,60.0622,44.908,5.395,-60.9098,574.2968
193,58.843,43.89,4.8942,-63.0946,573.974
194,57.6684,42.884,4.4012,-65.419,573.6674
195,56.4336,41.862,3.9128,-67.6412,573.4032
196,55.3522,40.904,3.4054,-69.9468,573.015
197,54.079,40.0,2.9044,-72.1948,572.7184
198,52.9794,39.028,2.4088,-74.4816,572.3542
199,52.0584,38.076,1.904,-76.8796,571.934
200,51.018,37.05,1.4048,-79.2656,571.6032
201,50.2156,36.148,0.9006,-81.7148,571.1004
202,49.4828,35.152,0.3932,-84.0324,570.512
203,48.8126,34.224,-0.1122,-86.394,569.9144
204,48.37,33.196,-0.6138,-88.8094,569.1602
205,48.038,32.182,-1.1166,-91.2226,568.357
206,47.8162,31.162,-1.6032,-93.6042,567.4218
207,47.7596,30.156,-2.0996,-95.9614,566.4028
208,47.8866,29.142,-2.5906,-98.3664,565.336
209,48.0256,28.104,-3.091,-100.8338,564.1704
210,48.6016,27.078,-3.5904,-103.1634,562.7512
211,49.0822,26.088,-4.0912,-105.5086,561.411
212,49.6196,25.028,-4.6024,-107.9932,560.0538
213,50.0872,24.02,-5.1186,-110.4434,558.7608
214,51.1262,23.002,-5.6064,-112.889,556.9888
215,52.4938,22.05,-6.0958,-115.379,554.9954
216,53.5786,20.982,-6.5874,-117.8148,553.1888
217,54.5776,20.002,-7.0894,-120.212,551.4502
218,55.8542,18.99,-7.6006,-122.6224,549.5656
219,57.5348,18.022,-8.1082,-124.9166,547.1956
220,58.8562,17.088,-8.6028,-127.4068,545.2716
221,59.932,17.222,-9.062,-129.6484,542.8594
222,61.299,17.346,-9.5124,-131.8256,540.1258
223,62.404,17.432,-9.9736,-133.9454,537.4574
224,63.6052,17.566,-10.427,-136.1682,534.8228
225,64.1194,18.386,-10.8498,-138.1114,532.1448
226,64.8762,19.138,-11.2788,-139.7386,529.2158
227,65.3172,19.87,-11.7026,-141.4984,526.7164
228,65.7596,20.746,-12.134,-143.4128,523.9344
229,65.4462,21.954,-12.5398,-144.6978,521.3938
230,65.3678,23.452,-12.9518,-145.914,518.3604
231,65.1572,24.996,-13.3726,-147.2914,515.6744
232,64.8338,26.134,-13.7936,-148.529,513.058
233,64.1316,28.342,-14.2392,-149.7912,510.0802
234,63.5142,30.382,-14.685,-150.6096,507.0978
235,62.6088,31.718,-15.1336,-151.6412,504.2674
236,61.9382,33.68,-15.5826,-152.856,501.2002
237,60.9788,35.436,-16.1074,-154.1226,498.5852
238,60.2392,37.024,-16.5806,-155.1478,495.8426
239,59.3098,38.776,-17.0778,-156.1352,493.0322
240,58.3468,40.392,-17.5722,-157.1794,490.2764
241,57.3366,41.858,-18.093,-158.2938,487.8108
242,56.1842,43.44,-18.5528,-159.2426,485.2744
243,55.0762,44.724,-19.0536,-160.251,482.783
244,53.8942,45.848,-19.5466,-161.4224,480.3754
245,52.7712,47.102,-20.0318,-162.4772,477.9834
246,51.5248,48.248,-20.5346,-163.6514,475.7046
247,50.3456,49.396,-21.0162,-164.6358,473.1406
248,49.0168,49.88,-21.5056,-165.956,471.1168
249,47.7496,50.378,-21.9954,-167.063,469.0158
250,46.5068,50.972,-22.4822,-168.3058,467.0072
251,45.5598,51.456,-22.9758,-169.6252,464.8092
252,44.536,51.78,-23.4636,-170.8252,462.6536
253,47.5144,53.324,-23.9364,-172.1792,458.3242
254,46.7944,54.514,-24.4,-173.6802,455.9192
255,45.9882,54.816,-24.8668,-175.073,454.152
256,45.451,55.182,-25.3552,-176.4676,452.2118
257,48.4796,56.564,-25.8746,-177.9192,448.1888
258,47.963,57.626,-26.3674,-179.8488,446.0404
259,47.5082,57.612,-26.8696,-181.6666,444.3736
260,47.0338,57.884,-27.359,-183.5424,442.546
261,50.4224,58.266,-27.8894,-185.5194,438.9268
262,50.7022,58.454,-28.4134,-187.654,437.0982
263,50.6936,58.098,-28.93,-189.7704,435.4766
264,50.7652,57.738,-29.4608,-191.955,433.8992
265,54.5176,57.32,-29.9478,-194.116,430.7188
266,54.6178,56.978,-30.441,-196.3774,429.2968
267,54.9834,56.52,-30.9438,-198.7324,427.8468
268,55.3858,55.75,-31.4468,-200.7482,426.056
269,56.2546,55.192,-31.9388,-202.9986,424.1946
270,57.0556,54.39,-32.4388,-205.2188,422.4928
271,57.9688,53.532,-32.9382,-207.3688,420.5552
