,Commerce,Catering,Health,Recreational Activities,Transport,Hotel,Real State
0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0
31,15,0,9,0,23,15,0
32,51,0,28,0,55,31,0
33,92,0,43,0,82,52,0
34,133,0,60,0,119,68,0
35,207,0,102,0,175,98,0
36,290,0,145,0,239,132,0
37,372,0,191,0,302,160,0
38,443,0,229,0,370,188,0
39,557,0,289,0,451,232,0
40,671,1,358,0,545,278,0
41,782,2,412,0,624,326,0
42,893,12,472,0,710,378,0
43,1032,20,561,0,836,433,0
44,1179,56,642,0,955,497,0
45,1323,100,724,0,1076,557,0
46,1465,175,806,0,1197,614,0
47,1606,255,880,0,1323,678,0
48,1748,388,952,0,1446,742,0
49,1890,546,1021,0,1570,808,0
50,2026,765,1083,0,1683,865,0
51,2178,1011,1151,0,1814,928,0
52,2310,1311,1211,0,1932,988,0
53,2444,1563,1270,0,2050,1050,0
54,2588,1836,1333,0,2170,1114,0
55,2725,2137,1386,0,2303,1177,0
56,2860,2419,1449,0,2416,1237,0
57,2991,2673,1505,0,2544,1295,0
58,3114,2937,1557,0,2669,1364,0
59,3238,3132,1612,0,2796,1417,0
60,3349,3316,1657,0,2910,1477,0
61,3447,3685,1705,0,3013,1528,0
62,3529,3832,1837,0,3099,1570,0
63,3604,3936,1889,0,3199,1619,0
64,3678,4024,1936,0,3285,1660,0
65,3747,4336,1980,0,3356,1697,0
66,3815,4372,2152,0,3419,1728,0
67,3892,4415,2194,0,3474,1756,0
68,3958,4447,2221,0,3537,1791,0
69,4017,4708,2260,0,3576,1811,0
70,4084,4726,2397,0,3611,1827,0
71,4142,4734,2442,0,3647,1840,0
72,4189,4741,2477,0,3686,1856,0
73,4209,4995,2503,0,3690,1860,0
74,4234,4995,2587,0,3690,1860,0
75,4250,4997,2608,0,3690,1860,0
76,4261,4998,2634,0,3690,1860,0
77,4276,4998,2649,1,3690,1860,0
78,4281,4999,2660,1,3690,1860,0
79,4286,4999,2669,1,3690,1860,0
80,4289,5000,2676,1,3690,1860,0
