,Commerce,Catering,Health,Recreational Activities,Transport,Hotel,Real State
0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0
31,20,0,24,0,22,12,0
32,55,0,50,0,52,27,0
33,94,0,69,0,75,41,0
34,128,0,101,0,103,54,0
35,202,0,144,0,158,85,0
36,286,0,191,0,217,125,0
37,359,0,231,0,274,157,0
38,436,0,278,0,327,189,0
39,542,1,345,0,417,240,0
40,650,4,410,0,505,290,0
41,755,9,471,0,598,339,0
42,867,11,536,0,689,391,0
43,1009,21,617,0,813,450,0
44,1152,54,707,0,933,515,0
45,1291,96,791,0,1058,571,0
46,1434,160,872,0,1179,631,0
47,1581,252,943,0,1300,695,0
48,1716,375,1014,0,1422,758,0
49,1856,546,1089,0,1551,823,0
50,1999,741,1154,0,1665,882,0
51,2148,995,1224,0,1796,938,0
52,2281,1258,1294,0,1911,1005,0
53,2423,1529,1351,0,2026,1072,0
54,2562,1836,1411,0,2153,1128,0
55,2701,2105,1452,0,2277,1189,0
56,2841,2383,1515,0,2405,1259,0
57,2974,2651,1550,0,2524,1307,0
58,3096,2883,1594,0,2648,1377,0
59,3228,3100,1638,0,2768,1435,0
60,3352,3301,1688,0,2895,1495,0
61,3448,3670,1755,0,2999,1552,0
62,3530,3805,1911,0,3088,1592,0
63,3611,3918,1952,0,3189,1648,0
64,3681,4006,1992,0,3280,1690,0
65,3747,4316,2042,0,3356,1726,0
66,3812,4381,2201,0,3415,1750,0
67,3890,4412,2232,0,3487,1774,0
68,3943,4439,2276,0,3553,1804,0
69,3989,4697,2321,0,3590,1818,0
70,4062,4724,2427,0,3623,1834,0
71,4113,4731,2462,0,3655,1843,0
72,4152,4734,2489,0,3679,1855,0
73,4185,4988,2520,0,3688,1860,0
74,4216,4993,2603,0,3690,1860,0
75,4243,4995,2623,0,3690,1860,0
76,4258,4998,2638,0,3690,1860,0
77,4268,4999,2652,0,3690,1860,0
78,4275,5000,2663,1,3690,1860,0
79,4281,5000,2680,1,3690,1860,0
80,4281,5000,2692,1,3690,1860,0
