,Food,Health,Amusement,Basic Goods,Funds
125,69.2996,26.398,39.1126,-93.389,749.222
126,68.966,26.14,38.6464,-93.8546,747.3644
127,68.6312,25.992,38.2,-94.5526,745.3294
128,68.0378,25.802,37.7182,-95.0574,743.5712
129,67.4692,26.596,37.2168,-94.9172,741.028
130,66.968,27.484,36.7444,-94.6562,738.2126
131,66.3108,28.17,36.2394,-93.9232,735.534
132,65.414,28.812,35.698,-93.1294,733.1158
133,64.4884,30.534,35.1732,-91.222,729.946
134,63.421,31.78,34.7298,-88.7974,726.781
135,62.3994,33.266,34.2176,-87.2188,723.666
136,61.0822,34.484,33.6566,-85.0506,720.7858
137,59.8936,36.494,33.1052,-81.5162,717.1652
138,58.69,38.536,32.6166,-77.2438,713.2242
139,57.324,40.398,32.1582,-72.6046,709.3034
140,55.93,42.554,31.6998,-68.906,705.6394
141,54.5772,44.298,31.1944,-64.1582,701.7996
142,53.191,46.354,30.7044,-60.1088,698.0286
143,51.91,48.3,30.2066,-56.2328,694.3098
144,50.575,49.968,29.6618,-51.0614,690.511
145,49.3996,51.964,29.1402,-47.3722,686.6352
146,48.2962,53.422,28.6052,-42.2202,682.6688
147,47.4,54.88,28.0474,-37.5874,678.783
148,46.6258,56.324,27.5428,-33.5546,674.8104
149,45.8714,57.568,26.9978,-29.2596,670.9478
150,45.3292,58.93,26.4602,-25.5832,666.9652
151,44.977,59.906,25.933,-22.1722,663.0906
152,44.881,60.842,25.3986,-18.1126,658.894
153,44.5598,61.642,24.8642,-15.4606,655.2328
154,44.608,62.478,24.3242,-13.0416,651.2528
155,45.0158,62.986,23.7886,-10.9492,647.2712
156,45.452,63.574,23.2534,-8.8708,643.1268
157,47.2266,65.5,22.7478,-7.597,638.3806
158,48.1384,66.38,22.2408,-6.4512,634.5332
159,49.049,66.68,21.732,-5.4372,630.776
160,49.8212,66.972,21.2328,-4.5356,627.1148
161,52.1306,68.114,20.7718,-4.6658,622.7258
162,53.2182,68.504,20.2974,-4.622,619.3296
163,54.8646,68.414,19.8354,-4.9302,615.6658
164,55.9186,68.47,19.3858,-5.8012,612.736
165,58.2446,68.98,18.9046,-6.5534,608.926
166,59.5326,68.9,18.4314,-7.4802,606.0036
167,60.6514,68.306,17.958,-8.4158,603.252
168,62.0034,67.724,17.4678,-10.1174,600.5868
169,64.257,67.392,16.9772,-11.5398,597.4036
170,64.9554,66.632,16.476,-13.1682,595.4874
171,66.0654,65.75,15.969,-15.0782,593.4004
172,66.716,64.986,15.4734,-17.0478,591.5866
173,67.4354,64.212,14.9658,-18.8728,589.7636
174,67.8658,63.212,14.4606,-20.6298,588.016
175,68.2302,62.244,13.9514,-22.627,586.5212
176,68.6114,61.338,13.4538,-24.6994,585.0666
177,68.9314,60.384,12.9538,-26.814,583.5646
178,69.0858,59.412,12.444,-28.9212,582.231
179,69.1126,58.436,11.9542,-30.9094,580.9154
180,69.0806,57.518,11.449,-33.0398,579.644
181,68.5996,56.568,10.9482,-34.944,578.7984
182,68.343,55.514,10.4556,-37.0718,577.7608
183,67.777,54.586,9.9624,-39.3956,576.9954
184,67.2028,53.584,9.4582,-41.7588,576.2956
185,66.668,52.544,8.9578,-43.9226,575.4552
186,65.8636,51.566,8.4402,-46.2256,574.8558
187,65.0046,50.54,7.94,-48.345,574.29
188,64.0844,49.524,7.4378,-50.6098,573.6898
189,63.2272,48.5,6.9342,-52.902,573.1414
190,62.192,47.434,6.4468,-55.244,572.723
191,61.221,46.404,5.9494,-57.4688,572.2232
192,60.1028,45.482,5.4518,-59.736,571.9166
193,58.952,44.466,4.9516,-62.0266,571.5846
194,57.77,43.406,4.453,-64.405,571.3104
195,56.7034,42.512,3.9522,-66.651,570.9756
196,55.5214,41.512,3.459,-68.9342,570.6948
197,54.4912,40.512,2.969,-71.2248,570.3272
198,53.4668,39.56,2.481,-73.504,569.9038
199,52.641,38.586,1.986,-75.8618,569.3024
200,51.6068,37.622,1.4864,-78.3358,568.9968
201,50.8342,36.622,0.9832,-80.6244,568.4556
202,50.075,35.588,0.475,-82.9316,567.8644
203,49.5746,34.58,-0.0296,-85.2346,567.084
204,49.0866,33.556,-0.5294,-87.609,566.369
205,48.9192,32.55,-1.0306,-89.9616,565.3826
206,48.6086,31.552,-1.5214,-92.4164,564.5576
207,48.5706,30.602,-2.018,-94.7694,563.4988
208,48.568,29.558,-2.5302,-97.2616,562.3674
209,48.831,28.518,-3.0308,-99.7104,561.1566
210,49.1422,27.552,-3.5316,-102.075,559.831
211,50.1562,26.474,-4.034,-104.4904,558.0726
212,50.7234,25.458,-4.5336,-106.9188,556.6022
213,51.2982,24.432,-5.0368,-109.378,555.2224
214,52.4966,23.396,-5.5384,-111.8396,553.2932
215,53.561,22.41,-6.0482,-114.3452,551.5204
216,54.7794,21.4,-6.5312,-116.8222,549.7994
217,56.1926,20.48,-7.0348,-119.2596,547.7244
218,57.128,19.526,-7.532,-121.7176,546.0834
219,58.2078,18.49,-8.0198,-124.069,544.2918
220,59.4736,17.49,-8.5338,-126.553,542.482
221,60.4958,17.6,-8.9904,-128.7792,540.1404
222,61.2792,17.544,-9.4418,-130.9436,537.9374
223,62.038,17.404,-9.8956,-133.055,535.6602
224,62.8518,17.586,-10.3558,-135.3146,533.3
225,63.3718,18.54,-10.8492,-137.2692,530.5356
226,63.9406,19.44,-11.3324,-138.9468,527.7916
227,64.1818,20.496,-11.8272,-141.0424,525.2246
228,64.5406,21.236,-12.3256,-142.9406,522.6512
229,64.6864,22.604,-12.8254,-144.513,519.7544
230,64.5806,24.272,-13.3066,-146.0432,516.9004
231,64.312,25.818,-13.8026,-147.3242,514.2066
232,63.7384,27.45,-14.2822,-148.8938,511.6454
233,63.2806,29.478,-14.7324,-149.9624,508.5624
234,62.5966,31.58,-15.1888,-150.6014,505.6868
235,62.0784,33.59,-15.6266,-151.609,502.4466
236,61.2662,35.574,-16.0536,-152.6048,499.7486
237,60.5472,37.286,-16.5746,-153.756,496.8828
238,59.4402,38.91,-17.0458,-154.767,494.387
239,58.574,40.352,-17.544,-155.8834,491.6198
240,57.5522,41.92,-18.0494,-157.0566,489.0244
241,56.606,43.318,-18.5834,-158.3578,486.5728
