,Commerce,Catering,Health,Recreational Activities,Transport,Hotel,Real State
0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0
31,26,0,16,0,29,7,0
32,69,0,29,0,59,24,0
33,117,0,50,0,89,36,0
34,156,0,68,0,126,45,0
35,235,0,105,0,181,73,0
36,306,0,148,0,252,104,0
37,379,0,186,0,315,134,0
38,449,1,223,0,385,158,0
39,563,1,280,0,474,201,0
40,667,4,344,0,565,253,0
41,777,6,406,0,653,295,0
42,887,10,466,0,742,341,0
43,1029,25,546,0,860,401,0
44,1170,50,632,0,986,468,0
45,1313,91,710,0,1105,528,0
46,1458,153,793,0,1225,580,0
47,1599,248,858,0,1351,643,0
48,1739,386,934,0,1478,710,0
49,1878,546,1016,0,1607,770,0
50,2018,748,1087,0,1720,835,0
51,2166,953,1139,0,1841,891,0
52,2300,1211,1207,0,1962,958,0
53,2441,1514,1265,0,2089,1023,0
54,2575,1814,1331,0,2206,1082,0
55,2716,2094,1383,0,2332,1148,0
56,2849,2379,1440,0,2456,1208,0
57,2987,2627,1479,0,2577,1256,0
58,3105,2867,1529,0,2698,1323,0
59,3237,3099,1571,0,2819,1387,0
60,3364,3301,1609,0,2936,1448,0
61,3453,3661,1698,0,3040,1500,0
62,3535,3813,1840,0,3131,1547,0
63,3608,3921,1888,0,3216,1602,0
64,3694,4014,1937,0,3311,1649,0
65,3760,4309,1986,0,3384,1689,0
66,3824,4365,2149,0,3432,1725,0
67,3893,4405,2198,0,3492,1749,0
68,3956,4429,2231,0,3553,1787,0
69,4012,4707,2274,0,3585,1808,0
70,4075,4728,2409,0,3617,1825,0
71,4128,4738,2439,0,3652,1838,0
72,4163,4744,2473,0,3687,1856,0
73,4189,4992,2513,0,3690,1860,0
74,4222,4993,2591,0,3690,1860,0
75,4248,4997,2607,0,3690,1860,0
76,4262,4999,2620,0,3690,1860,0
77,4272,4999,2634,0,3690,1860,0
78,4280,5000,2648,0,3690,1860,0
79,4285,5000,2662,0,3690,1860,0
80,4288,5000,2676,2,3690,1860,0
81,4289,5001,2683,4,3690,1860,0
