,Commerce,Catering,Health,Recreational Activities,Transport,Hotel,Real State
0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0
31,19,0,8,0,39,21,0
32,64,0,31,0,80,40,0
33,116,0,45,0,120,66,0
34,171,0,57,0,166,85,0
35,256,0,92,0,231,118,0
36,335,0,142,0,312,154,0
37,411,0,189,0,384,188,0
38,481,0,230,0,454,223,0
39,595,2,289,0,549,265,0
40,700,4,359,0,649,311,0
41,804,8,423,0,747,353,0
42,913,11,491,0,848,398,0
43,1049,29,577,0,965,453,0
44,1194,59,652,0,1083,524,0
45,1337,107,733,0,1221,582,0
46,1482,166,809,0,1336,642,0
47,1625,257,883,0,1447,704,0
48,1765,363,967,0,1580,766,0
49,1908,531,1030,0,1706,831,0
50,2040,729,1094,0,1827,889,0
51,2184,993,1162,0,1952,942,0
52,2326,1256,1216,0,2066,1014,0
53,2461,1528,1275,0,2189,1075,0
54,2600,1789,1332,0,2306,1133,0
55,2736,2069,1383,0,2441,1199,0
56,2880,2344,1435,0,2557,1266,0
57,3006,2619,1488,0,2683,1311,0
58,3124,2848,1531,0,2805,1381,0
59,3243,3062,1574,0,2925,1442,0
60,3350,3260,1615,0,3046,1506,0
61,3447,3641,1680,0,3139,1553,0
62,3524,3773,1849,0,3220,1589,0
63,3600,3899,1890,0,3296,1628,0
64,3674,3998,1933,0,3372,1671,0
65,3735,4313,1969,0,3438,1700,0
66,3807,4374,2132,0,3482,1729,0
67,3869,4423,2166,0,3532,1755,0
68,3927,4451,2211,0,3585,1779,0
69,3978,4687,2244,0,3610,1800,0
70,4042,4710,2363,0,3638,1820,0
71,4103,4725,2413,0,3661,1836,0
72,4144,4729,2436,0,3682,1852,0
73,4174,4991,2461,0,3690,1860,0
74,4220,4995,2552,0,3690,1860,0
75,4245,4995,2579,0,3690,1860,0
76,4267,4999,2610,0,3690,1860,0
77,4274,5000,2635,0,3690,1860,0
78,4281,5000,2654,0,3690,1860,0
79,4286,5000,2670,1,3690,1860,0
80,4287,5000,2684,2,3690,1860,0
