,Food,Health,Amusement,Basic Goods,Funds
0,100.0,100.0,100.0,100.0,1000.0
1,98.4864,99.05,99.5044,97.4822,1000.0
2,96.9676,97.966,99.01,94.9586,1000.0
3,95.4674,96.996,98.5058,92.453,1000.0
4,93.9506,96.002,98.011,89.8968,1000.0
5,92.4432,94.996,97.4922,87.3558,1000.0
6,90.9704,94.014,96.9872,84.8656,1000.0
7,89.4532,93.06,96.486,82.3976,1000.0
8,87.9518,92.12,95.9972,79.8832,1000.0
9,86.4426,91.154,95.4952,77.409,1000.0
10,84.9656,90.154,94.9944,74.9234,1000.0
11,83.4668,89.142,94.487,72.46,1000.0
12,81.9424,88.1,93.9932,69.9506,1000.0
13,80.431,87.09,93.4912,67.408,1000.0
14,78.915,86.05,92.9972,64.8794,1000.0
15,77.3888,85.056,92.4976,62.3944,1000.0
16,75.8584,84.094,92.0002,59.9108,1000.0
17,74.3562,83.116,91.5044,57.406,1000.0
18,72.8374,82.222,91.0006,54.9028,1000.0
19,71.3344,81.262,90.5024,52.383,1000.0
20,69.8626,80.23,90.0066,49.871,1000.0
21,68.3532,79.298,89.5058,47.3656,1000.0
22,66.8308,78.36,89.0104,44.8568,1000.0
23,65.3342,77.332,88.506,42.3546,1000.0
24,63.8362,76.318,88.0186,39.8624,1000.0
25,62.3424,75.368,87.5124,37.3514,1000.0
26,60.8576,74.386,87.0142,34.8454,1000.0
27,59.361,73.352,86.5046,32.367,1000.0
28,57.8666,72.36,86.0058,29.8628,1000.0
29,56.3548,71.37,85.509,27.3726,1000.0
30,54.8682,70.436,85.0092,24.9234,1000.0
31,53.3836,69.72,84.495,22.7822,999.318
32,51.8754,69.112,83.9874,20.9718,998.1636
33,50.3908,68.484,83.4332,19.2666,997.0666
34,48.8874,68.002,82.8874,17.6336,995.9814
35,47.3926,67.832,82.3368,16.6806,993.9988
36,45.855,67.93,81.783,15.7404,991.6256
37,44.354,67.902,81.1954,15.0354,989.378
38,42.8644,67.832,80.6122,14.169,987.2626
39,41.348,68.24,80.0068,14.2424,983.8614
40,39.887,68.764,79.3996,14.2004,980.4068
41,38.4206,69.102,78.7452,14.1362,977.081
42,36.972,69.436,78.0972,14.5014,973.6318
43,35.7536,70.042,77.4436,15.4366,969.2624
44,34.6024,70.656,76.7848,16.6396,964.604
45,33.7796,71.346,76.0944,17.63,959.9076
