,Commerce,Catering,Health,Recreational Activities,Transport,Hotel,Real State
0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0
31,25,0,21,0,26,12,0
32,58,0,39,0,53,23,0
33,111,0,62,0,78,39,0
34,161,0,81,0,110,56,0
35,238,0,119,0,158,83,0
36,323,0,169,0,222,123,0
37,400,0,207,0,278,156,0
38,477,0,245,0,332,186,0
39,591,0,304,0,414,237,0
40,707,0,380,0,501,283,0
41,811,2,448,0,591,330,0
42,929,8,516,0,681,378,0
43,1067,19,591,0,799,435,0
44,1212,39,676,0,917,501,0
45,1353,73,758,0,1048,560,0
46,1497,129,843,0,1167,623,0
47,1639,224,907,0,1287,681,0
48,1777,353,984,0,1410,747,0
49,1919,512,1058,0,1541,805,0
50,2056,718,1135,0,1657,868,0
51,2202,975,1206,0,1769,929,0
52,2341,1228,1262,0,1905,991,0
53,2476,1523,1320,0,2022,1056,0
54,2612,1840,1366,0,2143,1114,0
55,2750,2121,1422,0,2266,1179,0
56,2883,2389,1479,0,2389,1245,0
57,3013,2651,1522,0,2511,1295,0
58,3135,2896,1571,0,2633,1360,0
59,3261,3109,1609,0,2759,1421,0
60,3376,3292,1660,0,2878,1483,0
61,3469,3653,1728,0,2979,1534,0
62,3556,3798,1876,0,3078,1579,0
63,3635,3915,1924,0,3168,1630,0
64,3704,4008,1970,0,3260,1683,0
65,3757,4306,2023,0,3339,1714,0
66,3823,4361,2167,0,3400,1736,0
67,3896,4410,2210,0,3474,1761,0
68,3950,4434,2240,0,3537,1791,0
69,3996,4694,2286,0,3575,1811,0
70,4080,4712,2417,0,3612,1828,0
71,4138,4722,2442,0,3645,1844,0
72,4175,4728,2469,0,3684,1855,0
73,4201,4987,2502,0,3689,1860,0
74,4238,4992,2577,0,3690,1860,0
75,4263,4997,2594,0,3690,1860,0
76,4276,4999,2610,0,3690,1860,0
77,4282,5000,2625,0,3690,1860,0
78,4286,5000,2636,0,3690,1860,0
79,4289,5000,2645,0,3690,1860,0
80,4289,5000,2654,0,3690,1860,0
81,4290,5000,2661,1,3690,1860,0
