,Commerce,Catering,Health,Recreational Activities,Transport,Hotel,Real State
0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0
31,14,0,16,0,22,13,0
32,40,0,33,0,50,28,0
33,76,0,59,0,76,44,0
34,101,0,78,0,103,56,0
35,166,0,113,0,162,83,0
36,236,0,156,0,229,115,0
37,301,0,202,0,294,140,0
38,362,0,234,0,354,165,0
39,477,1,289,0,442,208,0
40,586,3,353,0,531,253,0
41,697,4,412,0,621,295,0
42,809,8,462,0,712,334,0
43,950,23,546,0,837,394,0
44,1096,55,631,0,956,458,0
45,1233,91,711,0,1083,515,0
46,1378,159,794,0,1203,571,0
47,1523,237,874,0,1320,638,0
48,1664,368,949,0,1451,703,0
49,1802,500,1039,0,1577,764,0
50,1946,705,1109,0,1691,827,0
51,2086,937,1181,0,1818,884,0
52,2225,1185,1252,0,1943,951,0
53,2363,1459,1309,0,2059,1013,0
54,2498,1768,1386,0,2174,1072,0
55,2638,2039,1445,0,2298,1134,0
56,2790,2317,1498,0,2425,1199,0
57,2920,2597,1547,0,2552,1246,0
58,3032,2815,1600,0,2673,1319,0
59,3157,3027,1653,0,2791,1379,0
60,3276,3227,1699,0,2911,1439,0
61,3382,3581,1751,0,3015,1493,0
62,3479,3726,1898,0,3113,1534,0
63,3568,3843,1941,0,3212,1580,0
64,3643,3935,1989,0,3302,1634,0
65,3713,4266,2037,0,3373,1669,0
66,3790,4334,2192,0,3429,1700,0
67,3873,4375,2228,0,3485,1732,0
68,3939,4411,2261,0,3548,1771,0
69,3987,4675,2296,0,3584,1794,0
70,4057,4698,2440,0,3620,1814,0
71,4120,4707,2483,0,3651,1835,0
72,4162,4716,2512,0,3684,1852,0
73,4197,4994,2531,0,3690,1860,0
74,4235,4995,2601,0,3690,1860,0
75,4250,4999,2618,0,3690,1860,0
76,4262,5000,2641,0,3690,1860,0
77,4272,5000,2660,0,3690,1860,0
78,4275,5000,2678,1,3690,1860,0
79,4277,5000,2693,1,3690,1860,0
80,4287,5000,2698,3,3690,1860,0
81,4289,5000,2699,4,3690,1860,0
