,Agent_Commerce($),Agent_Catering($),Agent_Health($),Agent_RecreationActiv($),Agent_Transport($),Agent_Hotel($),Agent_RealState($)
153,390423,569119,263276,42986,310309,104565,0
154,395257,569208,267331,43642,315304,104981,0
155,400241,569208,270148,44448,320670,105259,0
156,403699,569428,273095,45163,326861,105630,0
157,406979,571529,280276,45833,331447,106507,0
158,411779,571990,284199,46492,335402,107002,0
159,414067,573218,287078,47143,339657,107684,0
160,416693,574728,289672,47785,344259,108143,0
161,419105,579062,294397,48011,347037,110377,0
162,422312,582623,297323,48237,349238,111094,0
163,424513,586405,298893,48463,352376,112018,0
164,425998,592429,300607,48689,354668,113167,0
165,428804,601539,303489,48771,356232,114862,0
166,430500,611552,305281,48853,357852,115458,0
167,432469,624295,306469,48935,359143,116204,0
168,434018,640189,307327,49017,360591,116824,0
169,436565,658390,309154,49017,360716,117543,0
170,438412,674516,309496,49017,360716,117877,0
171,440123,692315,309666,49017,360716,118464,0
172,441589,710436,309666,49017,360716,118774,0
173,442447,725183,309666,49017,360716,118919,0
174,443042,741506,309666,49017,360716,119195,0
175,444372,754536,309666,49017,360716,119392,0
176,445337,767434,309666,49017,360716,119589,0
177,446769,779937,309666,49017,360716,119896,0
178,447785,789706,309666,49017,360716,120038,0
179,449051,798664,309666,49017,360716,120038,0
180,449915,806337,309666,49017,360716,120082,0
181,450459,812472,309666,49017,360716,120082,0
182,450928,817539,309666,49017,360716,120150,0
183,451590,822382,309666,49017,360716,120226,0
184,452164,826436,309666,49017,360716,120231,0
185,452734,830242,309666,49017,360716,120306,0
186,453207,832998,309666,49017,360716,120306,0
187,453385,835620,309666,49017,360716,120316,0
188,454040,838546,309666,49017,360716,120316,0
189,454040,838546,309666,49017,360716,120316,0
190,454040,838546,309666,49017,360716,120316,0
191,454040,838546,309666,49017,360716,120316,0
192,454040,838546,309666,49017,360716,120316,0
193,454040,838546,309666,49017,360716,120316,0
194,454040,838546,309666,49017,360716,120316,0
195,454040,838546,309666,49017,360716,120316,0
196,454040,838546,309666,49017,360716,120316,0
197,454040,838546,309666,49017,360716,120316,0
198,454040,838546,309666,49017,360716,120316,0
199,454040,838546,309666,49017,360716,120316,0
200,454040,838546,309666,49017,360716,120316,0
201,454040,838546,309666,49017,360716,120316,0
202,454040,838546,309666,49017,360716,120316,0
203,454040,838546,309666,49017,360716,120316,0
204,454040,838546,309666,49017,360716,120316,0
205,454040,838546,309666,49017,360716,120316,0
206,454040,838546,309666,49017,360716,120316,0
207,454040,838546,309666,49017,360716,120316,0
208,454040,838546,309666,49017,360716,120316,0
209,454040,838546,309666,49017,360716,120316,0
210,454040,838546,309666,49017,360716,120316,0
211,454040,838546,309666,49017,360716,120316,0
212,454040,838546,309666,49017,360716,120316,0
213,457428,860255,309666,49017,360716,120408,0
214,458011,864028,309666,49017,360716,120408,0
215,458589,868174,309666,49017,360716,120418,0
216,458763,872306,309666,49017,360716,120418,0
217,459066,879535,309666,49017,360716,120486,0
218,459473,887286,309666,49017,360716,120486,0
219,459781,897606,309666,49017,360716,120486,0
220,459937,908537,309666,49017,360716,120486,0
221,460192,918070,310652,49049,362033,120698,0
222,460578,928062,311853,49080,363477,120767,0
223,460886,939111,313106,49110,365009,121112,0
224,461411,951578,314290,49139,366565,121389,0
225,461818,961335,316575,49577,369258,121526,0
226,462980,971642,318822,50011,372086,121793,0
227,463565,981922,321486,50439,375489,121930,0
228,464300,994305,323806,50867,378033,122067,0
229,465036,1004347,327099,51439,382047,122290,0
230,466286,1013892,330192,52011,386393,122513,0
231,467489,1022839,333774,52583,390456,122736,0
232,468460,1031251,337091,53155,394885,122959,0
233,469641,1038768,341598,53809,399831,123262,0
234,470813,1044731,346135,54463,405373,123497,0
235,471902,1049999,350613,55117,411140,123868,0
236,473112,1054869,355023,55739,416426,124171,0
237,474556,1058135,359605,56425,421675,124474,0
238,475701,1061364,363675,57079,427687,124777,0
239,476689,1064274,368062,57733,433002,125080,0
240,477427,1067587,372160,58387,438942,125315,0
241,478896,1069609,377151,59041,444109,125550,0
242,480309,1071188,380812,59636,449474,125785,0
243,481512,1073696,385380,60349,455509,126020,0
244,482511,1074996,389373,61003,460594,126255,0
245,483775,1076103,393306,61657,466135,126447,0
246,484664,1076830,397244,62193,471350,126725,0
247,485532,1077328,400001,62965,477097,126960,0
248,487052,1077819,403325,63619,483064,127195,0
249,488128,1078251,406982,64273,488224,127430,0
250,489630,1078723,409728,64927,494009,127665,0
251,490673,1078801,412530,65581,499151,127900,0
252,491635,1078848,415005,66235,504495,128135,0
253,492811,1088881,419015,66860,509159,128301,0
254,493807,1088881,424841,67485,513039,128467,0
255,494741,1088993,426979,68110,517153,128633,0
256,495482,1089140,429118,68735,521116,128799,0
257,496780,1098918,433424,68961,524101,129169,0
258,497282,1099456,437824,69187,526584,129335,0
259,497730,1099848,439503,69413,529342,129501,0
260,498604,1100730,441354,69639,531712,129667,0
261,499043,1110552,444735,69721,533077,129883,0
262,499566,1111904,447331,69803,534529,130039,0
263,500241,1114466,449282,69885,535943,130076,0
264,501285,1116776,450254,69967,537211,130156,0
265,502097,1126425,452570,69967,537311,130310,0
266,502844,1129758,453808,69967,537311,130310,0
267,503672,1134490,454592,69967,537311,130310,0
268,504734,1139068,455020,69967,537311,130310,0
269,505540,1143572,455151,69967,537311,130310,0
270,506203,1150568,455204,69967,537311,130310,0
271,506918,1157466,455240,69967,537311,130310,0
272,507835,1165395,455257,69967,537311,130310,0
273,508950,1172748,455374,69967,537311,130310,0
274,509438,1181101,455374,69967,537311,130310,0
275,510383,1189665,455374,69967,537311,130310,0
276,511138,1198120,455374,69967,537311,130310,0
277,511920,1207925,455374,69967,537311,130310,0
278,512952,1217289,455374,69967,537311,130310,0
279,513673,1225649,455374,69967,537311,130310,0
280,514324,1233900,455374,69967,537311,130310,0
281,514848,1242766,455374,69967,537311,130310,0
282,515887,1252425,455374,69967,537311,130310,0
283,516741,1260272,455374,69967,537311,130310,0
284,517361,1267013,455374,69967,537311,130310,0
285,517361,1267013,455374,69967,537311,130310,0
286,517361,1267013,455374,69967,537311,130310,0
287,517361,1267013,455374,69967,537311,130310,0
288,517361,1267013,455374,69967,537311,130310,0
289,517361,1267013,455374,69967,537311,130310,0
290,517361,1267013,455374,69967,537311,130310,0
291,517361,1267013,455374,69967,537311,130310,0
292,517361,1267013,455374,69967,537311,130310,0
293,517361,1267013,455374,69967,537311,130310,0
294,517361,1267013,455374,69967,537311,130310,0
295,517361,1267013,455374,69967,537311,130310,0
296,517361,1267013,455374,69967,537311,130310,0
297,517361,1267013,455374,69967,537311,130310,0
298,517361,1267013,455374,69967,537311,130310,0
299,517361,1267013,455374,69967,537311,130310,0
300,517361,1267013,455374,69967,537311,130310,0
301,517361,1267013,455374,69967,537311,130310,0
302,517361,1267013,455374,69967,537311,130310,0
303,517361,1267013,455374,69967,537311,130310,0
304,517361,1267013,455374,69967,537311,130310,0
305,517361,1267013,455374,69967,537311,130310,0
