0.000000000000000000e+00, 4.999990000000000000e+05, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
1.002004008016031955e+00, 4.999988183728658478e+05, 1.734003721112762353e-01, 9.418600530200943455e-01, 5.641980998140016385e-02, 9.889895725457738263e-03, 5.700345327197763295e-05
2.004008016032063910e+00, 4.999986155219065258e+05, 3.513226129517950658e-01, 8.958613650741186207e-01, 1.187705079520694346e-01, 1.830713482061828087e-02, 2.164727928970589606e-04
3.006012024048096087e+00, 4.999983884131074883e+05, 5.362528319105958063e-01, 8.615265041652547806e-01, 1.878307899373238832e-01, 2.551338799147685396e-02, 4.633786510488196401e-04
4.008016032064127820e+00, 4.999981336434835102e+05, 7.308037080140348252e-01, 8.385314167212137848e-01, 2.644946297435818994e-01, 3.174130069364445444e-02, 7.854614298660561557e-04
5.010020040080159553e+00, 4.999978473900983226e+05, 9.377517214638174670e-01, 8.267028691089794989e-01, 3.497835619294831222e-01, 3.719881991008271160e-02, 1.172929338315469028e-03
6.012024048096192175e+00, 4.999975253524828004e+05, 1.160077164275524098e+00, 8.260180135909540589e-01, 4.448610647769379312e-01, 4.207306982559280012e-02, 1.618204843734607611e-03
7.014028056112223908e+00, 4.999971626880989061e+05, 1.401007327044666795e+00, 8.366058936740843333e-01, 5.510490806650254481e-01, 4.653388997103832109e-02, 2.115709839832790456e-03
8.016032064128255641e+00, 4.999967539394595660e+05, 1.664063639884119761e+00, 8.587511047067112324e-01, 6.698470593139091989e-01, 5.073704627175078252e-02, 2.661690349851760819e-03
9.018036072144287374e+00, 4.999962929519463214e+05, 1.953113420340394590e+00, 8.928996168824916424e-01, 8.029537535124650072e-01, 5.482718750955387771e-02, 3.254075494718694766e-03
1.002004008016031911e+01, 4.999957727811051882e+05, 2.272426980360767068e+00, 9.396668669347258973e-01, 9.522920865058240869e-01, 5.894059285421260341e-02, 3.892368230806788829e-03
1.102204408817635084e+01, 4.999951855880619842e+05, 2.626740908286794962e+00, 9.998482615303027066e-01, 1.120037452504988762e+00, 6.320774962176020639e-02, 4.577566124093159286e-03
