regione,pAI,pIH,pHC,pCD,rsa,rai,rih,rir,rhr,rhc,rcd,rar,rcr,r0_max,r0_min,k,startLockdown
Veneto,1.0,0.9990724892516328,0.8458684543615812,0.8851791597351512,1.2692993989926953,0.45124532814905594,0.03559103677401626,0.02354002732716006,0.8689335824718459,0.016665831893015744,1.7599543236720832,1.002720020180076,0.3719643110614519,4.996177657683372,0.3,0.1949143132163228,37.477380722722174
Liguria,0.9989829122362222,0.1316508646767647,0.016993274037590562,0.9908341517074024,1.4891839439560344,0.20960843901027068,0.1974517702577651,0.02722591494198956,0.06682369729927855,1.9157812443888536,1.271010502991298,0.03401370619068718,0.012685938145507768,4.352877224258527,0.3708083818938741,0.1295172121048159,24.632215084128642
P.A. Trento,1.0,0.9998062946870596,0.7357358827320167,0.9997848852902472,2.0,0.3860902968144031,0.05038136186441135,0.01602504486075912,0.6275530265945867,0.024167548270515208,1.3129560000363574,0.1551416192533919,0.03641515015978925,5.0,0.3,0.1444540418008227,25.331524755824642
P.A. Trento,0.9999913711789804,0.019710944673422284,0.23822093600954386,0.9085342821942692,1.7015076956107202,0.3210014291533568,1.6433597464677825,0.019350945777914345,0.13266772075266034,0.08033312453504182,0.8807336729105469,0.5911360483081828,0.1833723368036303,4.532893397700908,0.30861707681143963,0.1719642990751297,26.92543494102099
