,Agent_Commerce($),Agent_Catering($),Agent_Health($),Agent_RecreationActiv($),Agent_Transport($),Agent_Hotel($),Agent_RealState($)
153,389445,520391,252678,42973,331303,96516,0
154,394407,520391,256681,43613,336560,96730,0
155,398837,520391,260300,44243,342102,96944,0
156,403000,520391,262552,44863,348384,97158,0
157,405906,535394,264711,45228,353579,97389,0
158,408657,535394,271676,45587,358284,97603,0
159,413228,535394,274326,45940,362005,97861,0
160,415480,535394,276452,46289,366884,98075,0
161,418015,537037,280786,46455,369856,98290,0
162,420354,537037,282972,46621,373122,98423,0
163,422279,537037,284095,46787,376169,98589,0
164,423747,537107,286229,46953,378971,98682,0
165,425636,539644,289259,47065,380736,98813,0
166,427382,539853,290186,47177,382443,98906,0
167,429128,540820,291594,47289,384053,98999,0
168,430808,542505,292344,47401,385874,99092,0
169,432786,545988,294280,47401,386135,99092,0
170,434261,549548,294707,47401,386135,99092,0
171,435493,554951,295066,47401,386135,99092,0
172,436883,562301,295340,47401,386135,99092,0
173,438459,570717,295670,47401,386135,99092,0
174,440434,581275,295714,47401,386135,99092,0
175,441516,594833,295714,47401,386135,99092,0
176,442856,608784,295714,47401,386135,99092,0
177,444207,625169,295714,47401,386135,99092,0
178,445387,642865,295714,47401,386135,99092,0
179,447034,659947,295714,47401,386135,99092,0
180,447951,674812,295714,47401,386135,99092,0
181,448282,674812,295714,47401,386135,99092,0
182,448754,674812,295714,47401,386135,99092,0
183,449561,674812,295714,47401,386135,99092,0
184,449986,674812,295714,47401,386135,99092,0
185,450248,674812,295714,47401,386135,99092,0
186,450717,674812,295714,47401,386135,99092,0
187,451042,674812,295714,47401,386135,99092,0
188,451563,674812,295714,47401,386135,99092,0
189,451731,674812,295714,47401,386135,99092,0
190,452200,674812,295714,47401,386135,99092,0
191,452591,674812,295714,47401,386135,99092,0
192,452960,674812,295714,47401,386135,99092,0
193,453077,674812,295714,47401,386135,99092,0
194,453343,674812,295714,47401,386135,99092,0
195,454001,674812,295714,47401,386135,99092,0
196,454138,674812,295714,47401,386135,99092,0
197,454503,674812,295714,47401,386135,99092,0
198,454809,674812,295714,47401,386135,99092,0
199,455140,674812,295714,47401,386135,99092,0
200,455430,674812,295714,47401,386135,99092,0
201,455905,674812,295714,47401,386135,99092,0
202,456022,674812,295714,47401,386135,99092,0
203,456139,674812,295714,47401,386135,99092,0
204,456238,674812,295714,47401,386135,99092,0
205,456436,674812,295714,47401,386135,99092,0
206,456526,674812,295714,47401,386135,99092,0
207,456781,674812,295714,47401,386135,99092,0
208,457078,674812,295714,47401,386135,99092,0
209,457229,674812,295714,47401,386135,99092,0
210,457249,674812,295714,47401,386135,99092,0
211,457525,674812,295714,47401,386135,99092,0
212,457657,674812,295714,47401,386135,99092,0
213,457657,674812,295714,47401,386135,99092,0
214,457819,674812,295714,47401,386135,99092,0
215,457989,674812,295714,47401,386135,99092,0
216,457989,674812,295714,47401,386135,99092,0
217,458116,674812,295714,47401,386135,99092,0
218,458206,674812,295714,47401,386135,99092,0
219,458340,674812,295714,47401,386135,99092,0
220,458340,674812,295714,47401,386135,99092,0
221,458340,799289,296918,47644,387451,99092,0
222,460182,802946,298224,47885,388906,99092,0
