,Agent_Commerce($),Agent_Catering($),Agent_Health($),Agent_RecreationActiv($),Agent_Transport($),Agent_Hotel($),Agent_RealState($)
621,610785,1589312,781434,118126,1802688,138126,0
622,611326,1589783,781737,118657,1803282,138228,0
623,611478,1590257,782158,119130,1803910,138330,0
624,611844,1590687,782568,119603,1804323,138432,0
625,612198,1591188,782853,120076,1804725,138534,0
626,612610,1591435,783254,120483,1805140,138636,0
627,612924,1591791,783587,121022,1805521,138738,0
628,613322,1592038,784004,121495,1805934,138840,0
629,613676,1592212,784250,121968,1806346,138942,0
630,613964,1592324,784692,122384,1806762,139044,0
631,614324,1592601,784937,122848,1807082,139146,0
632,614629,1592728,785251,123329,1807413,139227,0
633,614917,1592890,785491,123803,1807732,139350,0
634,615075,1593044,785674,124263,1808022,139452,0
635,615496,1593222,785788,124740,1808310,139554,0
636,615891,1593274,785904,125222,1808628,139656,0
637,616294,1599730,790445,125603,1812207,139737,0
638,616836,1600088,794370,125927,1815397,139818,0
639,617116,1600147,794869,126251,1818302,139899,0
640,617658,1600277,795216,126575,1820844,139980,0
641,618102,1607432,798336,126899,1825035,140061,0
642,618389,1607683,802730,127223,1830074,140142,0
643,618820,1607819,803155,127547,1835216,140223,0
644,619119,1607931,803695,127871,1840694,140304,0
645,619449,1611606,807154,128081,1847800,140354,0
646,619867,1611991,809517,128291,1854781,140404,0
647,619977,1612244,810205,128501,1861794,140454,0
648,620327,1613002,810959,128711,1868667,140504,0
649,620892,1617144,813699,128711,1876669,140504,0
650,621083,1618926,815265,128711,1884793,140504,0
651,621262,1620570,815799,128711,1892979,140504,0
652,621433,1621978,816431,128711,1901188,140504,0
653,621433,1623239,817295,128711,1909301,140504,0
654,621602,1625092,818146,128711,1917465,140504,0
655,621747,1626924,818555,128711,1925783,140504,0
656,621950,1629036,818889,128711,1934292,140504,0
657,622108,1631155,819469,128711,1942752,140504,0
658,622413,1633611,820110,128711,1951624,140504,0
659,622491,1636002,820622,128711,1959966,140504,0
660,622649,1638039,821007,128711,1968420,140504,0
661,623135,1639708,821478,128711,1975970,140504,0
662,623140,1641630,821735,128711,1983498,140504,0
663,623368,1643552,821963,128711,1990593,140504,0
664,623666,1644837,822436,128711,1997401,140504,0
665,623752,1644837,822881,128711,2003665,140504,0
666,623923,1644837,823416,128711,2009986,140504,0
667,624049,1644837,823781,128711,2016252,140504,0
668,624290,1644837,824294,128711,2020586,140504,0
669,624632,1644837,824806,128711,2024540,140504,0
670,624650,1644837,824878,128711,2028267,140504,0
671,624663,1644837,825175,128711,2031489,140504,0
