,Agent_Commerce($),Agent_Catering($),Agent_Health($),Agent_RecreationActiv($),Agent_Transport($),Agent_Hotel($),Agent_RealState($)
0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0
31,1064,0,598,0,1639,589,0
32,3120,0,1842,0,3637,1425,0
33,4860,0,2598,0,5445,1831,0
34,7358,0,3859,0,7299,2673,0
35,10504,0,5505,0,10499,4140,0
36,14477,0,7700,0,13606,5488,0
37,17718,0,9228,0,17284,7037,0
38,21071,0,11679,0,20735,8537,0
39,26545,29,14694,0,25637,10320,0
40,32207,214,18185,0,30121,12698,0
41,37376,384,21515,0,34928,14982,0
42,43038,716,24865,0,39927,17276,0
43,50651,1526,28491,0,46508,20214,0
44,57722,3059,33589,0,53474,23594,0
45,65864,5234,38238,0,60055,26932,0
46,73372,9013,42300,0,66558,29810,0
47,81025,15068,46906,0,73496,33463,0
48,88285,23105,51323,0,80684,36909,0
49,95771,33515,55369,0,87016,40083,0
50,102691,44382,59527,0,93458,43335,0
51,110485,59208,63105,0,100747,46540,0
52,117381,74720,66979,0,107463,49700,0
53,124341,91862,70622,0,113789,53122,0
54,132014,108001,74061,0,120281,56260,0
55,138647,124414,76766,0,127207,59748,0
56,145534,138696,80075,0,133892,62841,0
57,152959,153957,82677,0,140069,65868,0
58,159044,168120,85117,0,146771,69313,0
59,165630,180827,87830,0,152927,72683,0
60,171713,191784,90331,0,159547,75711,0
61,177077,214216,93890,0,164723,78582,0
62,181049,222874,102292,0,170019,80971,0
63,185186,229542,104441,0,174896,83398,0
64,189036,233132,107486,0,179503,85639,0
65,192740,250153,110074,0,183623,88353,0
66,196141,252812,118276,0,186746,89999,0
67,199581,254359,120684,0,190382,92076,0
68,202997,256095,122216,0,193247,93789,0
69,206071,270575,124051,0,195716,95053,0
70,209673,271709,130352,0,197486,95942,0
71,212973,272428,131665,0,199352,97101,0
72,215470,272748,133520,0,201436,98315,0
73,217276,287815,135329,0,201963,98714,0
74,219065,288025,140701,0,201963,98714,0
75,220411,288076,142064,0,201963,98714,0
