,Agent_Commerce($),Agent_Catering($),Agent_Health($),Agent_RecreationActiv($),Agent_Transport($),Agent_Hotel($),Agent_RealState($)
0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0
31,1371,0,848,0,1607,769,0
32,3287,0,2083,0,3836,1599,0
33,5159,0,3310,0,5971,2332,0
34,7594,0,4379,0,8157,3116,0
35,11616,0,6620,0,11330,5087,0
36,15793,0,8943,0,14850,7524,0
37,19376,0,10851,0,17878,9929,0
38,23705,70,13615,0,21037,12295,0
39,29875,197,17088,0,25325,15034,0
40,36183,264,20795,0,30145,18292,0
41,42421,406,23967,0,34554,21402,0
42,48517,535,27598,0,38716,23906,0
43,56254,1799,32356,0,45256,27377,0
44,64628,3851,36643,0,51591,31147,0
45,72550,6532,41132,0,57958,34340,0
46,80275,10345,45494,0,64430,37858,0
47,87847,15702,50240,0,70877,41145,0
48,95896,23902,54539,0,76497,44860,0
49,103560,32826,58076,0,82951,47775,0
50,111240,45484,60771,0,89477,51400,0
51,118315,59838,64246,0,95946,54624,0
52,126466,74701,66691,0,101840,57896,0
53,133697,90576,70326,0,108233,61328,0
54,141142,108488,73914,0,114205,64910,0
55,148483,127055,76584,0,120446,68529,0
56,155585,141505,79131,0,126928,71540,0
57,161806,156461,82166,0,132504,74590,0
58,168734,172449,84339,0,139003,78253,0
59,174973,185672,86878,0,145185,81123,0
60,181077,196828,88889,0,151439,84774,0
61,186323,219988,92410,0,155966,87799,0
62,191373,229788,100767,0,160647,90758,0
63,195203,235091,103594,0,164274,92963,0
64,199012,239818,106175,0,168643,95740,0
65,202285,258830,108795,0,172585,97488,0
66,205367,262009,116888,0,174702,98441,0
67,210101,264827,119092,0,178086,99556,0
68,213102,265970,120757,0,181574,100625,0
69,216171,280277,122704,0,183533,101449,0
70,219317,281038,128825,0,185535,101704,0
71,222599,281472,130686,0,187224,102369,0
72,225515,281856,132477,0,189236,102729,0
73,226958,298202,133257,0,189786,102992,0
74,228878,298380,137453,0,189786,103038,0
75,230104,298562,139078,0,189786,103038,0
