,Agent_Commerce($),Agent_Catering($),Agent_Health($),Agent_RecreationActiv($),Agent_Transport($),Agent_Hotel($),Agent_RealState($)
198,423250,837152,276622,38377,403013,115314,0
199,423606,838745,276622,38377,403013,115314,0
200,424122,840868,276622,38377,403013,115314,0
201,424438,843340,276622,38377,403013,115314,0
202,424954,846233,276622,38377,403013,115314,0
203,425134,849468,276622,38377,403013,115314,0
204,425296,852943,276622,38377,403013,115314,0
205,425886,856445,276622,38377,403013,115314,0
206,426224,860832,276622,38377,403013,115314,0
207,426396,865539,276622,38377,403013,115314,0
208,426618,870246,276622,38377,403013,115314,0
209,426884,875953,276622,38377,403013,115314,0
210,427026,881912,276622,38377,403013,115314,0
211,427305,889275,276622,38377,403013,115314,0
212,427562,896494,276622,38377,403013,115314,0
213,427622,905049,276622,38377,403013,115314,0
214,427703,912466,276622,38377,403013,115314,0
215,427791,920077,276622,38377,403013,115314,0
216,427972,929044,276622,38377,403013,115314,0
217,428100,937172,276622,38377,403013,115314,0
218,428357,946403,276622,38377,403013,115314,0
219,428357,956286,276622,38377,403013,115314,0
220,428438,964814,276622,38377,403013,115314,0
221,428758,973456,277768,38394,404550,115412,0
222,428941,981877,279008,38411,406640,115510,0
223,429365,990075,280165,38427,408513,115608,0
224,429713,997596,281350,38442,410182,115706,0
225,429870,1004250,283596,38714,413418,115820,0
226,430541,1011729,285902,38984,416439,115934,0
227,431046,1017853,288041,39252,419942,116012,0
228,431560,1024613,290328,39518,423117,116162,0
229,432105,1029934,293971,39815,427121,116288,0
230,433332,1034969,297307,40188,431538,116414,0
231,433917,1039313,300867,40523,436749,116540,0
232,434579,1043194,304708,40858,440953,116666,0
233,436002,1046549,308277,41289,446435,116923,0
234,437431,1049540,312469,41720,452966,117216,0
235,438207,1051278,316114,42120,458798,117545,0
236,439229,1053587,320027,42582,464588,117802,0
237,440332,1055933,323575,43013,470719,118059,0
238,441259,1058072,327244,43444,477013,118316,0
239,441949,1059977,330683,43875,482870,118561,0
240,442783,1061725,334179,44306,489050,118830,0
241,443401,1062708,337160,44737,494495,119087,0
242,444070,1063835,340376,45168,500768,119282,0
243,445238,1064447,343329,45599,506910,119601,0
244,445942,1065326,346402,46030,512921,119858,0
245,446616,1066660,349045,46461,518692,120115,0
246,447363,1068363,351506,46892,524442,120372,0
247,448200,1069305,354195,47323,530522,120629,0
248,449309,1070558,356399,47754,535963,120886,0
249,450080,1072120,358945,48185,542523,121143,0
250,450986,1073314,361488,48616,548525,121338,0
251,451977,1074456,363827,49047,554285,121657,0
252,452807,1075597,365868,49478,559893,121914,0
253,453452,1087354,370258,49863,564771,122397,0
254,454024,1089269,375523,50312,568864,122592,0
255,454676,1091567,377205,50729,572726,122787,0
256,455112,1094268,379043,51146,576920,122982,0
257,455782,1104785,382620,51313,579919,123233,0
258,456440,1109095,385639,51480,582574,123412,0
259,456967,1112832,386835,51647,585085,123591,0
260,457399,1116581,388178,51814,587805,123770,0
261,457958,1130244,390310,51910,589532,123937,0
262,458519,1134255,392094,52006,591266,124104,0
263,458915,1140465,393411,52102,592512,124271,0
264,459595,1146442,393994,52198,593856,124438,0
265,460039,1161292,394946,52198,594253,124438,0
266,460527,1167899,395652,52198,594253,124438,0
267,460951,1173582,396251,52198,594253,124438,0
268,461549,1180757,396882,52198,594253,124438,0
269,461964,1189234,397934,52198,594253,124438,0
270,462774,1197196,398430,52198,594253,124438,0
271,463533,1204747,399207,52198,594253,124438,0
272,464429,1212655,399621,52198,594253,124438,0
273,465130,1219786,399912,52198,594253,124438,0
274,466062,1227884,400376,52198,594253,124438,0
275,467053,1234614,400654,52198,594253,124438,0
276,467608,1241315,401183,52198,594253,124438,0
277,468358,1247730,401527,52198,594253,124438,0
278,469210,1254756,402158,52198,594253,124438,0
279,469863,1260367,402631,52198,594253,124438,0
280,470739,1267692,403124,52198,594253,124438,0
281,471375,1273542,403576,52198,594253,124438,0
282,472368,1279093,404002,52198,594253,124438,0
283,472892,1284141,404160,52198,594253,124438,0
284,473370,1288263,404341,52198,594253,124438,0
285,473746,1292781,404493,52198,594253,124438,0
286,474358,1297286,404823,52198,594253,124438,0
287,474873,1300770,404986,52198,594253,124438,0
288,475475,1303767,405164,52198,594253,124438,0
289,475935,1306761,405622,52198,594253,124438,0
290,475935,1306761,405754,52198,594253,124438,0
291,475935,1306761,405873,52198,594253,124438,0
292,475935,1306761,405987,52198,594253,124438,0
293,475935,1306761,405987,52198,594253,124438,0
294,475935,1306761,405987,52198,594253,124438,0
295,475935,1306761,405987,52198,594253,124438,0
296,475935,1306761,405987,52198,594253,124438,0
297,475935,1306761,405987,52198,594253,124438,0
298,475935,1306761,405987,52198,594253,124438,0
299,475935,1306761,405987,52198,594253,124438,0
300,475935,1306761,405987,52198,594253,124438,0
301,475935,1306761,405987,52198,594253,124438,0
302,475935,1306761,405987,52198,594253,124438,0
303,475935,1306761,405987,52198,594253,124438,0
304,475935,1306761,405987,52198,594253,124438,0
305,475935,1306761,405987,52198,594253,124438,0
306,475935,1306761,405987,52198,594253,124438,0
307,475935,1306761,405987,52198,594253,124438,0
308,475935,1306761,405987,52198,594253,124438,0
309,475935,1306761,405987,52198,594253,124438,0
310,475935,1306761,405987,52198,594253,124438,0
311,475935,1306761,405987,52198,594253,124438,0
312,475935,1306761,405987,52198,594253,124438,0
313,475935,1306761,405987,52198,594253,124438,0
314,475935,1306761,405987,52198,594253,124438,0
315,475935,1306761,405987,52198,594253,124438,0
316,475935,1306761,405987,52198,594253,124438,0
317,475935,1306761,407103,52198,595682,124500,0
318,475935,1306761,407991,52198,597458,124562,0
319,475935,1306761,409308,52198,599490,124624,0
320,475935,1306761,410269,52198,601253,124686,0
321,475935,1306761,412074,52198,604254,124764,0
322,475935,1306761,413879,52198,607466,124842,0
323,475935,1306761,415670,52198,610699,124920,0
324,475935,1306761,417470,52198,613697,124998,0
325,475935,1306761,419845,52198,617529,125088,0
326,475935,1306761,422064,52198,622317,125178,0
327,475935,1306761,424136,52198,626917,125268,0
328,475935,1306761,426270,52198,631104,125358,0
329,475935,1306761,428402,52198,636298,125615,0
330,475935,1306761,430517,52198,641896,125872,0
331,475935,1306761,432426,52198,647885,126129,0
332,475935,1306761,433641,52198,654440,126386,0
333,475935,1306761,434610,52198,660158,126643,0
334,475935,1306761,435664,52198,666461,126838,0
335,475935,1306761,436570,52198,671765,127157,0
336,475935,1306761,437256,52198,677472,127352,0
337,475935,1306761,438128,52198,684069,127547,0
338,475935,1306761,438462,52198,689249,127742,0
339,475935,1306761,438974,52198,694772,127937,0
340,475935,1306761,439363,52198,701126,128132,0
341,475935,1306761,439529,52198,707104,128327,0
342,475935,1306761,439808,52198,712427,128522,0
343,475935,1306761,440035,52198,718818,128717,0
344,475935,1306761,440035,52198,724399,128912,0
345,475935,1306761,440125,52198,730094,129107,0
346,475935,1306761,440125,52198,735672,129302,0
347,475935,1306761,440152,52198,741602,129497,0
348,475935,1306761,440152,52198,747547,129692,0
349,475935,1306761,440152,52198,752539,130569,0
350,475935,1306761,440152,52198,756521,130764,0
351,475935,1306761,440152,52198,760870,130959,0
352,475935,1306761,440152,52198,764769,131154,0
353,475935,1306761,440152,52198,767946,131457,0
354,475935,1306761,440152,52198,770378,131636,0
355,475935,1306761,440152,52198,773121,131815,0
356,475935,1306761,440152,52198,775689,131994,0
357,475935,1306761,440152,52198,777429,132161,0
358,475935,1306761,440152,52198,778923,132328,0
359,475935,1306761,440152,52198,780401,132495,0
360,475935,1306761,440152,52198,781951,132662,0
361,475935,1306761,440152,52198,782317,132662,0
362,475935,1306761,440152,52198,782317,132662,0
363,475935,1306761,440152,52198,782317,132662,0
364,475935,1306761,440152,52198,782317,132662,0
365,475935,1306761,440152,52198,782317,132662,0
366,475935,1306761,440152,52198,782317,132662,0
367,475935,1306761,440152,52198,782317,132662,0
368,475935,1306761,440152,52198,782317,132662,0
369,475935,1306761,440152,52198,782317,132662,0
370,475935,1306761,440152,52198,782317,132662,0
371,475935,1306761,440152,52198,782317,132662,0
372,475935,1306761,440152,52198,782317,132662,0
373,475935,1306761,440152,52198,782317,132662,0
374,475935,1306761,440152,52198,782317,132662,0
375,475935,1306761,440152,52198,782317,132662,0
376,475935,1306761,440152,52198,782317,132662,0
377,475935,1306761,440152,52198,782317,132662,0
378,475935,1306761,440152,52198,782317,132662,0
379,475935,1306761,440152,52198,782317,132662,0
380,475935,1306761,440152,52198,782317,132662,0
381,475935,1306761,440152,52198,782317,132662,0
382,475935,1306761,440152,52198,782317,132662,0
383,475935,1306761,440152,52198,782317,132662,0
384,475935,1306761,440152,52198,782317,132662,0
385,475935,1306761,440152,52198,787017,132919,0
386,475935,1306761,440152,52198,792489,133176,0
387,475935,1306761,440152,52198,798840,133433,0
388,475935,1306761,440152,52198,804762,133690,0
389,475935,1306761,440152,52198,810016,133947,0
390,475935,1306761,440152,52198,815912,134204,0
391,475935,1306761,440152,52198,822255,134461,0
392,475935,1306761,440152,52198,827678,134718,0
393,475935,1306761,440152,52198,833773,134975,0
394,475935,1306761,440152,52198,839397,135232,0
395,475935,1306761,440152,52198,845538,135489,0
396,475935,1306761,440152,52198,850765,135746,0
397,475935,1306761,440152,52198,857067,136003,0
398,475935,1306761,440152,52198,862927,136198,0
399,475935,1306761,440152,52198,869194,136455,0
400,475935,1306761,440152,52198,874662,136650,0
401,475935,1306761,440152,52198,880021,136845,0
402,475935,1306761,440152,52198,886768,137040,0
403,475935,1306938,440152,52198,892160,137235,0
404,475935,1307202,440193,52230,897422,137430,0
405,476009,1307619,440239,52230,903518,137625,0
406,476009,1307980,440381,52262,909972,137820,0
407,476009,1308761,440708,52262,915234,138015,0
408,476009,1309561,440851,52262,921087,138210,0
409,476031,1310614,441092,52326,927136,138405,0
410,476164,1311744,441411,52422,933189,138600,0
411,476201,1312646,441694,52486,939014,138795,0
412,476248,1314339,442047,52582,945046,138990,0
413,476406,1315666,442437,52678,951415,139185,0
414,476577,1316857,443113,52838,959372,139380,0
415,476860,1318711,443623,52902,966617,139575,0
416,476922,1320549,444304,52934,974080,139770,0
417,476990,1322494,445133,52966,982443,139981,0
418,477135,1324900,445900,53030,990332,140192,0
419,477214,1327278,447045,53062,999727,140403,0
420,477242,1329481,448626,53140,1010264,140614,0
421,477364,1332018,449596,53296,1018484,140837,0
422,477625,1335389,451000,53605,1027535,141060,0
423,478077,1338223,452128,54166,1038075,141271,0
424,478529,1341757,454082,54809,1047293,141506,0
425,479103,1345419,455429,55467,1056859,141896,0
426,479676,1348775,456812,56265,1066958,142286,0
427,480434,1351494,458268,57019,1078234,142676,0
428,480940,1354729,459858,58021,1089099,143066,0
429,481803,1358219,461540,58767,1098798,143456,0
430,482561,1361428,462909,59873,1108979,143846,0
431,483564,1365239,464721,61055,1119290,144236,0
432,484767,1368626,466626,61885,1128825,144626,0
433,485507,1372864,468068,62939,1138254,144862,0
434,486531,1376860,469829,64025,1147999,145406,0
435,487418,1380998,471744,64855,1156644,145796,0
436,488498,1385138,473573,65845,1165282,146186,0
437,489490,1389358,475681,66901,1174123,146576,0
438,490448,1393157,477736,67767,1183280,146966,0
439,491293,1397721,480037,68719,1191709,147356,0
440,492289,1402148,482633,69677,1201022,147592,0
441,493384,1407293,484317,70482,1209294,147905,0
442,494120,1412371,487183,71561,1217131,148141,0
443,495202,1415602,489499,72583,1224773,148377,0
444,496080,1418729,491153,73511,1231454,148613,0
445,496836,1426835,492916,74325,1240979,149619,0
446,497417,1430546,496466,75269,1250894,149855,0
447,498311,1433161,498130,76277,1261434,150091,0
448,499467,1435659,500301,77189,1271679,150327,0
449,500320,1443632,502034,77915,1283453,151240,0
450,501361,1446582,505845,78609,1297162,151614,0
451,502218,1449060,507950,79335,1309191,151911,0
452,503039,1450936,509393,79881,1320912,152208,0
453,503797,1459197,511030,80556,1333717,152724,0
454,504569,1462592,515787,81307,1345957,153086,0
455,505438,1464573,518559,82090,1357859,153448,0
456,506486,1466895,519461,82745,1369596,153810,0
457,507401,1473720,521574,83304,1383940,153928,0
458,508099,1475712,525546,83767,1397061,154200,0
459,508770,1478061,527129,84230,1408534,154395,0
460,509446,1480712,528545,84661,1419498,154590,0
461,510246,1482631,529977,85092,1426893,154785,0
462,510883,1484487,531502,85523,1434495,154980,0
463,511831,1487226,533394,85916,1442444,155175,0
464,512710,1489111,534904,86385,1450067,155370,0
465,513917,1491318,536731,86816,1456792,155488,0
466,514789,1493685,538550,87247,1462752,155760,0
467,515692,1496386,539848,87678,1468765,155955,0
468,516739,1498254,541756,88077,1474519,156150,0
469,517857,1499900,543175,88540,1479497,156345,0
470,519004,1502662,544719,88971,1484918,156540,0
471,520170,1504867,546216,89370,1490454,156645,0
472,521325,1507148,548031,89833,1496260,156930,0
473,522213,1509872,550374,90264,1501476,157125,0
474,523311,1511951,552166,90695,1506997,157320,0
475,524847,1514701,553400,91062,1512483,157515,0
476,526536,1517055,554783,91525,1518651,157710,0
477,527882,1519898,556047,91988,1524685,157905,0
478,529393,1522029,557215,92419,1531163,158023,0
479,530380,1524753,558333,92850,1538256,158295,0
480,531885,1527655,560012,93249,1543566,158413,0
481,532937,1529776,561261,93281,1546917,158490,0
482,533771,1531727,562774,93281,1548809,158490,0
483,534317,1533828,563904,93281,1549747,158490,0
484,535178,1536021,565077,93281,1550033,158490,0
485,535862,1538099,566617,93281,1550310,158490,0
486,536377,1540624,567971,93281,1550629,158490,0
487,537099,1543536,569292,93281,1550692,158490,0
488,537708,1545854,570882,93281,1550763,158490,0
489,538450,1548665,572233,93281,1550763,158490,0
490,539250,1551358,574091,93281,1550863,158490,0
491,539841,1554090,575380,93281,1550913,158490,0
492,540385,1557552,576352,93281,1550913,158490,0
493,540959,1560329,577056,93281,1550913,158490,0
494,541503,1564020,578357,93281,1550968,158490,0
495,542115,1566862,579652,93281,1551023,158490,0
496,542633,1569904,580915,93281,1551023,158490,0
497,543484,1572752,582022,93281,1551023,158490,0
498,543920,1575959,583423,93281,1551023,158490,0
499,544410,1579255,584690,93281,1551023,158490,0
500,545344,1582636,585675,93281,1551023,158490,0
501,545666,1585553,587348,93281,1551023,158490,0
502,546092,1588397,588990,93281,1551023,158490,0
503,546701,1592342,590470,93281,1551023,158490,0
504,547129,1595572,591735,93281,1551023,158490,0
505,548013,1599242,593298,93281,1551023,158490,0
506,548677,1603047,594542,93281,1551023,158490,0
507,549054,1605265,596012,93281,1551023,158490,0
508,549729,1608434,596952,93281,1551023,158490,0
509,550758,1611479,598047,93295,1551418,158490,0
510,551295,1614565,599242,93309,1552364,158490,0
511,552091,1617331,600194,93323,1553299,158490,0
512,552950,1620370,601667,93337,1554551,158490,0
513,553736,1622379,602709,93601,1556132,158506,0
514,554835,1624210,604223,93833,1557945,158522,0
515,555561,1626102,605302,94129,1559920,158538,0
516,556370,1628311,606533,94393,1562364,158554,0
517,557129,1629780,607873,94664,1564235,158582,0
518,557818,1631034,608880,94967,1566739,158610,0
519,558544,1632558,609920,95238,1569256,158622,0
520,559340,1634261,611189,95509,1571839,158666,0
521,559781,1635261,612062,95876,1573649,158784,0
522,560268,1636131,613005,96243,1575499,158902,0
523,560830,1637232,613996,96610,1577726,159020,0
524,561310,1638219,614786,96977,1579766,159138,0
525,561629,1638861,615645,97344,1580469,159256,0
526,562282,1639912,616521,97711,1581097,159374,0
527,562977,1640920,617194,98013,1581572,159492,0
528,563392,1641895,617883,98445,1582229,159610,0
529,563914,1642578,619067,98812,1582794,159728,0
530,564582,1643703,619765,99179,1583250,159846,0
531,565357,1644907,620503,99546,1583806,159964,0
532,566013,1645718,621462,99913,1584208,160082,0
533,566586,1646871,622048,100209,1584610,160200,0
534,566808,1647932,622784,100647,1585271,160318,0
535,567461,1648888,623345,101014,1585649,160436,0
536,567876,1649955,623996,101381,1586056,160554,0
537,568429,1651131,624674,101748,1586523,160672,0
538,569031,1652713,625099,102115,1587069,160790,0
539,569400,1654219,625590,102482,1587533,160908,0
540,569958,1655569,626057,102759,1587971,161026,0
541,570513,1662500,629581,103202,1591885,161144,0
542,571098,1664038,632715,103619,1595132,161262,0
543,571753,1665443,633734,104004,1598463,161380,0
544,572146,1666908,634581,104389,1602373,161498,0
545,572776,1673929,638984,104556,1607102,161600,0
546,573296,1675426,641937,104787,1611852,161702,0
547,573887,1677596,642553,105050,1616624,161804,0
548,574658,1679596,643240,105377,1621527,161906,0
549,575332,1687761,646671,105505,1628138,162150,0
550,575986,1690394,649376,105729,1634751,162240,0
551,576428,1692527,650106,105889,1641844,162330,0
552,577171,1694491,651032,106113,1648986,162420,0
553,577618,1702063,653624,106273,1657519,162805,0
554,578341,1705099,656552,106465,1666428,162805,0
555,578758,1707479,657916,106593,1675038,162805,0
556,579194,1709965,658866,106625,1682947,162805,0
557,579793,1712633,659456,106625,1691413,162805,0
558,580517,1715493,659928,106785,1700142,162805,0
559,581189,1717376,660695,106817,1708571,162805,0
560,581507,1719889,661317,106881,1716768,162805,0
561,582135,1722348,662175,106913,1724520,162805,0
562,582450,1725235,662759,106913,1732198,162805,0
563,582998,1726895,663472,106977,1740751,162805,0
564,583371,1729514,664291,107009,1749601,162805,0
565,583815,1731203,664969,107073,1757607,162805,0
566,584237,1733335,665790,107137,1766047,162805,0
567,584762,1734854,666578,107233,1773610,162805,0
568,585077,1736812,667579,107265,1780593,162805,0
569,585372,1738369,668193,107361,1786370,162805,0
