,Agent_Commerce($),Agent_Catering($),Agent_Health($),Agent_RecreationActiv($),Agent_Transport($),Agent_Hotel($),Agent_RealState($),,,,,,
120,223124,503215,150113,23696,205808,100079,0,,,,,,
121,223124,509528,150113,23732,205808,100079,0,,,,,,
122,223124,515452,150113,23732,205808,100079,0,,,,,,
123,223124,522197,150113,23732,205808,100079,0,,,,,,
124,223124,526729,150113,23732,205808,100079,0,,,,,,
125,224545,530646,151203,23894,207694,100106,0,,,,,,
126,226098,534732,152605,24017,210184,100133,0,,,,,,
127,228160,537803,153759,24185,212237,100160,0,,,,,,
128,229804,541328,154974,24582,214568,100187,0,,,,,,
129,232997,543327,157556,24690,217547,100276,0,,,,,,
130,235876,545829,159921,24903,220530,100365,0,,,,,,
131,239406,547922,162426,25110,223675,100454,0,,,,,,
132,242500,549510,164990,25311,226781,100543,0,,,,,,
133,247049,551405,168329,25444,231267,100791,0,,,,,,
134,251921,553681,171892,25750,236119,101039,0,,,,,,
135,257645,554877,175260,26209,240677,101287,0,,,,,,
136,261911,555440,178579,26626,245843,101535,0,,,,,,
137,268732,556416,183296,26993,252090,101898,0,,,,,,
138,275480,556892,187718,27284,258261,102208,0,,,,,,
139,281662,557269,192574,28164,264741,102518,0,,,,,,
140,288864,557508,197033,28662,271212,102828,0,,,,,,
141,294696,557508,201337,29412,277832,103138,0,,,,,,
142,301778,558302,205858,29960,284623,103448,0,,,,,,
143,308267,558721,210399,30482,291202,103758,0,,,,,,
144,315066,559372,214975,31093,297506,104037,0,,,,,,
145,321296,560176,219277,31622,304229,104316,0,,,,,,
146,327577,561716,223484,32148,310320,104595,0,,,,,,
147,334252,563084,227739,32673,316524,104874,0,,,,,,
148,340031,564602,232235,33102,323117,105153,0,,,,,,
149,345456,567037,235957,33710,329393,105432,0,,,,,,
150,350907,570652,239921,34221,335661,105711,0,,,,,,
151,356718,575043,243880,34667,341336,105990,0,,,,,,
152,361449,579542,247367,35159,348207,106269,0,,,,,,
153,365714,584214,251224,35724,355094,106518,0,,,,,,
154,370080,589434,254055,36210,360915,106827,0,,,,,,
155,374023,596060,256914,36688,367401,107106,0,,,,,,
156,377683,601106,259553,37157,374695,107385,0,,,,,,
157,381111,611686,266507,37492,378925,107836,0,,,,,,
158,385618,618564,269794,37821,383735,108088,0,,,,,,
159,388455,625941,271762,38144,387924,108340,0,,,,,,
160,390666,634691,274494,38461,392036,108592,0,,,,,,
161,393084,647657,278713,38720,395441,108950,0,,,,,,
162,396331,657799,281144,38977,398770,109171,0,,,,,,
163,398740,666401,282775,39234,402258,109433,0,,,,,,
164,400185,676057,284253,39491,405572,109654,0,,,,,,
165,402113,687218,287826,39643,407553,109894,0,,,,,,
166,403690,696743,288954,39795,408996,109956,0,,,,,,
167,405442,706849,290165,39947,410988,110018,0,,,,,,
168,407686,717189,291115,40099,412475,110080,0,,,,,,
169,409695,726847,293666,40099,412731,110133,0,,,,,,
170,411111,733635,294449,40099,412731,110133,0,,,,,,
171,412440,742859,295019,40099,412731,110133,0,,,,,,
172,413556,750518,295420,40099,412731,110133,0,,,,,,
173,414617,757520,295673,40099,412731,110133,0,,,,,,
174,416259,765372,295977,40099,412731,110133,0,,,,,,
175,417503,773538,296145,40099,412731,110133,0,,,,,,
176,418259,780143,296262,40099,412731,110133,0,,,,,,
177,419545,784872,296519,40099,412731,110133,0,,,,,,
178,420396,790913,296535,40099,412731,110133,0,,,,,,
179,421576,795567,296551,40099,412731,110133,0,,,,,,
180,422049,800912,296567,40099,412731,110133,0,,,,,,
181,422485,806088,296567,40099,412731,110133,0,,,,,,
182,423006,809555,296567,40099,412731,110133,0,,,,,,
183,423401,813347,296567,40099,412731,110133,0,,,,,,
184,424232,815987,296567,40099,412731,110133,0,,,,,,
185,424959,818690,296567,40099,412731,110133,0,,,,,,
186,425654,820351,296567,40099,412731,110133,0,,,,,,
187,426172,823110,296567,40099,412731,110133,0,,,,,,
188,426287,824964,296567,40099,412731,110133,0,,,,,,
189,426787,826636,296567,40099,412731,110133,0,,,,,,
190,427063,827773,296567,40099,412731,110133,0,,,,,,
191,427278,829548,296567,40099,412731,110133,0,,,,,,
192,427483,830598,296567,40099,412731,110133,0,,,,,,
193,428194,831870,296567,40099,412731,110133,0,,,,,,
194,428648,831870,296567,40099,412731,110133,0,,,,,,
195,428935,831870,296567,40099,412731,110133,0,,,,,,
196,429240,831870,296567,40099,412731,110133,0,,,,,,
197,429618,831870,296567,40099,412731,110133,0,,,,,,
198,430281,831870,296567,40099,412731,110133,0,,,,,,
199,430644,831870,296567,40099,412731,110133,0,,,,,,
200,430722,831870,296567,40099,412731,110133,0,,,,,,
201,431043,831870,296567,40099,412731,110133,0,,,,,,
202,431295,831870,296567,40099,412731,110133,0,,,,,,
203,431345,831870,296567,40099,412731,110133,0,,,,,,
204,431690,831870,296567,40099,412731,110133,0,,,,,,
205,431973,831870,296567,40099,412731,110133,0,,,,,,
206,432158,831870,296567,40099,412731,110133,0,,,,,,
207,432510,831870,296567,40099,412731,110133,0,,,,,,
208,432510,831870,296567,40099,412731,110133,0,,,,,,
209,432690,831870,296567,40099,412731,110133,0,,,,,,
210,432779,831870,296567,40099,412731,110133,0,,,,,,
211,432891,831870,296567,40099,412731,110133,0,,,,,,
212,432925,831870,296567,40099,412731,110133,0,,,,,,
213,433027,831870,296567,40099,412731,110133,0,,,,,,
214,433187,831870,296567,40099,412731,110133,0,,,,,,
215,433274,831870,296567,40099,412731,110133,0,,,,,,
216,433370,831870,296567,40099,412731,110133,0,,,,,,
217,433599,831870,296567,40099,412731,110133,0,,,,,,
218,433730,831870,296567,40099,412731,110133,0,,,,,,
219,433768,831870,296567,40099,412731,110133,0,,,,,,
220,433785,831870,296567,40099,412731,110133,0,,,,,,
221,433909,831870,297641,40099,414766,110160,0,,,,,,
222,434145,831870,298513,40099,416782,110187,0,,,,,,
223,434254,831870,299562,40099,418568,110214,0,,,,,,
224,434319,831870,300768,40099,421050,110241,0,,,,,,
225,434461,831870,302560,40099,423789,110299,0,,,,,,
226,434635,831870,304664,40099,426757,110357,0,,,,,,
227,434713,831870,306667,40099,429363,110415,0,,,,,,
228,434819,831870,308704,40099,432253,110473,0,,,,,,
229,435059,831870,310922,40099,436965,110690,0,,,,,,
