,Agent_Commerce($),Agent_Catering($),Agent_Health($),Agent_RecreationActiv($),Agent_Transport($),Agent_Hotel($),Agent_RealState($)
0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0
31,859,0,776,0,1260,555,0
32,2737,0,1735,0,3088,1114,0
33,4981,0,2814,0,4793,1716,0
34,7326,0,3977,0,6442,2370,0
35,11187,0,6179,0,9567,3590,0
36,15557,0,8153,0,13032,4953,0
37,19441,0,10540,0,16208,6476,0
38,23925,0,12739,0,19706,7887,0
39,29839,0,16462,0,24991,10399,0
40,35652,24,19489,0,29871,12781,0
41,41289,297,22890,0,34924,15635,0
42,47314,591,26043,0,39855,18231,0
43,54903,1346,31068,0,46982,21535,0
44,62737,3075,35616,0,54614,25397,0
45,70105,5120,40301,0,61586,29059,0
46,77759,8321,45504,0,68555,32541,0
47,85563,14701,49748,0,75775,36027,0
48,93076,22019,53697,0,83652,40260,0
49,100637,30925,58392,0,90819,43440,0
50,107798,42914,62313,0,97952,47105,0
51,115313,55974,66214,0,105176,50921,0
52,122809,71100,69963,0,111632,54468,0
53,130025,89621,73297,0,119473,58133,0
54,136549,107968,77061,0,126592,61123,0
55,144161,124471,79925,0,133508,64964,0
56,150843,140100,83007,0,140706,68766,0
57,156981,156318,85817,0,147718,72306,0
58,164414,171274,88653,0,154846,75687,0
59,170410,185136,91342,0,161891,79414,0
60,176089,196867,93942,0,168967,82929,0
61,180556,218230,97009,0,174898,86128,0
62,184730,226685,104953,0,180166,89171,0
63,188212,233809,107703,0,185460,92329,0
64,192589,237909,109846,0,191120,95222,0
65,196176,256172,112437,0,196007,97644,0
66,199328,258926,119419,0,199119,99749,0
67,203119,261945,121883,0,203138,102282,0
68,205908,263198,123795,0,207501,104113,0
69,209115,279125,125313,0,209684,105356,0
70,212158,280125,131874,0,212298,106713,0
71,215742,280619,133343,0,214582,107304,0
72,217972,280938,135528,0,216577,108540,0
73,219356,298920,136957,0,217073,108892,0
74,221168,298983,142227,0,217073,108892,0
75,222897,299244,143653,0,217073,108892,0
