,Construct,Industrial,Food,RealState,Catering,Commerce,Transport,Hotel,PublicAdmin,Education,Health,SocialServ,ProfessActiv,ScientifActiv,RecreatActiv,ArtistActiv,FinanActiv,Other,Information
64,0,0,0,10460,0,0,0,0,0,6742,0,7573,80845,5483,0,4152,0,8980,0
65,0,0,0,10867,0,0,0,0,0,7001,0,7949,84405,5603,0,4189,0,9404,0
66,0,0,0,11274,0,0,0,0,0,7260,0,8319,87740,5977,0,4226,0,9828,0
67,0,0,0,11681,0,0,0,0,0,7519,0,8695,91300,6097,0,4263,0,10252,0
68,0,0,0,12088,0,0,0,0,0,7778,0,9071,94860,6217,0,4300,0,10676,0
69,0,0,0,12168,0,0,0,0,0,7845,0,9408,96901,6229,0,4305,0,11100,0
70,0,0,0,12248,0,0,0,0,0,7912,0,9745,98855,6358,0,4310,0,11524,0
71,0,0,0,12328,0,0,0,0,0,7979,0,10082,100896,6370,0,4315,0,11948,0
72,0,0,0,12408,0,0,0,0,0,8046,0,10419,102937,6382,0,4320,0,12372,0
73,0,0,0,12408,0,0,0,0,0,8046,0,10419,102937,6382,0,4320,0,12372,0
74,0,0,0,12408,0,0,0,0,0,8046,0,10419,102937,6382,0,4320,0,12372,0
75,0,0,0,12408,0,0,0,0,0,8046,0,10419,102937,6382,0,4320,0,12372,0
76,0,0,0,12408,0,0,0,0,0,8046,0,10419,102937,6382,0,4320,0,12372,0
77,0,0,0,12408,0,0,0,0,0,8046,0,10419,102937,6382,0,4320,0,12372,0
78,0,0,0,12408,0,0,0,0,0,8046,0,10419,102937,6382,0,4320,0,12372,0
79,0,0,0,12408,0,0,0,0,0,8046,0,10419,102937,6382,0,4320,0,12372,0
80,0,0,0,12408,0,0,0,0,0,8046,0,10419,102937,6382,0,4320,0,12372,0
81,0,0,0,12408,0,0,0,0,0,8046,0,10419,102937,6382,0,4320,0,12372,0
82,0,0,0,12408,0,0,0,0,0,8046,0,10419,102937,6382,0,4320,0,12372,0
83,0,0,0,12408,0,0,0,0,0,8046,0,10419,102937,6382,0,4320,0,12372,0
84,0,0,0,12408,0,0,0,0,0,8046,0,10419,102937,6382,0,4320,0,12372,0
85,0,0,0,12408,0,0,0,0,0,8046,0,10419,102937,6382,0,4320,0,12372,0
86,0,0,0,12408,0,0,0,0,0,8046,0,10419,102937,6382,0,4320,0,12372,0
87,0,0,0,12408,0,0,0,0,0,8046,0,10419,102937,6382,0,4320,0,12372,0
88,0,0,0,12408,0,0,0,0,0,8046,0,10419,102937,6382,0,4320,0,12372,0
89,0,0,0,12408,0,0,0,0,0,8046,0,10419,102937,6382,0,4320,0,12372,0
90,0,0,0,12408,0,0,0,0,0,8046,0,10419,102937,6382,0,4320,0,12372,0
91,0,0,0,12408,0,0,0,0,0,8046,0,10419,102937,6382,0,4320,0,12372,0
92,0,0,0,12408,0,0,0,0,0,8046,0,10419,102937,6382,0,4320,0,12372,0
93,0,0,0,12408,0,0,0,0,0,8046,0,10419,102937,6382,0,4320,0,12372,0
94,0,0,0,12408,0,0,0,0,0,8046,0,10419,102937,6382,0,4320,0,12372,0
95,0,0,0,12408,0,0,0,0,0,8046,0,10419,102937,6382,0,4320,0,12372,0
96,0,0,0,12408,0,0,0,0,0,8046,0,10419,102937,6382,0,4320,0,12372,0
97,0,0,0,12408,0,0,0,0,0,8046,0,10419,102937,6382,0,4320,0,12372,0
98,0,0,0,12408,0,0,0,0,0,8046,0,10419,102937,6382,0,4320,0,12372,0
99,0,0,0,12408,0,0,0,0,0,8046,0,10419,102937,6382,0,4320,0,12372,0
100,0,0,0,12408,0,0,0,0,0,8046,0,10419,102937,6382,0,4320,0,12372,0
101,0,0,0,12408,0,0,0,0,0,8046,0,10419,102937,6382,0,4320,0,12372,0
102,0,0,0,12408,0,0,0,0,0,8046,0,10419,102937,6382,0,4320,0,12372,0
103,0,0,0,12408,0,0,0,0,0,8046,0,10419,102937,6382,0,4320,0,12372,0
104,0,0,0,12408,0,0,0,0,0,8046,0,10419,102937,6382,0,4320,0,12372,0
105,0,0,0,12408,0,0,0,0,0,8046,0,10419,102937,6382,0,4320,0,12372,0
106,0,0,0,12408,0,0,0,0,0,8046,0,10419,102937,6382,0,4320,0,12372,0
107,0,0,0,12408,0,0,0,0,0,8046,0,10419,102937,6382,0,4320,0,12372,0
108,0,0,0,12408,0,0,0,0,0,8046,0,10419,102937,6382,0,4320,0,12372,0
109,0,0,0,12408,0,0,0,0,0,8046,0,10419,102937,6382,0,4320,0,12372,0
110,0,0,0,12408,0,0,0,0,0,8046,0,10419,102937,6382,0,4320,0,12372,0
111,0,0,0,12408,0,0,0,0,0,8046,0,10419,102937,6382,0,4320,0,12372,0
112,0,0,0,12408,0,0,0,0,0,8046,0,10419,102937,6382,0,4320,0,12372,0
113,0,0,0,12408,0,0,0,0,0,8046,0,10419,102937,6382,0,4320,0,12372,0
114,0,0,0,12408,0,0,0,0,0,8046,0,10419,102937,6382,0,4320,0,12372,0
115,0,0,0,12408,0,0,0,0,0,8046,0,10419,102937,6382,0,4320,0,12372,0
116,0,0,0,12408,0,0,0,0,0,8046,0,10419,102937,6382,0,4320,0,12372,0
117,0,0,0,12408,0,0,0,0,0,8046,0,10419,102937,6382,0,4320,0,12372,0
118,0,0,0,12408,0,0,0,0,0,8046,0,10419,102937,6382,0,4320,0,12372,0
119,0,0,0,12408,0,0,0,0,0,8046,0,10419,102937,6382,0,4320,0,12372,0
120,0,0,0,12408,0,0,0,0,0,8046,0,10419,102937,6382,0,4320,0,12372,0
121,0,0,0,12408,0,0,0,0,0,8046,0,10419,102937,6382,0,4320,0,12372,0
122,0,0,0,12408,0,0,0,0,0,8046,0,10419,102937,6382,0,4320,0,12372,0
123,0,0,0,12408,0,0,0,0,0,8046,0,10419,102937,6382,0,4320,0,12372,0
124,0,0,0,12408,0,0,0,0,0,8046,0,10419,102937,6382,0,4320,0,12372,0
125,0,0,0,12699,0,0,0,0,0,8097,0,10606,104484,6430,0,4320,0,12597,0
126,0,0,0,12981,0,0,0,0,0,8148,0,10793,106031,6562,0,4320,0,12822,0
127,0,0,0,13272,0,0,0,0,0,8199,0,10980,107578,6610,0,4320,0,13047,0
128,0,0,0,13563,0,0,0,0,0,8250,0,11167,109125,6658,0,4320,0,13272,0
129,0,0,0,13988,0,0,0,0,0,8531,0,11486,112486,6840,0,4320,0,13680,0
130,0,0,0,14413,0,0,0,0,0,8812,0,11805,115793,7234,0,4320,0,14088,0
131,0,0,0,14838,0,0,0,0,0,9093,0,12124,119154,7416,0,4320,0,14496,0
132,0,0,0,15263,0,0,0,0,0,9374,0,12443,122515,7598,0,4320,0,14904,0
133,0,0,0,16015,0,0,0,0,0,9847,0,12801,127395,7888,0,4320,0,15312,0
134,0,0,0,16741,0,0,0,0,0,10302,0,13159,132051,8497,0,4320,0,15720,0
135,0,0,0,17493,0,0,0,0,0,10775,0,13517,136931,8787,0,4320,0,16128,0
136,0,0,0,18245,0,0,0,0,0,11248,0,13875,141811,9077,0,4320,0,16536,0
137,0,0,0,19077,0,0,0,0,0,11788,0,14570,148732,9379,0,4320,0,17368,0
138,0,0,0,19909,0,0,0,0,0,12328,0,15265,155519,9993,0,4320,0,18200,0
139,0,0,0,20741,0,0,0,0,0,12868,0,15960,162440,10325,0,4320,0,19007,0
140,0,0,0,22243,0,0,0,0,0,13408,0,16655,169361,10627,0,4320,0,19839,0
141,0,0,0,23745,0,0,0,0,0,13948,0,17350,176282,10929,0,4320,0,20671,0
142,0,0,0,25235,0,0,0,0,0,14488,0,17966,183139,11555,0,4320,0,21503,0
143,0,0,0,26737,0,0,0,0,0,15028,0,18661,189991,11999,0,4320,0,22335,0
144,0,0,0,29015,0,0,0,0,0,15568,0,19356,196912,12301,0,4320,0,23167,0
145,0,0,0,31293,0,0,0,0,0,16108,0,20051,203833,12603,0,4320,0,23999,0
146,0,0,0,33506,0,0,0,0,0,16648,0,20746,210673,13229,0,4320,0,24831,0
147,0,0,0,35722,0,0,0,0,0,17188,0,21441,217594,13673,0,4320,0,25663,0
148,0,0,0,38455,0,0,0,0,0,17728,0,22136,224515,13975,0,4320,0,26495,0
149,0,0,0,41258,0,0,0,0,0,18268,0,22831,231436,14277,0,4320,0,27327,0
150,0,0,0,43967,0,0,0,0,0,18754,0,23526,238292,14903,0,4320,0,28159,0
151,0,0,0,46843,0,0,0,0,0,19294,0,24221,245168,15347,0,4320,0,28991,0
152,0,0,0,50258,0,0,0,0,0,19834,0,24916,252089,15649,0,4320,0,29823,0
153,0,0,0,53673,0,0,0,0,0,20374,0,25611,259010,15951,0,4320,0,30655,0
154,0,0,0,56991,0,0,0,0,0,20914,0,26306,265818,16577,0,4320,0,31487,0
155,0,0,0,60406,0,0,0,0,0,21454,0,27001,272733,17021,0,4320,0,32319,0
156,0,0,0,63821,0,0,0,0,0,21994,0,27696,279654,17323,0,4320,0,33151,0
157,0,0,0,66202,0,0,0,0,0,22483,0,28204,285028,17577,0,4320,0,33758,0
158,0,0,0,68514,0,0,0,0,0,22972,0,28712,290402,18071,0,4320,0,34365,0
159,0,0,0,70833,0,0,0,0,0,23430,0,29220,295732,18467,0,4320,0,34972,0
160,0,0,0,73214,0,0,0,0,0,23919,0,29728,301106,18721,0,4320,0,35579,0
161,0,0,0,74632,0,0,0,0,0,24178,0,30104,304666,18841,0,4320,0,36003,0
162,0,0,0,76050,0,0,0,0,0,24437,0,30480,308226,19103,0,4320,0,36427,0
163,0,0,0,77460,0,0,0,0,0,24696,0,30856,311786,19335,0,4320,0,36851,0
164,0,0,0,78878,0,0,0,0,0,24955,0,31232,315346,19455,0,4320,0,37275,0
165,0,0,0,79497,0,0,0,0,0,25022,0,31569,317387,19467,0,4320,0,37699,0
166,0,0,0,80116,0,0,0,0,0,25089,0,31906,319428,19484,0,4320,0,38091,0
167,0,0,0,80773,0,0,0,0,0,25156,0,32243,321438,19608,0,4320,0,38515,0
168,0,0,0,81430,0,0,0,0,0,25223,0,32580,323479,19620,0,4320,0,38939,0
169,0,0,0,81430,0,0,0,0,0,25223,0,32580,323479,19620,0,4320,0,38939,0
170,0,0,0,81430,0,0,0,0,0,25223,0,32580,323479,19620,0,4320,0,38939,0
171,0,0,0,81430,0,0,0,0,0,25223,0,32580,323479,19620,0,4320,0,38939,0
172,0,0,0,81430,0,0,0,0,0,25223,0,32580,323479,19620,0,4320,0,38939,0
173,0,0,0,81430,0,0,0,0,0,25223,0,32580,323479,19620,0,4320,0,38939,0
174,0,0,0,81430,0,0,0,0,0,25223,0,32580,323479,19620,0,4320,0,38939,0
175,0,0,0,81430,0,0,0,0,0,25223,0,32580,323479,19620,0,4320,0,38939,0
176,0,0,0,81430,0,0,0,0,0,25223,0,32580,323479,19620,0,4320,0,38939,0
177,0,0,0,81430,0,0,0,0,0,25223,0,32580,323479,19620,0,4320,0,38939,0
178,0,0,0,81430,0,0,0,0,0,25223,0,32580,323479,19620,0,4320,0,38939,0
179,0,0,0,81430,0,0,0,0,0,25223,0,32580,323479,19620,0,4320,0,38939,0
180,0,0,0,81430,0,0,0,0,0,25223,0,32580,323479,19620,0,4320,0,38939,0
181,0,0,0,81430,0,0,0,0,0,25223,0,32580,323479,19620,0,4320,0,38939,0
182,0,0,0,81430,0,0,0,0,0,25223,0,32580,323479,19620,0,4320,0,38939,0
183,0,0,0,81430,0,0,0,0,0,25223,0,32580,323479,19620,0,4320,0,38939,0
184,0,0,0,81430,0,0,0,0,0,25223,0,32580,323479,19620,0,4320,0,38939,0
185,0,0,0,81430,0,0,0,0,0,25223,0,32580,323479,19620,0,4320,0,38939,0
186,0,0,0,81430,0,0,0,0,0,25223,0,32580,323479,19620,0,4320,0,38939,0
187,0,0,0,81430,0,0,0,0,0,25223,0,32580,323479,19620,0,4320,0,38939,0
188,0,0,0,81430,0,0,0,0,0,25223,0,32580,323479,19620,0,4320,0,38939,0
189,0,0,0,81430,0,0,0,0,0,25223,0,32580,323479,19620,0,4320,0,38939,0
190,0,0,0,81430,0,0,0,0,0,25223,0,32580,323479,19620,0,4320,0,38939,0
191,0,0,0,81430,0,0,0,0,0,25223,0,32580,323479,19620,0,4320,0,38939,0
192,0,0,0,81430,0,0,0,0,0,25223,0,32580,323479,19620,0,4320,0,38939,0
193,0,0,0,81430,0,0,0,0,0,25223,0,32580,323479,19620,0,4320,0,38939,0
194,0,0,0,81430,0,0,0,0,0,25223,0,32580,323479,19620,0,4320,0,38939,0
195,0,0,0,81430,0,0,0,0,0,25223,0,32580,323479,19620,0,4320,0,38939,0
196,0,0,0,81430,0,0,0,0,0,25223,0,32580,323479,19620,0,4320,0,38939,0
197,0,0,0,81430,0,0,0,0,0,25223,0,32580,323479,19620,0,4320,0,38939,0
198,0,0,0,81430,0,0,0,0,0,25223,0,32580,323479,19620,0,4320,0,38939,0
199,0,0,0,81430,0,0,0,0,0,25223,0,32580,323479,19620,0,4320,0,38939,0
200,0,0,0,81430,0,0,0,0,0,25223,0,32580,323479,19620,0,4320,0,38939,0
201,0,0,0,81430,0,0,0,0,0,25223,0,32580,323479,19620,0,4320,0,38939,0
202,0,0,0,81430,0,0,0,0,0,25223,0,32580,323479,19620,0,4320,0,38939,0
203,0,0,0,81430,0,0,0,0,0,25223,0,32580,323479,19620,0,4320,0,38939,0
204,0,0,0,81430,0,0,0,0,0,25223,0,32580,323479,19620,0,4320,0,38939,0
205,0,0,0,81430,0,0,0,0,0,25223,0,32580,323479,19620,0,4320,0,38939,0
206,0,0,0,81430,0,0,0,0,0,25223,0,32580,323479,19620,0,4320,0,38939,0
207,0,0,0,81430,0,0,0,0,0,25223,0,32580,323479,19620,0,4320,0,38939,0
208,0,0,0,81430,0,0,0,0,0,25223,0,32580,323479,19620,0,4320,0,38939,0
209,0,0,0,81430,0,0,0,0,0,25223,0,32580,323479,19620,0,4320,0,38939,0
210,0,0,0,81430,0,0,0,0,0,25223,0,32580,323479,19620,0,4320,0,38939,0
211,0,0,0,81430,0,0,0,0,0,25223,0,32580,323479,19620,0,4320,0,38939,0
212,0,0,0,81430,0,0,0,0,0,25223,0,32580,323479,19620,0,4320,0,38939,0
213,0,0,0,81430,0,0,0,0,0,25223,0,32580,323479,19620,0,4320,0,38939,0
214,0,0,0,81430,0,0,0,0,0,25223,0,32580,323479,19620,0,4320,0,38939,0
215,0,0,0,81430,0,0,0,0,0,25223,0,32580,323479,19620,0,4320,0,38939,0
216,0,0,0,81430,0,0,0,0,0,25223,0,32580,323479,19620,0,4320,0,38939,0
217,0,0,0,81430,0,0,0,0,0,25223,0,32580,323479,19620,0,4320,0,38939,0
218,0,0,0,81430,0,0,0,0,0,25223,0,32580,323479,19620,0,4320,0,38939,0
219,0,0,0,81430,0,0,0,0,0,25223,0,32580,323479,19620,0,4320,0,38939,0
220,0,0,0,81430,0,0,0,0,0,25223,0,32580,323479,19620,0,4320,0,38939,0
221,0,0,0,81430,0,0,0,0,0,25223,0,32580,323479,19620,0,4320,0,38939,0
222,0,0,0,81430,0,0,0,0,0,25223,0,32580,323479,19704,0,4320,0,38939,0
223,0,0,0,81430,0,0,0,0,0,25223,0,32580,323479,19704,0,4320,0,38939,0
224,0,0,0,81430,0,0,0,0,0,25223,0,32580,323479,19704,0,4320,0,38939,0
225,0,0,0,81430,0,0,0,0,0,25223,0,32580,323479,19704,0,4320,0,38939,0
226,0,0,0,81430,0,0,0,0,0,25223,0,32580,323479,19704,0,4320,0,38939,0
227,0,0,0,81430,0,0,0,0,0,25223,0,32580,323479,19704,0,4320,0,38939,0
228,0,0,0,81430,0,0,0,0,0,25223,0,32580,323479,19704,0,4320,0,38939,0
229,0,0,0,81430,0,0,0,0,0,25223,0,32580,323479,19704,0,4320,0,38939,0
230,0,0,0,81430,0,0,0,0,0,25223,0,32580,323479,19704,0,4320,0,38939,0
231,0,0,0,81430,0,0,0,0,0,25223,0,32580,323479,19735,0,4320,0,38939,0
232,0,0,0,81430,0,0,0,0,0,25223,0,32580,323479,19748,0,4320,0,38939,0
233,0,0,0,81430,0,0,0,0,0,25223,0,32580,323479,19748,0,4320,0,38939,0
234,0,0,0,81430,0,0,0,0,0,25223,0,32580,323479,19753,0,4320,0,38939,0
235,0,0,0,81430,0,0,0,0,0,25223,0,32580,323479,19874,0,4320,0,38939,0
236,0,0,0,81430,0,0,0,0,0,25223,0,32580,323479,20025,0,4320,0,38939,0
237,0,0,0,81430,0,0,0,0,0,25223,0,32580,323479,20042,0,4320,0,38939,0
238,0,0,0,81430,0,0,0,0,0,25223,0,32580,323479,20047,0,4320,0,38939,0
239,0,0,0,81430,0,0,0,0,0,25223,0,32580,323479,20239,0,4320,0,38939,0
